JoinField,JoinField_alt,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:9500060,COOK:Thornton Precinct 60,36,0,5,3,46,6,0,1,0,0,97
COOK:9500061,COOK:Thornton Precinct 61,62,3,10,2,58,11,0,4,0,3,153
COOK:9500062,COOK:Thornton Precinct 62,20,0,7,2,11,2,1,0,2,1,46
COOK:9500063,COOK:Thornton Precinct 63,38,2,8,0,32,7,0,1,2,2,92
COOK:9500064,COOK:Thornton Precinct 64,94,4,11,8,85,10,0,2,3,1,218
COOK:9500065,COOK:Thornton Precinct 65,75,1,27,4,49,22,8,1,4,0,191
COOK:9500066,COOK:Thornton Precinct 66,212,1,35,8,100,17,2,3,2,1,381
COOK:9500067,COOK:Thornton Precinct 67,123,2,95,4,28,22,9,1,1,1,286
COOK:9500068,COOK:Thornton Precinct 68,83,4,20,2,42,8,4,1,0,2,166
COOK:9500069,COOK:Thornton Precinct 69,86,0,6,7,119,9,0,3,1,0,231
COOK:9500070,COOK:Thornton Precinct 70,44,0,5,1,34,8,0,1,1,0,94
COOK:9500071,COOK:Thornton Precinct 71,118,1,9,14,51,15,0,2,1,3,214
COOK:9500072,COOK:Thornton Precinct 72,82,0,13,8,65,20,0,2,7,1,198
COOK:9500073,COOK:Thornton Precinct 73,138,1,19,1,97,25,1,5,4,0,291
COOK:9500074,COOK:Thornton Precinct 74,65,1,7,3,75,22,1,1,4,0,179
COOK:9500075,COOK:Thornton Precinct 75,147,2,15,25,83,41,1,2,3,2,321
COOK:9500076,COOK:Thornton Precinct 76,105,1,8,6,99,28,0,2,7,0,256
COOK:9500077,COOK:Thornton Precinct 77,127,2,12,13,104,29,2,7,3,3,302
COOK:9500078,COOK:Thornton Precinct 78,82,3,10,2,81,21,1,5,2,0,207
COOK:9500079,COOK:Thornton Precinct 79,91,4,27,8,98,23,1,1,2,2,257
COOK:9500080,COOK:Thornton Precinct 80,122,2,18,3,69,26,2,2,1,0,245
COOK:9500081,COOK:Thornton Precinct 81,192,2,15,19,108,39,2,5,8,2,392
COOK:9500082,COOK:Thornton Precinct 82,67,0,24,1,24,7,2,1,4,0,130
COOK:9500083,COOK:Thornton Precinct 83,130,0,16,16,84,22,1,1,5,2,277
COOK:9500084,COOK:Thornton Precinct 84,116,1,12,14,100,28,0,4,7,2,284
COOK:9500085,COOK:Thornton Precinct 85,93,1,15,8,97,17,3,5,1,3,243
COOK:9500086,COOK:Thornton Precinct 86,87,1,8,1,66,18,1,1,3,0,186
COOK:9500087,COOK:Thornton Precinct 87,137,0,17,9,107,48,1,3,4,2,328
COOK:9500088,COOK:Thornton Precinct 88,29,2,4,3,46,5,0,0,1,1,91
COOK:9500089,COOK:Thornton Precinct 89,139,3,16,6,84,38,2,3,4,2,297
COOK:9500090,COOK:Thornton Precinct 90,113,2,5,3,75,12,3,2,6,2,223
COOK:9500091,COOK:Thornton Precinct 91,124,3,9,2,70,18,1,6,3,0,236
COOK:9500092,COOK:Thornton Precinct 92,180,2,23,14,125,45,1,2,12,2,406
COOK:9500093,COOK:Thornton Precinct 93,18,2,17,1,24,9,1,0,1,3,76
COOK:9500094,COOK:Thornton Precinct 94,106,1,17,5,108,19,1,4,8,0,269
COOK:9500095,COOK:Thornton Precinct 95,45,0,4,1,46,7,0,3,0,1,107
COOK:9500096,COOK:Thornton Precinct 96,49,2,8,4,35,3,0,0,2,0,103
COOK:9500097,COOK:Thornton Precinct 97,31,2,4,0,46,1,1,5,1,0,91
COOK:9500098,COOK:Thornton Precinct 98,22,0,17,1,20,3,0,1,2,0,66
COOK:9500099,COOK:Thornton Precinct 99,39,0,7,4,37,5,0,1,1,0,94
COOK:9500100,COOK:Thornton Precinct 100,33,1,11,3,33,5,2,1,0,0,89
COOK:9500101,COOK:Thornton Precinct 101,101,1,14,11,104,10,0,1,4,2,248
COOK:9500102,COOK:Thornton Precinct 102,39,4,7,3,49,5,0,0,1,2,110
COOK:9500103,COOK:Thornton Precinct 103,58,1,6,4,72,7,1,3,1,1,154
COOK:9500104,COOK:Thornton Precinct 104,182,1,30,9,154,31,0,1,2,5,415
COOK:9700024,COOK:Worth Precinct 24,0,0,0,0,0,0,0,0,0,0,0
,COOK:Suburban Cook County,22501,371,4313,1755,15810,7137,502,511,489,322,53711
