FOR COMPTROLLER ( 1),,,,,,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,,STEPHANIE A. KIFOWIT,,,,,HOLLY KIM,,,,,MARGARET CROKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 068,1157,16,9,34,1,60,0,1,5,0,6,6,10,14,0,30,12,13,24,0,49,145
Bloomingdale 069,982,18,16,25,0,59,5,4,7,0,16,8,8,12,0,28,11,7,14,0,32,135
Bloomingdale 070,897,10,5,31,0,46,1,2,4,0,7,5,6,11,0,22,1,8,13,0,22,97
Bloomingdale 071,1295,9,22,34,0,65,0,5,14,0,19,5,8,15,0,28,1,12,29,0,42,154
Bloomingdale 072,993,15,12,25,0,52,2,5,2,0,9,5,6,13,0,24,3,9,10,0,22,107
Downers Grove 001,596,5,14,9,0,28,2,2,6,0,10,15,13,20,0,48,10,6,20,0,36,122
Downers Grove 002,1189,12,14,22,0,48,6,8,10,0,24,25,17,23,0,65,14,22,26,0,62,199
Downers Grove 003,1182,2,9,25,0,36,9,5,6,0,20,23,34,26,0,83,6,14,26,0,46,185
Downers Grove 004,1174,16,15,24,0,55,1,2,3,0,6,12,24,24,0,60,14,21,24,0,59,180
Downers Grove 005,1148,16,11,20,0,47,6,4,7,0,17,25,22,11,0,58,28,18,28,0,74,196
Downers Grove 006,1221,12,7,10,0,29,5,2,5,0,12,15,8,21,0,44,21,23,17,0,61,146
Downers Grove 007,1167,9,14,6,0,29,7,5,4,0,16,66,35,34,0,135,13,12,20,0,45,225
Downers Grove 008,1221,13,20,24,0,57,5,10,4,0,19,48,22,46,0,116,32,31,16,0,79,271
Downers Grove 009,1170,9,20,11,0,40,7,9,3,0,19,32,41,22,0,95,13,26,22,0,61,215
Downers Grove 010,1078,15,7,14,0,36,7,4,9,0,20,24,14,19,0,57,29,29,28,0,86,199
Downers Grove 011,1074,3,8,11,0,22,5,4,3,0,12,17,11,16,0,44,9,13,8,0,30,108
Downers Grove 012,1141,8,16,15,0,39,0,8,7,0,15,44,29,37,0,110,31,14,20,0,65,229
Downers Grove 013,1076,9,9,15,0,33,5,9,2,0,16,54,57,44,0,155,14,15,29,0,58,262
Downers Grove 014,1059,13,12,21,0,46,5,4,4,0,13,31,22,33,0,86,24,27,21,0,72,217
Downers Grove 015,1224,19,35,33,0,87,7,4,6,0,17,25,15,24,0,64,29,11,25,0,65,233
Downers Grove 016,1169,13,21,25,0,59,8,6,3,0,17,7,14,12,0,33,18,27,17,0,62,171
Downers Grove 017,952,13,21,19,0,53,7,4,6,0,17,19,15,15,0,49,30,16,15,0,61,180
Downers Grove 018,817,6,10,12,0,28,3,3,4,0,10,20,28,28,0,76,5,8,13,0,26,140
Downers Grove 019,902,2,10,12,0,24,1,3,6,0,10,9,21,19,0,49,12,20,30,0,62,145
Downers Grove 020,1143,5,5,21,0,31,3,3,3,0,9,17,21,13,0,51,11,14,22,0,47,138
Downers Grove 021,1162,3,8,8,0,19,2,8,6,0,16,14,17,25,0,56,23,15,22,0,60,151
Downers Grove 022,1058,8,5,5,0,18,7,3,4,0,14,23,10,16,0,49,13,13,23,0,49,130
Downers Grove 023,907,0,7,10,0,17,0,2,6,0,8,11,11,19,0,41,11,14,20,0,45,111
Downers Grove 024,982,11,13,11,0,35,8,11,1,0,20,27,31,19,0,77,25,19,21,0,65,197
Downers Grove 025,1099,13,18,18,0,49,6,9,9,0,24,31,29,27,1,88,24,16,29,0,69,230
Downers Grove 026,1104,8,11,13,0,32,7,8,5,0,20,40,24,39,0,103,27,21,25,0,73,228
Downers Grove 027,1072,6,13,15,0,34,4,1,3,0,8,54,40,17,0,111,12,18,18,0,48,201
Downers Grove 028,978,8,15,23,0,46,7,5,6,0,18,10,14,18,0,42,15,19,53,0,87,193
Downers Grove 029,917,10,18,16,0,44,8,3,2,0,13,15,18,14,0,47,15,12,18,0,45,149
Downers Grove 030,927,10,11,15,0,36,8,3,5,0,16,5,17,25,0,47,9,11,21,0,41,140
Downers Grove 031,1150,5,8,20,0,33,2,2,6,0,10,30,28,33,0,91,15,20,17,0,52,186
Downers Grove 032,1092,7,5,14,0,26,4,0,3,0,7,13,15,22,0,50,10,15,22,0,47,130
Downers Grove 033,1019,5,7,5,0,17,1,1,6,0,8,11,22,12,0,45,12,9,15,0,36,106
Downers Grove 034,865,7,3,4,0,14,1,1,0,0,2,7,13,11,0,31,8,13,15,0,36,83
Downers Grove 035,956,3,2,6,0,11,1,1,1,0,3,6,5,10,0,21,7,6,6,0,19,54
Downers Grove 036,925,8,11,13,0,32,3,6,8,0,17,28,27,44,0,99,15,12,31,0,58,206
Downers Grove 037,1074,20,20,20,0,60,2,8,5,0,15,32,26,23,0,81,21,29,25,0,75,231
Downers Grove 038,1083,14,23,23,0,60,4,8,3,0,15,20,15,13,0,48,12,18,18,0,48,171
Downers Grove 039,1259,16,18,21,0,55,6,10,7,0,23,17,22,10,0,49,21,20,32,0,73,200
Downers Grove 040,1206,7,11,36,0,54,3,1,10,0,14,13,22,23,0,58,9,8,21,0,38,164
Downers Grove 041,1054,9,4,24,0,37,0,7,7,0,14,7,11,16,0,34,9,17,18,0,44,129
