FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,,DON TRACY,,,,,R. CARY CAPPARELLI,,,,,PAMELA DENISE LONG,,,,,"JIMMY LEE TILLMAN, II",,,,,JEANNIE EVANS,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 026,1050,2,2,6,0,10,6,4,20,0,30,21,2,44,0,67,1,1,5,0,7,0,0,3,0,3,5,7,17,0,29,146
Bloomingdale 027,666,1,5,4,0,10,1,5,14,0,20,9,0,13,0,22,0,1,3,0,4,0,0,3,0,3,6,0,6,0,12,71
Bloomingdale 028,826,2,0,5,0,7,0,3,7,0,10,3,0,3,0,6,1,1,3,0,5,1,0,2,0,3,4,1,11,0,16,47
Bloomingdale 029,837,3,5,4,0,12,1,0,8,0,9,7,3,6,0,16,1,2,1,0,4,0,0,1,0,1,2,2,12,0,16,58
Bloomingdale 030,851,1,0,4,0,5,6,6,8,0,20,6,3,9,0,18,2,2,4,0,8,1,1,2,0,4,6,3,12,0,21,76
Bloomingdale 031,1047,0,2,1,0,3,2,7,5,0,14,2,2,5,0,9,1,2,4,0,7,0,1,2,0,3,3,0,7,0,10,46
Bloomingdale 032,919,5,1,6,0,12,7,8,26,0,41,6,2,16,0,24,2,1,4,0,7,0,0,0,0,0,5,4,17,0,26,110
Bloomingdale 033,1079,0,1,5,0,6,13,4,21,0,38,13,0,16,0,29,3,0,2,0,5,4,0,2,0,6,7,1,21,0,29,113
Bloomingdale 034,1006,2,1,14,1,18,7,6,19,0,32,4,13,30,0,47,0,3,2,0,5,0,5,1,0,6,7,0,13,0,20,128
Bloomingdale 035,1220,2,3,13,0,18,2,2,23,0,27,5,0,23,0,28,1,3,8,0,12,0,0,4,0,4,10,2,17,0,29,118
Bloomingdale 036,793,1,1,4,0,6,0,4,8,0,12,8,4,9,0,21,1,0,2,0,3,2,0,3,0,5,2,2,5,0,9,56
Bloomingdale 037,1065,1,3,3,0,7,4,3,8,0,15,2,1,1,0,4,0,1,1,0,2,0,0,2,0,2,9,0,5,0,14,44
Bloomingdale 038,916,5,2,4,0,11,2,1,12,0,15,4,4,6,0,14,0,1,2,0,3,0,0,2,0,2,9,8,16,0,33,78
Bloomingdale 039,1066,3,4,2,0,9,1,4,10,0,15,3,1,3,0,7,0,3,2,0,5,0,1,0,0,1,4,5,5,0,14,51
Bloomingdale 040,1028,0,1,4,0,5,2,3,4,0,9,1,1,4,0,6,0,6,4,0,10,0,0,1,0,1,6,3,12,0,21,52
Bloomingdale 041,1127,2,0,9,0,11,7,5,2,0,14,5,3,11,0,19,0,0,2,0,2,2,0,5,0,7,3,1,9,0,13,66
Bloomingdale 042,1305,0,0,4,0,4,4,0,10,0,14,4,0,1,0,5,1,0,3,0,4,1,0,2,0,3,4,0,1,0,5,35
Bloomingdale 043,1051,1,0,6,0,7,12,4,18,0,34,3,1,4,0,8,2,1,2,0,5,0,1,3,0,4,0,1,8,0,9,67
Bloomingdale 044,1146,1,2,3,0,6,5,8,14,0,27,3,4,3,0,10,4,4,4,0,12,0,0,1,0,1,8,2,21,0,31,87
Bloomingdale 045,1024,4,2,3,0,9,0,4,15,0,19,4,4,6,0,14,2,0,2,0,4,0,0,0,0,0,7,4,25,0,36,82
Bloomingdale 046,665,0,0,0,0,0,3,1,3,0,7,2,0,1,0,3,0,0,3,0,3,1,0,2,0,3,1,0,9,0,10,26
Bloomingdale 047,1155,0,1,6,0,7,4,2,8,0,14,3,2,8,0,13,6,1,1,0,8,0,0,2,0,2,6,0,6,0,12,56
Bloomingdale 048,795,4,3,1,0,8,9,1,4,0,14,2,0,2,0,4,0,2,3,0,5,0,0,1,0,1,4,1,5,0,10,42
Bloomingdale 049,658,1,1,0,0,2,1,0,2,0,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,3,0,4,11
Bloomingdale 050,956,3,2,6,0,11,8,2,10,0,20,3,0,10,0,13,3,3,6,0,12,1,0,3,0,4,6,1,10,0,17,77
