FOR UNITED STATES SENATOR ( 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,,ROBIN KELLY,,,,,JULIANA STRATTON,,,,,RAJA KRISHNAMOORTHI,,,,,STEVE BOTSFORD JR.,,,,,BRYAN MAXWELL,,,,,JONATHAN DEAN,,,,,SEAN BROWN,,,,,AWISI A. BUSTOS,,,,,CHRISTOPHER SWANN,,,,,Adam Delgado,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 007,754,0,1,6,0,7,4,4,3,0,11,5,8,18,0,31,16,20,23,0,59,0,0,1,0,1,2,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,114
Bloomingdale 008,787,4,1,4,0,9,3,1,9,0,13,5,6,36,0,47,8,17,46,0,71,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,4,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,148
Bloomingdale 009,1018,2,1,1,0,4,5,2,7,0,14,7,5,26,0,38,20,41,33,0,94,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,155
Bloomingdale 010,983,0,0,1,0,1,3,1,6,0,10,3,7,17,1,28,32,29,49,1,111,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,155
Bloomingdale 011,1186,1,0,3,0,4,9,10,5,0,24,11,16,35,0,62,45,43,78,0,166,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,259
Bloomingdale 012,974,2,3,5,0,10,5,3,9,0,17,9,7,31,0,47,31,38,43,0,112,0,0,0,0,0,2,0,1,0,3,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,3,0,0,3,0,0,0,0,0,195
Bloomingdale 013,1015,0,1,3,0,4,3,2,11,0,16,14,3,18,0,35,21,26,55,0,102,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,163
Bloomingdale 014,1053,8,1,0,0,9,11,9,6,0,26,5,13,27,0,45,21,15,31,0,67,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,152
Bloomingdale 015,1058,2,2,7,0,11,3,2,7,0,12,6,7,20,0,33,19,24,40,0,83,0,0,0,0,0,0,1,1,0,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Bloomingdale 016,991,0,1,2,0,3,2,1,7,0,10,3,13,16,0,32,25,21,34,0,80,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,129
Bloomingdale 017,1146,2,2,3,0,7,3,1,7,0,11,12,12,16,0,40,21,37,47,0,105,1,0,0,0,1,0,1,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,172
Bloomingdale 018,1149,3,3,1,0,7,2,7,6,0,15,4,9,9,0,22,29,36,37,0,102,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
Bloomingdale 019,930,0,1,5,0,6,11,3,2,0,16,5,7,17,0,29,33,27,40,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,154
Bloomingdale 020,1077,0,0,3,0,3,1,2,4,0,7,6,3,17,0,26,11,15,44,0,70,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
Bloomingdale 021,975,1,0,4,0,5,6,2,5,0,13,5,2,19,0,26,19,17,28,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,110
Bloomingdale 022,1009,2,1,4,0,7,3,2,4,0,9,3,8,15,0,26,18,29,29,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Bloomingdale 023,1192,5,5,2,0,12,2,0,5,0,7,20,13,36,0,69,37,42,37,0,116,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,207
Bloomingdale 024,1089,0,8,1,0,9,7,4,5,0,16,7,4,23,0,34,46,43,39,0,128,0,1,0,0,1,0,2,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,193
Bloomingdale 025,1089,0,8,1,0,9,8,1,4,0,13,9,13,17,0,39,39,47,41,0,127,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,191
Bloomingdale 026,1050,2,0,3,0,5,3,0,2,0,5,3,7,20,0,30,18,22,43,0,83,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
Bloomingdale 027,666,0,1,1,0,2,1,4,4,0,9,3,0,6,0,9,14,15,23,0,52,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
Bloomingdale 028,826,1,1,0,0,2,11,11,9,0,31,6,7,22,0,35,9,22,20,0,51,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,126
Bloomingdale 029,837,1,2,1,0,4,5,3,12,0,20,5,4,17,0,26,15,25,11,0,51,0,2,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
Bloomingdale 030,851,1,0,0,0,1,7,6,9,0,22,7,6,8,0,21,30,20,17,0,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113
Bloomingdale 031,1047,1,3,8,0,12,4,3,4,0,11,3,17,31,0,51,10,21,31,0,62,0,0,0,0,0,0,0,1,0,1,2,0,1,0,3,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,142
Bloomingdale 032,919,0,0,1,0,1,18,2,7,0,27,4,9,8,0,21,10,19,35,0,64,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,115
