FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,
,,JB PRITZER / CHRISTIAN MITCHELL,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Bloomingdale 006,1067,31,33,77,0,141,141
Bloomingdale 007,754,26,33,51,0,110,110
Bloomingdale 008,787,21,26,97,0,144,144
Bloomingdale 009,1018,32,47,65,0,144,144
Bloomingdale 010,983,35,37,68,1,141,141
Bloomingdale 011,1186,63,69,110,0,242,242
Bloomingdale 012,974,44,53,83,0,180,180
Bloomingdale 013,1015,37,34,84,0,155,155
Bloomingdale 014,1053,45,35,69,0,149,149
Bloomingdale 015,1058,32,36,73,0,141,141
Bloomingdale 016,991,26,34,54,0,114,114
Bloomingdale 017,1146,38,54,73,0,165,165
Bloomingdale 018,1149,37,53,51,0,141,141
Bloomingdale 019,930,46,36,57,0,139,139
Bloomingdale 020,1077,16,19,65,0,100,100
Bloomingdale 021,975,30,21,56,0,107,107
Bloomingdale 022,1009,25,39,50,0,114,114
Bloomingdale 023,1192,56,60,77,0,193,193
Bloomingdale 024,1089,57,61,68,0,186,186
Bloomingdale 025,1089,54,68,59,0,181,181
Bloomingdale 026,1050,26,28,66,0,120,120
Bloomingdale 027,666,18,19,34,0,71,71
Bloomingdale 028,826,25,38,51,0,114,114
Bloomingdale 029,837,24,34,37,0,95,95
Bloomingdale 030,851,41,30,33,0,104,104
Bloomingdale 031,1047,21,44,72,0,137,137
Bloomingdale 032,919,26,27,50,0,103,103
Bloomingdale 033,1079,56,40,73,0,169,169
Bloomingdale 034,1006,15,47,63,0,125,125
Bloomingdale 035,1220,38,44,85,0,167,167
Bloomingdale 036,793,20,43,68,0,131,131
Bloomingdale 037,1065,37,32,71,0,140,140
Bloomingdale 038,916,26,32,63,0,121,121
Bloomingdale 039,1066,19,50,76,0,145,145
Bloomingdale 040,1028,20,51,70,0,141,141
Bloomingdale 041,1127,43,32,78,0,153,153
Bloomingdale 042,1305,31,27,61,0,119,119
Bloomingdale 043,1051,21,28,45,0,94,94
Bloomingdale 044,1146,44,53,79,0,176,176
Bloomingdale 045,1024,22,39,79,0,140,140
Bloomingdale 046,665,21,29,41,0,91,91
Bloomingdale 047,1155,51,28,69,0,148,148
Bloomingdale 048,795,44,25,39,0,108,108
Bloomingdale 049,658,10,12,36,0,58,58
Bloomingdale 050,956,28,26,52,0,106,106
Bloomingdale 051,1175,34,58,102,0,194,194
Bloomingdale 052,1132,38,55,101,0,194,194
Bloomingdale 053,839,15,30,70,0,115,115
Bloomingdale 054,1187,76,54,88,0,218,218
Bloomingdale 055,815,7,29,44,0,80,80
Bloomingdale 056,1042,34,51,75,0,160,160
Bloomingdale 057,705,21,19,52,0,92,92
Bloomingdale 058,1358,36,29,80,0,145,145
Bloomingdale 059,925,56,47,55,0,158,158
Bloomingdale 060,1095,43,35,56,0,134,134
Bloomingdale 061,1056,29,58,122,0,209,209
Bloomingdale 062,1047,25,42,92,0,159,159
Bloomingdale 063,1053,22,37,94,0,153,153
Bloomingdale 064,1395,28,56,93,0,177,177
Bloomingdale 065,1265,40,28,59,0,127,127
Bloomingdale 066,1091,26,39,52,0,117,117
Bloomingdale 067,686,8,49,67,0,124,124
Bloomingdale 068,1157,34,37,84,1,156,156
Bloomingdale 069,982,39,35,58,0,132,132
Bloomingdale 070,897,14,21,60,0,95,95
Bloomingdale 071,1295,13,48,93,0,154,154
Bloomingdale 072,993,26,34,48,0,108,108
Downers Grove 001,596,34,35,60,0,129,129
Downers Grove 002,1189,58,66,82,0,206,206
Downers Grove 003,1182,41,64,85,0,190,190
Downers Grove 004,1174,46,63,75,0,184,184
Downers Grove 005,1148,77,59,67,0,203,203
Downers Grove 006,1221,54,38,49,0,141,141
Downers Grove 007,1167,95,71,64,0,230,230
Downers Grove 008,1221,99,88,94,0,281,281
Downers Grove 009,1170,63,102,60,0,225,225
Downers Grove 010,1078,75,53,65,0,193,193
Downers Grove 011,1074,34,32,41,0,107,107
Downers Grove 012,1141,86,68,84,0,238,238
Downers Grove 013,1076,83,92,93,0,268,268
Downers Grove 014,1059,73,71,78,0,222,222
Downers Grove 015,1224,83,64,91,0,238,238
Downers Grove 016,1169,46,75,60,0,181,181
Downers Grove 017,952,77,58,55,0,190,190
Downers Grove 018,817,35,48,54,0,137,137
Downers Grove 019,902,22,60,67,0,149,149
Downers Grove 020,1143,36,43,59,0,138,138
Downers Grove 021,1162,47,55,57,0,159,159
Downers Grove 022,1058,52,31,48,0,131,131
Downers Grove 023,907,23,33,54,0,110,110
Downers Grove 024,982,72,77,48,0,197,197
Downers Grove 025,1099,74,78,88,1,241,241
Downers Grove 026,1104,86,66,81,0,233,233
