FOR GOVERNOR AND LIEUTENANT GOVERNOR ( 1),,,,,,,,,,,,,,,,,,,,,,
,,TED DABROWSKI / CARRIE MENDOZA,,,,,JAMES MENDRICK / ROBERT RENTERIA,,,,,DARREN BAILEY / AARON B. DEL MAR,,,,,RICK HEIDNER / CHRISTINA NEITZKE-TROIKE,,,,,
Precinct,Registered Voters,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Early,Vote by Mail,Polling,Provisional,Total Votes,Total
Downers Grove 026,1104,23,14,32,0,69,3,1,5,0,9,3,3,9,0,15,0,0,3,0,3,96
Downers Grove 027,1072,5,1,13,0,19,6,1,11,0,18,4,3,7,0,14,1,1,4,0,6,57
Downers Grove 028,978,10,8,34,0,52,8,2,13,0,23,4,2,9,0,15,2,0,0,0,2,92
Downers Grove 029,917,0,1,6,0,7,10,6,7,0,23,6,5,7,0,18,3,0,4,0,7,55
Downers Grove 030,927,8,4,17,0,29,6,5,10,0,21,5,5,24,0,34,2,2,7,0,11,95
Downers Grove 031,1150,14,11,18,0,43,5,6,5,0,16,0,10,6,0,16,0,0,1,0,1,76
Downers Grove 032,1092,15,8,14,0,37,3,2,7,0,12,3,9,6,0,18,1,1,2,0,4,71
Downers Grove 033,1019,12,3,9,0,24,15,9,21,0,45,2,2,13,0,17,1,0,2,0,3,89
Downers Grove 034,865,9,5,16,0,30,3,7,0,0,10,3,9,4,0,16,0,0,1,0,1,57
Downers Grove 035,956,12,8,6,0,26,5,2,1,0,8,4,5,14,0,23,1,1,3,0,5,62
Downers Grove 036,925,3,1,18,0,22,8,5,8,0,21,5,5,11,0,21,1,1,5,0,7,71
Downers Grove 037,1074,23,11,29,0,63,9,3,7,0,19,5,3,9,0,17,0,1,2,0,3,102
Downers Grove 038,1083,11,2,8,0,21,12,4,10,0,26,7,4,8,0,19,2,1,3,0,6,72
Downers Grove 039,1259,8,5,19,0,32,10,4,6,0,20,10,4,6,0,20,3,3,6,0,12,84
Downers Grove 040,1206,0,7,18,0,25,6,2,7,0,15,3,4,9,0,16,0,2,4,0,6,62
Downers Grove 041,1054,8,9,15,0,32,6,4,7,0,17,5,6,4,0,15,1,2,3,0,6,70
Downers Grove 042,847,7,4,13,0,24,4,4,6,0,14,5,5,11,0,21,2,5,4,0,11,70
