JoinField,JoinField_alt,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
COOK:7300004,COOK:Calumet Precinct 4,4,0,0,0,4
COOK:7300005,COOK:Calumet Precinct 5,4,0,6,0,10
COOK:7300006,COOK:Calumet Precinct 6,3,1,1,1,6
COOK:7300007,COOK:Calumet Precinct 7,3,0,4,2,9
COOK:7300008,COOK:Calumet Precinct 8,1,2,5,0,8
COOK:7300009,COOK:Calumet Precinct 9,3,0,2,0,5
COOK:7300010,COOK:Calumet Precinct 10,5,0,1,0,6
COOK:7300011,COOK:Calumet Precinct 11,1,0,2,0,3
COOK:9800001,COOK:Cicero Precinct 1,4,2,3,0,9
COOK:9800002,COOK:Cicero Precinct 2,1,0,1,1,3
COOK:9800003,COOK:Cicero Precinct 3,1,2,6,2,11
COOK:9800004,COOK:Cicero Precinct 4,3,1,2,1,7
COOK:9800005,COOK:Cicero Precinct 5,13,5,5,3,26
COOK:9800006,COOK:Cicero Precinct 6,4,1,3,1,9
COOK:9800007,COOK:Cicero Precinct 7,1,2,0,0,3
COOK:9800008,COOK:Cicero Precinct 8,5,0,4,3,12
COOK:9800009,COOK:Cicero Precinct 9,0,5,1,1,7
COOK:9800010,COOK:Cicero Precinct 10,12,0,6,1,19
COOK:9800011,COOK:Cicero Precinct 11,10,4,5,2,21
COOK:9800012,COOK:Cicero Precinct 12,8,3,6,5,22
COOK:9800013,COOK:Cicero Precinct 13,18,5,15,12,50
COOK:9800014,COOK:Cicero Precinct 14,5,0,6,5,16
COOK:9800015,COOK:Cicero Precinct 15,6,4,9,3,22
COOK:9800016,COOK:Cicero Precinct 16,3,1,0,1,5
COOK:9800017,COOK:Cicero Precinct 17,4,3,7,0,14
COOK:9800018,COOK:Cicero Precinct 18,4,2,2,1,9
COOK:9800019,COOK:Cicero Precinct 19,10,5,18,5,38
COOK:9800020,COOK:Cicero Precinct 20,1,0,9,2,12
COOK:9800021,COOK:Cicero Precinct 21,4,9,5,1,19
COOK:9800022,COOK:Cicero Precinct 22,3,1,4,3,11
COOK:9800023,COOK:Cicero Precinct 23,3,2,3,4,12
COOK:9800024,COOK:Cicero Precinct 24,3,2,11,0,16
COOK:9800025,COOK:Cicero Precinct 25,4,2,1,2,9
COOK:9800026,COOK:Cicero Precinct 26,7,3,3,2,15
COOK:9800027,COOK:Cicero Precinct 27,9,6,0,4,19
COOK:9800028,COOK:Cicero Precinct 28,10,2,6,2,20
COOK:9800029,COOK:Cicero Precinct 29,5,2,0,2,9
COOK:9800030,COOK:Cicero Precinct 30,10,2,7,2,21
COOK:9800031,COOK:Cicero Precinct 31,7,2,1,2,12
COOK:7400001,COOK:Elk Grove Precinct 1,37,1,10,3,51
COOK:7400002,COOK:Elk Grove Precinct 2,18,2,8,3,31
COOK:7400003,COOK:Elk Grove Precinct 3,49,11,21,11,92
COOK:7400004,COOK:Elk Grove Precinct 4,28,11,15,7,61
COOK:7400005,COOK:Elk Grove Precinct 5,50,5,18,6,79
COOK:7400006,COOK:Elk Grove Precinct 6,48,9,20,12,89
COOK:7400007,COOK:Elk Grove Precinct 7,36,2,20,8,66
COOK:7400008,COOK:Elk Grove Precinct 8,55,5,28,17,105
COOK:7400009,COOK:Elk Grove Precinct 9,51,5,11,8,75
COOK:7400010,COOK:Elk Grove Precinct 10,59,9,26,8,102
