JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,14,0,12,0,26
CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,21,2,11,2,36
CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,9,3,5,3,20
CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,13,1,5,4,23
CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,4,3,9,2,18
CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,6,3,7,2,18
CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,11,2,3,0,16
CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,13,1,6,0,20
CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,8,4,5,1,18
CITY OF CHICAGO:WARD 40 PRECINCT 08,40,8,7,3,7,0,17
CITY OF CHICAGO:WARD 40 PRECINCT 09,40,9,15,3,12,2,32
CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,7,1,4,1,13
CITY OF CHICAGO:WARD 40 PRECINCT 11,40,11,26,4,9,5,44
CITY OF CHICAGO:WARD 40 PRECINCT 12,40,12,9,4,4,1,18
CITY OF CHICAGO:WARD 40 PRECINCT 13,40,13,7,2,3,1,13
CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,4,2,2,1,9
CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,3,1,2,1,7
CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,4,0,1,1,6
CITY OF CHICAGO:WARD 40 PRECINCT 17,40,17,5,2,3,1,11
CITY OF CHICAGO:WARD 40 PRECINCT 18,40,18,7,1,8,1,17
CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,6,0,6,1,13
CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,14,2,7,1,24
CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,2,0,2,1,5
CITY OF CHICAGO:WARD 40 PRECINCT 22,40,22,7,4,6,0,17
CITY OF CHICAGO:WARD 40 PRECINCT 23,40,23,13,2,1,0,16
CITY OF CHICAGO:WARD 41 PRECINCT 01,41,1,32,6,22,11,71
CITY OF CHICAGO:WARD 41 PRECINCT 02,41,2,11,5,9,2,27
CITY OF CHICAGO:WARD 41 PRECINCT 03,41,3,20,0,13,4,37
CITY OF CHICAGO:WARD 41 PRECINCT 04,41,4,26,5,24,3,58
CITY OF CHICAGO:WARD 41 PRECINCT 05,41,5,37,6,16,3,62
CITY OF CHICAGO:WARD 41 PRECINCT 06,41,6,34,6,25,10,75
CITY OF CHICAGO:WARD 41 PRECINCT 07,41,7,13,2,13,3,31
CITY OF CHICAGO:WARD 41 PRECINCT 08,41,8,16,3,12,4,35
CITY OF CHICAGO:WARD 41 PRECINCT 09,41,9,28,8,27,8,71
CITY OF CHICAGO:WARD 41 PRECINCT 10,41,10,33,6,33,3,75
CITY OF CHICAGO:WARD 41 PRECINCT 11,41,11,33,1,14,9,57
CITY OF CHICAGO:WARD 41 PRECINCT 12,41,12,15,6,12,4,37
CITY OF CHICAGO:WARD 41 PRECINCT 13,41,13,47,7,30,5,89
CITY OF CHICAGO:WARD 41 PRECINCT 14,41,14,38,9,35,7,89
CITY OF CHICAGO:WARD 41 PRECINCT 15,41,15,64,8,37,12,121
CITY OF CHICAGO:WARD 41 PRECINCT 16,41,16,19,3,14,7,43
CITY OF CHICAGO:WARD 41 PRECINCT 17,41,17,15,2,6,3,26
CITY OF CHICAGO:WARD 41 PRECINCT 18,41,18,57,12,35,6,110
CITY OF CHICAGO:WARD 41 PRECINCT 19,41,19,29,2,15,1,47
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,15,2,14,5,36
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,16,7,13,6,42
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,15,3,13,5,36
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,22,4,28,8,62
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,41,11,30,12,94
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,34,9,39,6,88
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,41,5,32,7,85
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,20,6,24,6,56
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,54,8,38,8,108
CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,64,12,36,2,114
CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,51,6,33,13,103
CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,46,10,32,9,97
CITY OF CHICAGO:WARD 42 PRECINCT 01,42,1,10,1,7,6,24
CITY OF CHICAGO:WARD 42 PRECINCT 02,42,2,7,0,2,0,9
CITY OF CHICAGO:WARD 42 PRECINCT 03,42,3,31,3,13,4,51
CITY OF CHICAGO:WARD 42 PRECINCT 04,42,4,15,3,10,4,32
CITY OF CHICAGO:WARD 42 PRECINCT 05,42,5,31,6,14,3,54
CITY OF CHICAGO:WARD 42 PRECINCT 06,42,6,14,4,17,3,38
CITY OF CHICAGO:WARD 42 PRECINCT 07,42,7,29,3,11,4,47
CITY OF CHICAGO:WARD 42 PRECINCT 08,42,8,9,2,5,3,19
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,13,3,17,3,36
CITY OF CHICAGO:WARD 42 PRECINCT 10,42,10,14,0,11,1,26
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,4,2,3,3,12
CITY OF CHICAGO:WARD 42 PRECINCT 12,42,12,18,2,5,0,25
CITY OF CHICAGO:WARD 42 PRECINCT 13,42,13,9,2,2,1,14
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,4,2,1,0,7
CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,3,2,4,0,9
CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,16,1,9,2,28
CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,19,1,11,1,32
CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,10,0,5,1,16
CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,27,2,8,3,40
CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,13,2,8,5,28
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,21,2,9,4,36
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,27,5,8,9,49
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,22,6,16,10,54
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,28,5,13,6,52
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,22,6,12,4,44
CITY OF CHICAGO:WARD 43 PRECINCT 02,43,2,14,1,11,3,29
CITY OF CHICAGO:WARD 43 PRECINCT 03,43,3,12,2,4,2,20
CITY OF CHICAGO:WARD 43 PRECINCT 04,43,4,22,1,5,4,32
CITY OF CHICAGO:WARD 43 PRECINCT 05,43,5,22,2,5,6,35
CITY OF CHICAGO:WARD 43 PRECINCT 06,43,6,28,6,12,7,53
CITY OF CHICAGO:WARD 43 PRECINCT 07,43,7,7,2,9,4,22
CITY OF CHICAGO:WARD 43 PRECINCT 08,43,8,15,2,7,2,26
CITY OF CHICAGO:WARD 43 PRECINCT 09,43,9,23,0,8,3,34
CITY OF CHICAGO:WARD 43 PRECINCT 10,43,10,17,3,9,4,33
CITY OF CHICAGO:WARD 43 PRECINCT 11,43,11,13,2,8,4,27
CITY OF CHICAGO:WARD 43 PRECINCT 12,43,12,12,3,6,2,23
CITY OF CHICAGO:WARD 43 PRECINCT 13,43,13,17,3,6,2,28
CITY OF CHICAGO:WARD 43 PRECINCT 14,43,14,7,1,2,0,10
CITY OF CHICAGO:WARD 43 PRECINCT 15,43,15,13,3,10,0,26
CITY OF CHICAGO:WARD 43 PRECINCT 16,43,16,7,0,2,4,13
CITY OF CHICAGO:WARD 43 PRECINCT 17,43,17,11,2,4,2,19
CITY OF CHICAGO:WARD 43 PRECINCT 18,43,18,23,7,7,4,41
CITY OF CHICAGO:WARD 43 PRECINCT 19,43,19,20,1,8,4,33
CITY OF CHICAGO:WARD 43 PRECINCT 20,43,20,16,0,3,3,22
CITY OF CHICAGO:WARD 43 PRECINCT 21,43,21,9,1,3,0,13
CITY OF CHICAGO:WARD 43 PRECINCT 22,43,22,18,0,5,1,24
CITY OF CHICAGO:WARD 43 PRECINCT 23,43,23,19,1,5,1,26
CITY OF CHICAGO:WARD 44 PRECINCT 01,44,1,4,1,2,1,8
CITY OF CHICAGO:WARD 44 PRECINCT 02,44,2,13,0,9,4,26
CITY OF CHICAGO:WARD 44 PRECINCT 03,44,3,16,0,3,1,20
CITY OF CHICAGO:WARD 44 PRECINCT 04,44,4,10,7,11,4,32
CITY OF CHICAGO:WARD 44 PRECINCT 05,44,5,4,1,1,1,7
CITY OF CHICAGO:WARD 44 PRECINCT 06,44,6,8,2,4,1,15
CITY OF CHICAGO:WARD 44 PRECINCT 07,44,7,12,1,4,4,21
CITY OF CHICAGO:WARD 44 PRECINCT 08,44,8,17,0,13,6,36
CITY OF CHICAGO:WARD 44 PRECINCT 09,44,9,19,4,8,1,32
CITY OF CHICAGO:WARD 44 PRECINCT 10,44,10,14,1,12,2,29
CITY OF CHICAGO:WARD 44 PRECINCT 11,44,11,9,2,7,1,19
CITY OF CHICAGO:WARD 44 PRECINCT 12,44,12,8,1,10,3,22
CITY OF CHICAGO:WARD 44 PRECINCT 13,44,13,10,1,5,0,16
CITY OF CHICAGO:WARD 44 PRECINCT 14,44,14,10,2,7,1,20
CITY OF CHICAGO:WARD 44 PRECINCT 15,44,15,11,1,5,4,21
CITY OF CHICAGO:WARD 44 PRECINCT 16,44,16,18,1,7,2,28
CITY OF CHICAGO:WARD 44 PRECINCT 17,44,17,6,2,10,2,20
CITY OF CHICAGO:WARD 44 PRECINCT 18,44,18,9,0,4,2,15
CITY OF CHICAGO:WARD 44 PRECINCT 19,44,19,12,1,4,0,17
CITY OF CHICAGO:WARD 44 PRECINCT 20,44,20,2,1,2,0,5
CITY OF CHICAGO:WARD 44 PRECINCT 21,44,21,8,1,4,3,16
CITY OF CHICAGO:WARD 45 PRECINCT 01,45,1,25,7,36,5,73
CITY OF CHICAGO:WARD 45 PRECINCT 02,45,2,25,0,8,1,34
CITY OF CHICAGO:WARD 45 PRECINCT 03,45,3,7,1,12,3,23
CITY OF CHICAGO:WARD 45 PRECINCT 04,45,4,7,0,12,5,24
CITY OF CHICAGO:WARD 45 PRECINCT 05,45,5,19,3,15,4,41
CITY OF CHICAGO:WARD 45 PRECINCT 06,45,6,25,5,20,7,57
CITY OF CHICAGO:WARD 45 PRECINCT 07,45,7,16,5,16,8,45
CITY OF CHICAGO:WARD 45 PRECINCT 08,45,8,19,9,20,4,52
CITY OF CHICAGO:WARD 45 PRECINCT 09,45,9,27,3,17,4,51
CITY OF CHICAGO:WARD 45 PRECINCT 10,45,10,24,2,11,4,41
CITY OF CHICAGO:WARD 45 PRECINCT 11,45,11,28,7,23,5,63
CITY OF CHICAGO:WARD 45 PRECINCT 12,45,12,17,2,16,3,38
CITY OF CHICAGO:WARD 45 PRECINCT 13,45,13,20,9,21,5,55
CITY OF CHICAGO:WARD 45 PRECINCT 14,45,14,12,5,11,1,29
CITY OF CHICAGO:WARD 45 PRECINCT 15,45,15,12,5,7,1,25
CITY OF CHICAGO:WARD 45 PRECINCT 16,45,16,10,5,13,5,33
CITY OF CHICAGO:WARD 45 PRECINCT 17,45,17,35,1,17,2,55
CITY OF CHICAGO:WARD 45 PRECINCT 18,45,18,26,4,13,5,48
CITY OF CHICAGO:WARD 45 PRECINCT 19,45,19,15,2,10,1,28
CITY OF CHICAGO:WARD 45 PRECINCT 20,45,20,19,4,15,3,41
CITY OF CHICAGO:WARD 45 PRECINCT 21,45,21,22,3,14,1,40
CITY OF CHICAGO:WARD 45 PRECINCT 22,45,22,7,4,3,3,17
CITY OF CHICAGO:WARD 45 PRECINCT 23,45,23,20,2,17,1,40
CITY OF CHICAGO:WARD 45 PRECINCT 24,45,24,18,0,13,4,35
CITY OF CHICAGO:WARD 45 PRECINCT 25,45,25,25,5,10,4,44
CITY OF CHICAGO:WARD 45 PRECINCT 26,45,26,9,4,10,3,26
CITY OF CHICAGO:WARD 45 PRECINCT 27,45,27,21,3,8,5,37
CITY OF CHICAGO:WARD 45 PRECINCT 28,45,28,19,5,18,2,44
CITY OF CHICAGO:WARD 45 PRECINCT 29,45,29,9,5,3,1,18
CITY OF CHICAGO:WARD 46 PRECINCT 01,46,1,17,2,8,1,28
CITY OF CHICAGO:WARD 46 PRECINCT 02,46,2,7,0,4,1,12
CITY OF CHICAGO:WARD 46 PRECINCT 03,46,3,9,2,3,1,15
CITY OF CHICAGO:WARD 46 PRECINCT 04,46,4,16,3,4,5,28
CITY OF CHICAGO:WARD 46 PRECINCT 05,46,5,12,3,5,3,23
CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,10,3,8,3,24
CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,5,0,2,1,8
CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,5,1,2,0,8
CITY OF CHICAGO:WARD 46 PRECINCT 09,46,9,14,3,4,6,27
CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,9,2,4,3,18
CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,6,6,9,1,22
CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,10,6,13,6,35
CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,8,0,5,4,17
CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,2,3,1,3,9
CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,23,4,13,7,47
CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,4,2,5,1,12
CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,8,0,9,0,17
CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,11,6,7,3,27
CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,5,7,6,1,19
CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,5,3,8,2,18
CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,9,3,3,2,17
CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,10,3,6,1,20
CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,2,2,3,2,9
CITY OF CHICAGO:WARD 47 PRECINCT 01,47,1,6,3,6,1,16
CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,5,2,7,1,15
CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,2,0,1,0,3
CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,4,2,5,0,11
CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,3,1,2,0,6
CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,4,1,1,0,6
CITY OF CHICAGO:WARD 47 PRECINCT 07,47,7,8,4,4,1,17
CITY OF CHICAGO:WARD 47 PRECINCT 08,47,8,6,1,0,1,8
CITY OF CHICAGO:WARD 47 PRECINCT 09,47,9,11,1,2,0,14
CITY OF CHICAGO:WARD 47 PRECINCT 10,47,10,9,1,4,0,14
CITY OF CHICAGO:WARD 47 PRECINCT 11,47,11,3,0,5,2,10
CITY OF CHICAGO:WARD 47 PRECINCT 12,47,12,2,0,5,1,8
CITY OF CHICAGO:WARD 47 PRECINCT 13,47,13,6,0,7,1,14
CITY OF CHICAGO:WARD 47 PRECINCT 14,47,14,14,3,6,2,25
CITY OF CHICAGO:WARD 47 PRECINCT 15,47,15,12,0,9,5,26
CITY OF CHICAGO:WARD 47 PRECINCT 16,47,16,8,2,1,1,12
CITY OF CHICAGO:WARD 47 PRECINCT 17,47,17,7,2,4,1,14
CITY OF CHICAGO:WARD 47 PRECINCT 18,47,18,3,0,0,0,3
CITY OF CHICAGO:WARD 47 PRECINCT 19,47,19,7,0,4,1,12
CITY OF CHICAGO:WARD 47 PRECINCT 20,47,20,9,2,2,2,15
CITY OF CHICAGO:WARD 47 PRECINCT 21,47,21,12,2,6,2,22
CITY OF CHICAGO:WARD 47 PRECINCT 22,47,22,5,1,2,0,8
CITY OF CHICAGO:WARD 47 PRECINCT 23,47,23,13,0,8,4,25
CITY OF CHICAGO:WARD 47 PRECINCT 24,47,24,6,3,7,2,18
CITY OF CHICAGO:WARD 47 PRECINCT 25,47,25,8,1,3,1,13
CITY OF CHICAGO:WARD 47 PRECINCT 26,47,26,11,3,4,2,20
CITY OF CHICAGO:WARD 47 PRECINCT 27,47,27,9,0,5,2,16
CITY OF CHICAGO:WARD 47 PRECINCT 28,47,28,10,2,6,3,21
CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,6,0,3,2,11
CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,6,1,1,2,10
CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,9,2,4,2,17
CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,2,1,3,1,7
CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,2,1,1,3,7
CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,6,1,5,2,14
CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,6,0,5,0,11
CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,7,2,2,3,14
CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,9,0,8,2,19
CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,3,0,2,2,7
CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,2,1,2,1,6
CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,15,3,13,5,36
CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,21,0,14,2,37
CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,3,1,4,0,8
CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,5,3,7,1,16
CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,4,0,4,1,9
CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,10,1,6,3,20
CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,13,3,8,3,27
CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,1,1,2,0,4
CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,3,1,5,1,10
CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,12,2,7,5,26
CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,10,3,7,5,25
CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,10,5,7,3,25
CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,21,4,12,9,46
CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,1,1,5,2,9
CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,6,0,2,1,9
CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,11,1,6,3,21
CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,2,1,0,1,4
CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,9,1,2,2,14
CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,8,0,3,2,13
CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,6,0,0,1,7
CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,2,1,2,0,5
CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,3,1,3,0,7
CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,3,2,9,4,18
CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,8,1,6,0,15
CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,7,1,2,0,10
CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,12,3,9,3,27
CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,11,3,7,6,27
CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,11,4,7,0,22
CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,8,0,4,2,14
CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,0,0,0,0,0
CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,15,6,5,2,28
CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,3,1,4,2,10
CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,16,0,6,1,23
CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,7,1,7,0,15
CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,11,3,4,1,19
CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,9,3,7,4,23
CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,10,6,8,2,26
CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,9,0,6,2,17
CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,12,1,6,1,20
CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,6,0,5,2,13
CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,4,2,5,0,11
CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,7,1,4,2,14
CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,15,6,7,1,29
CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,12,2,6,3,23
CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,9,2,8,1,20
CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,12,3,6,2,23
CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,4,3,4,1,12
CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,13,2,9,4,28
CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,9,3,6,2,20
CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,2,2,2,0,6
CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,9,2,4,0,15
CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,7,3,4,0,14
CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,7,3,2,3,15
CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,12,1,8,0,21
CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,9,1,3,3,16
CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,14,2,8,2,26
CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,4,3,3,0,10
CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,10,3,2,0,15
CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,1,1,0,0,2
CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,7,1,1,0,9
CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,3,3,3,2,11
CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,10,3,4,1,18
CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,11,4,4,5,24
CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,9,9,7,2,27
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,15,1,4,4,24
CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,2,1,4,2,9
CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,12,0,4,0,16
CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,9,1,3,4,17
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,15,4,12,0,31
