JoinField,Ward,Precinct,Ted Dabrowski & Carrie Mendoza,James Mendrick & Robert Renteria,Darren Bailey & Aaron B. Del Mar,Rick Heidner & Christina Neitzke-Troike,Total Voters
CITY OF CHICAGO:WARD 09 PRECINCT 16,9,16,2,1,5,0,8
CITY OF CHICAGO:WARD 09 PRECINCT 17,9,17,0,0,1,2,3
CITY OF CHICAGO:WARD 09 PRECINCT 18,9,18,1,2,4,2,9
CITY OF CHICAGO:WARD 09 PRECINCT 19,9,19,2,0,1,1,4
CITY OF CHICAGO:WARD 09 PRECINCT 20,9,20,10,1,6,2,19
CITY OF CHICAGO:WARD 09 PRECINCT 21,9,21,0,2,3,0,5
CITY OF CHICAGO:WARD 09 PRECINCT 22,9,22,1,0,4,1,6
CITY OF CHICAGO:WARD 09 PRECINCT 23,9,23,1,0,3,0,4
CITY OF CHICAGO:WARD 09 PRECINCT 24,9,24,3,0,2,1,6
CITY OF CHICAGO:WARD 09 PRECINCT 25,9,25,2,0,3,0,5
CITY OF CHICAGO:WARD 09 PRECINCT 26,9,26,2,0,2,1,5
CITY OF CHICAGO:WARD 09 PRECINCT 27,9,27,2,0,1,0,3
CITY OF CHICAGO:WARD 09 PRECINCT 28,9,28,4,0,2,0,6
CITY OF CHICAGO:WARD 09 PRECINCT 29,9,29,1,3,2,0,6
CITY OF CHICAGO:WARD 09 PRECINCT 30,9,30,4,2,3,0,9
CITY OF CHICAGO:WARD 10 PRECINCT 01,10,1,1,1,6,0,8
CITY OF CHICAGO:WARD 10 PRECINCT 02,10,2,4,1,0,2,7
CITY OF CHICAGO:WARD 10 PRECINCT 03,10,3,5,2,0,3,10
CITY OF CHICAGO:WARD 10 PRECINCT 04,10,4,5,3,2,2,12
CITY OF CHICAGO:WARD 10 PRECINCT 05,10,5,0,2,2,0,4
CITY OF CHICAGO:WARD 10 PRECINCT 06,10,6,0,2,2,1,5
CITY OF CHICAGO:WARD 10 PRECINCT 07,10,7,10,2,10,4,26
CITY OF CHICAGO:WARD 10 PRECINCT 08,10,8,13,2,5,1,21
CITY OF CHICAGO:WARD 10 PRECINCT 09,10,9,0,3,4,0,7
CITY OF CHICAGO:WARD 10 PRECINCT 10,10,10,6,3,9,1,19
CITY OF CHICAGO:WARD 10 PRECINCT 11,10,11,1,0,2,1,4
CITY OF CHICAGO:WARD 10 PRECINCT 12,10,12,5,3,3,1,12
CITY OF CHICAGO:WARD 10 PRECINCT 13,10,13,4,6,4,2,16
CITY OF CHICAGO:WARD 10 PRECINCT 14,10,14,11,2,12,3,28
CITY OF CHICAGO:WARD 10 PRECINCT 15,10,15,16,4,10,2,32
CITY OF CHICAGO:WARD 10 PRECINCT 16,10,16,15,1,15,2,33
CITY OF CHICAGO:WARD 10 PRECINCT 17,10,17,14,5,7,8,34
CITY OF CHICAGO:WARD 10 PRECINCT 18,10,18,23,10,22,0,55
CITY OF CHICAGO:WARD 10 PRECINCT 19,10,19,10,3,17,4,34
CITY OF CHICAGO:WARD 10 PRECINCT 20,10,20,5,1,8,0,14
CITY OF CHICAGO:WARD 10 PRECINCT 21,10,21,11,2,9,4,26
CITY OF CHICAGO:WARD 10 PRECINCT 22,10,22,23,3,26,3,55
CITY OF CHICAGO:WARD 10 PRECINCT 23,10,23,4,1,1,2,8
CITY OF CHICAGO:WARD 10 PRECINCT 24,10,24,0,0,3,0,3
CITY OF CHICAGO:WARD 10 PRECINCT 25,10,25,2,1,1,0,4
CITY OF CHICAGO:WARD 11 PRECINCT 01,11,1,7,3,3,0,13
CITY OF CHICAGO:WARD 11 PRECINCT 02,11,2,0,0,2,0,2
CITY OF CHICAGO:WARD 11 PRECINCT 03,11,3,7,3,7,3,20
CITY OF CHICAGO:WARD 11 PRECINCT 04,11,4,9,4,6,3,22
CITY OF CHICAGO:WARD 11 PRECINCT 05,11,5,9,6,10,2,27
CITY OF CHICAGO:WARD 11 PRECINCT 06,11,6,11,4,10,2,27
CITY OF CHICAGO:WARD 11 PRECINCT 07,11,7,4,5,6,1,16
CITY OF CHICAGO:WARD 11 PRECINCT 08,11,8,12,1,15,4,32
CITY OF CHICAGO:WARD 11 PRECINCT 09,11,9,10,4,13,0,27
CITY OF CHICAGO:WARD 11 PRECINCT 10,11,10,9,1,4,2,16
CITY OF CHICAGO:WARD 11 PRECINCT 11,11,11,1,0,1,0,2
CITY OF CHICAGO:WARD 11 PRECINCT 12,11,12,4,3,5,0,12
CITY OF CHICAGO:WARD 11 PRECINCT 13,11,13,9,7,6,3,25
CITY OF CHICAGO:WARD 11 PRECINCT 14,11,14,18,4,16,4,42
CITY OF CHICAGO:WARD 11 PRECINCT 15,11,15,5,0,3,1,9
CITY OF CHICAGO:WARD 11 PRECINCT 16,11,16,9,2,16,1,28
CITY OF CHICAGO:WARD 11 PRECINCT 17,11,17,12,4,10,0,26
CITY OF CHICAGO:WARD 11 PRECINCT 18,11,18,8,5,10,2,25
CITY OF CHICAGO:WARD 11 PRECINCT 19,11,19,3,0,7,3,13
CITY OF CHICAGO:WARD 11 PRECINCT 20,11,20,7,4,13,1,25
CITY OF CHICAGO:WARD 11 PRECINCT 21,11,21,20,8,20,3,51
CITY OF CHICAGO:WARD 11 PRECINCT 22,11,22,26,4,21,1,52
CITY OF CHICAGO:WARD 11 PRECINCT 23,11,23,22,4,27,3,56
CITY OF CHICAGO:WARD 12 PRECINCT 01,12,1,4,1,7,1,13
CITY OF CHICAGO:WARD 12 PRECINCT 02,12,2,5,1,2,2,10
CITY OF CHICAGO:WARD 12 PRECINCT 03,12,3,2,2,4,2,10
CITY OF CHICAGO:WARD 12 PRECINCT 04,12,4,9,1,9,0,19
CITY OF CHICAGO:WARD 12 PRECINCT 05,12,5,5,4,5,6,20
CITY OF CHICAGO:WARD 12 PRECINCT 06,12,6,5,1,9,2,17
CITY OF CHICAGO:WARD 12 PRECINCT 07,12,7,9,1,1,0,11
