JoinField,Ted Dabrowski,James Mendrick,Darren Bailey,Rick Heidner,Total Voters
DUPAGE:BLOOMINGDALE 003,40,20,24,13,97
DUPAGE:BLOOMINGDALE 004,18,23,5,7,53
DUPAGE:BLOOMINGDALE 005,20,8,19,7,54
DUPAGE:BLOOMINGDALE 006,23,20,42,5,90
DUPAGE:BLOOMINGDALE 007,5,6,12,9,32
DUPAGE:BLOOMINGDALE 008,6,6,3,2,17
DUPAGE:BLOOMINGDALE 009,25,22,17,11,75
DUPAGE:BLOOMINGDALE 010,26,25,28,14,93
DUPAGE:BLOOMINGDALE 011,31,28,34,15,108
DUPAGE:BLOOMINGDALE 012,15,19,19,5,58
DUPAGE:BLOOMINGDALE 013,28,22,33,20,103
DUPAGE:BLOOMINGDALE 014,26,12,10,10,58
DUPAGE:BLOOMINGDALE 015,29,19,14,7,69
DUPAGE:BLOOMINGDALE 016,18,13,22,3,56
DUPAGE:BLOOMINGDALE 017,39,29,30,11,109
DUPAGE:BLOOMINGDALE 018,40,31,44,25,140
DUPAGE:BLOOMINGDALE 019,30,15,20,14,79
DUPAGE:BLOOMINGDALE 020,63,28,29,22,142
DUPAGE:BLOOMINGDALE 021,30,14,19,14,77
DUPAGE:BLOOMINGDALE 022,22,19,11,6,58
DUPAGE:BLOOMINGDALE 023,35,34,24,17,110
DUPAGE:BLOOMINGDALE 024,37,16,27,20,100
DUPAGE:BLOOMINGDALE 025,60,26,34,25,145
DUPAGE:BLOOMINGDALE 026,51,49,36,13,149
DUPAGE:BLOOMINGDALE 027,25,17,19,10,71
DUPAGE:BLOOMINGDALE 028,16,16,11,4,47
DUPAGE:BLOOMINGDALE 029,26,14,12,6,58
DUPAGE:BLOOMINGDALE 030,21,16,16,26,79
DUPAGE:BLOOMINGDALE 031,13,11,20,5,49
DUPAGE:BLOOMINGDALE 032,43,21,25,22,111
DUPAGE:BLOOMINGDALE 033,44,23,24,25,116
DUPAGE:BLOOMINGDALE 034,41,33,28,29,131
DUPAGE:BLOOMINGDALE 035,49,35,21,15,120
DUPAGE:BLOOMINGDALE 036,10,25,12,7,54
DUPAGE:BLOOMINGDALE 037,16,14,11,5,46
DUPAGE:BLOOMINGDALE 038,25,26,17,11,79
DUPAGE:BLOOMINGDALE 039,16,12,16,9,53
DUPAGE:BLOOMINGDALE 040,14,17,11,9,51
DUPAGE:BLOOMINGDALE 041,34,15,6,11,66
DUPAGE:BLOOMINGDALE 042,11,11,12,3,37
DUPAGE:BLOOMINGDALE 043,18,28,14,9,69
DUPAGE:BLOOMINGDALE 044,16,24,32,16,88
DUPAGE:BLOOMINGDALE 045,24,26,14,21,85
DUPAGE:BLOOMINGDALE 046,12,12,1,1,26
DUPAGE:BLOOMINGDALE 047,17,14,14,11,56
DUPAGE:BLOOMINGDALE 048,21,12,7,2,42
DUPAGE:BLOOMINGDALE 049,3,2,4,1,10
DUPAGE:BLOOMINGDALE 050,19,36,15,8,78
DUPAGE:BLOOMINGDALE 051,32,47,38,14,131
DUPAGE:BLOOMINGDALE 052,11,34,26,6,77
DUPAGE:BLOOMINGDALE 053,14,9,12,3,38
DUPAGE:BLOOMINGDALE 054,13,41,17,2,73
DUPAGE:BLOOMINGDALE 055,17,9,4,1,31
DUPAGE:BLOOMINGDALE 056,14,16,7,1,38
DUPAGE:BLOOMINGDALE 057,5,13,5,2,25
DUPAGE:BLOOMINGDALE 058,13,21,23,4,61
DUPAGE:BLOOMINGDALE 059,14,8,4,2,28
DUPAGE:BLOOMINGDALE 060,8,20,17,8,53
DUPAGE:BLOOMINGDALE 061,28,24,20,5,77
DUPAGE:BLOOMINGDALE 062,21,42,25,11,99
DUPAGE:BLOOMINGDALE 063,27,23,18,8,76
DUPAGE:BLOOMINGDALE 064,18,21,17,6,62
DUPAGE:BLOOMINGDALE 065,17,33,15,7,72
DUPAGE:BLOOMINGDALE 066,11,9,5,7,32
DUPAGE:BLOOMINGDALE 067,23,26,108,17,174
DUPAGE:BLOOMINGDALE 068,18,21,26,6,71
DUPAGE:BLOOMINGDALE 069,15,15,11,2,43
DUPAGE:BLOOMINGDALE 070,8,11,19,3,41
DUPAGE:BLOOMINGDALE 071,21,16,17,6,60
DUPAGE:BLOOMINGDALE 072,15,16,16,10,57
DUPAGE:DOWNERS GROVE 001,26,27,15,7,75
DUPAGE:DOWNERS GROVE 002,32,19,24,7,82
DUPAGE:DOWNERS GROVE 003,49,33,19,8,109
DUPAGE:DOWNERS GROVE 004,26,35,23,9,93
DUPAGE:DOWNERS GROVE 005,32,21,29,9,91
DUPAGE:DOWNERS GROVE 006,39,18,25,9,91
DUPAGE:DOWNERS GROVE 007,42,11,10,2,65
DUPAGE:DOWNERS GROVE 008,37,16,17,5,75
DUPAGE:DOWNERS GROVE 009,51,17,18,10,96
DUPAGE:DOWNERS GROVE 010,23,31,14,6,74
DUPAGE:DOWNERS GROVE 011,47,9,16,4,76
DUPAGE:DOWNERS GROVE 012,45,18,9,12,84
DUPAGE:DOWNERS GROVE 013,43,13,14,6,76
DUPAGE:DOWNERS GROVE 014,32,19,19,7,77
DUPAGE:DOWNERS GROVE 015,32,18,26,15,91
DUPAGE:DOWNERS GROVE 016,33,22,20,13,88
DUPAGE:DOWNERS GROVE 017,27,19,15,7,68
DUPAGE:DOWNERS GROVE 018,39,7,17,4,67
DUPAGE:DOWNERS GROVE 019,26,3,13,4,46
DUPAGE:DOWNERS GROVE 020,37,12,18,4,71
DUPAGE:DOWNERS GROVE 021,56,14,18,3,91
DUPAGE:DOWNERS GROVE 022,29,5,11,4,49
DUPAGE:DOWNERS GROVE 023,21,12,18,0,51
DUPAGE:DOWNERS GROVE 024,45,15,14,7,81
DUPAGE:DOWNERS GROVE 025,36,22,16,7,81
DUPAGE:DOWNERS GROVE 026,69,9,15,3,96
DUPAGE:DOWNERS GROVE 027,19,18,14,6,57
DUPAGE:DOWNERS GROVE 028,52,23,15,2,92
DUPAGE:DOWNERS GROVE 029,7,23,18,7,55
DUPAGE:DOWNERS GROVE 030,29,21,34,11,95
DUPAGE:DOWNERS GROVE 031,43,16,16,1,76
DUPAGE:DOWNERS GROVE 032,37,12,18,4,71
DUPAGE:DOWNERS GROVE 033,24,45,17,3,89
DUPAGE:DOWNERS GROVE 034,30,10,16,1,57
DUPAGE:DOWNERS GROVE 035,26,8,23,5,62
DUPAGE:DOWNERS GROVE 036,22,21,21,7,71
DUPAGE:DOWNERS GROVE 037,63,19,17,3,102
DUPAGE:DOWNERS GROVE 038,21,26,19,6,72
DUPAGE:DOWNERS GROVE 039,32,20,20,12,84
DUPAGE:DOWNERS GROVE 040,25,15,16,6,62
DUPAGE:DOWNERS GROVE 041,32,17,15,6,70
DUPAGE:DOWNERS GROVE 042,24,14,21,11,70
DUPAGE:DOWNERS GROVE 043,37,16,17,7,77
DUPAGE:DOWNERS GROVE 044,20,19,18,9,66
DUPAGE:DOWNERS GROVE 045,43,24,14,1,82
DUPAGE:DOWNERS GROVE 046,84,27,18,6,135
DUPAGE:DOWNERS GROVE 047,24,38,18,7,87
DUPAGE:DOWNERS GROVE 048,24,14,6,3,47
DUPAGE:DOWNERS GROVE 049,23,7,12,6,48
DUPAGE:DOWNERS GROVE 050,23,24,21,10,78
DUPAGE:DOWNERS GROVE 051,18,7,18,1,44
DUPAGE:DOWNERS GROVE 052,19,8,27,4,58
DUPAGE:DOWNERS GROVE 053,48,15,30,9,102
DUPAGE:DOWNERS GROVE 054,33,19,30,5,87
DUPAGE:DOWNERS GROVE 055,42,19,24,6,91
DUPAGE:DOWNERS GROVE 056,28,27,21,6,82
DUPAGE:DOWNERS GROVE 057,10,14,10,7,41
DUPAGE:DOWNERS GROVE 058,36,23,32,6,97
DUPAGE:DOWNERS GROVE 059,45,25,57,15,142
DUPAGE:DOWNERS GROVE 060,28,14,17,12,71
DUPAGE:DOWNERS GROVE 061,15,24,18,12,69
DUPAGE:DOWNERS GROVE 062,37,53,20,6,116
DUPAGE:DOWNERS GROVE 063,32,33,18,4,87
DUPAGE:DOWNERS GROVE 064,33,23,19,7,82
DUPAGE:DOWNERS GROVE 065,35,21,34,6,96
DUPAGE:DOWNERS GROVE 066,55,13,13,8,89
DUPAGE:DOWNERS GROVE 067,23,29,27,10,89
DUPAGE:DOWNERS GROVE 068,28,24,23,4,79
DUPAGE:DOWNERS GROVE 069,32,24,30,8,94
DUPAGE:DOWNERS GROVE 070,34,18,23,4,79
DUPAGE:DOWNERS GROVE 071,25,15,33,9,82
DUPAGE:DOWNERS GROVE 072,30,32,27,6,95
DUPAGE:DOWNERS GROVE 073,33,52,30,11,126
DUPAGE:DOWNERS GROVE 074,20,34,18,9,81
DUPAGE:DOWNERS GROVE 075,19,10,19,10,58
DUPAGE:DOWNERS GROVE 076,18,23,10,4,55
DUPAGE:DOWNERS GROVE 077,42,19,25,4,90
DUPAGE:DOWNERS GROVE 078,41,52,32,6,131
DUPAGE:DOWNERS GROVE 079,22,28,25,11,86
DUPAGE:DOWNERS GROVE 080,27,20,38,7,92
DUPAGE:DOWNERS GROVE 081,30,29,24,6,89
DUPAGE:DOWNERS GROVE 082,24,19,25,10,78
DUPAGE:DOWNERS GROVE 083,28,26,35,14,103
DUPAGE:DOWNERS GROVE 084,40,16,41,7,104
DUPAGE:DOWNERS GROVE 085,46,26,44,10,126
DUPAGE:DOWNERS GROVE 086,53,57,24,18,152
DUPAGE:DOWNERS GROVE 087,20,27,26,1,74
DUPAGE:DOWNERS GROVE 088,35,35,22,2,94
DUPAGE:DOWNERS GROVE 089,36,19,17,4,76
DUPAGE:DOWNERS GROVE 090,29,25,38,11,103
DUPAGE:DOWNERS GROVE 091,28,38,28,7,101
DUPAGE:DOWNERS GROVE 092,34,31,40,11,116
DUPAGE:DOWNERS GROVE 093,45,20,19,6,90
DUPAGE:DOWNERS GROVE 094,39,37,23,8,107
DUPAGE:DOWNERS GROVE 095,25,45,16,1,87
DUPAGE:DOWNERS GROVE 096,23,18,36,8,85
DUPAGE:DOWNERS GROVE 097,25,23,22,6,76
DUPAGE:DOWNERS GROVE 098,47,16,25,10,98
DUPAGE:DOWNERS GROVE 099,16,6,10,3,35
DUPAGE:DOWNERS GROVE 100,24,10,24,6,64
DUPAGE:DOWNERS GROVE 101,21,32,20,4,77
DUPAGE:DOWNERS GROVE 102,25,44,28,6,103
DUPAGE:DOWNERS GROVE 103,14,1,19,3,37
DUPAGE:LISLE 001,52,9,30,12,103
DUPAGE:LISLE 002,19,12,10,9,50
DUPAGE:LISLE 003,33,18,15,5,71
DUPAGE:LISLE 004,36,16,29,9,90
DUPAGE:LISLE 005,44,12,21,8,85
DUPAGE:LISLE 006,28,16,12,10,66
DUPAGE:LISLE 007,43,20,30,9,102
DUPAGE:LISLE 008,19,11,17,7,54
DUPAGE:LISLE 009,20,22,23,5,70
DUPAGE:LISLE 010,40,40,23,12,115
DUPAGE:LISLE 011,39,21,18,12,90
DUPAGE:LISLE 012,38,14,23,11,86
DUPAGE:LISLE 013,25,15,19,7,66
DUPAGE:LISLE 014,17,3,7,4,31
DUPAGE:LISLE 015,21,12,15,7,55
DUPAGE:LISLE 016,66,17,47,10,140
DUPAGE:LISLE 017,29,11,17,11,68
DUPAGE:LISLE 018,18,20,39,8,85
DUPAGE:LISLE 019,35,25,40,9,109
DUPAGE:LISLE 020,51,10,18,13,92
DUPAGE:LISLE 021,33,17,17,6,73
DUPAGE:LISLE 022,33,11,12,4,60
DUPAGE:LISLE 023,21,14,12,12,59
DUPAGE:LISLE 024,22,15,20,8,65
DUPAGE:LISLE 025,24,21,16,5,66
DUPAGE:LISLE 026,64,11,31,13,119
DUPAGE:LISLE 027,53,14,31,10,108
DUPAGE:LISLE 028,47,16,25,11,99
DUPAGE:LISLE 029,25,4,3,3,35
DUPAGE:LISLE 030,28,7,25,10,70
DUPAGE:LISLE 031,41,11,23,6,81
DUPAGE:LISLE 032,26,23,17,3,69
DUPAGE:LISLE 033,24,30,26,13,93
DUPAGE:LISLE 034,28,16,25,4,73
DUPAGE:LISLE 035,38,20,30,6,94
DUPAGE:LISLE 036,64,14,36,12,126
DUPAGE:LISLE 037,131,15,31,18,195
DUPAGE:LISLE 038,36,12,16,9,73
DUPAGE:LISLE 039,32,13,14,10,69
DUPAGE:LISLE 040,49,12,29,10,100
DUPAGE:LISLE 041,34,13,37,10,94
DUPAGE:LISLE 042,23,9,17,6,55
DUPAGE:LISLE 043,22,15,22,10,69
DUPAGE:LISLE 044,21,21,29,7,78
DUPAGE:LISLE 045,18,8,34,5,65
DUPAGE:LISLE 046,6,7,7,0,20
DUPAGE:LISLE 047,26,12,34,7,79
DUPAGE:LISLE 048,34,15,26,10,85
DUPAGE:LISLE 049,53,23,30,8,114
DUPAGE:LISLE 050,29,13,26,9,77
DUPAGE:LISLE 051,13,13,22,9,57
DUPAGE:LISLE 052,28,20,24,5,77
DUPAGE:LISLE 053,14,13,22,9,58
DUPAGE:LISLE 054,75,27,47,16,165
DUPAGE:LISLE 055,33,28,40,7,108
DUPAGE:LISLE 056,20,10,11,3,44
DUPAGE:LISLE 057,42,26,24,21,113
DUPAGE:LISLE 058,19,14,21,13,67
DUPAGE:LISLE 059,32,28,21,5,86
