JoinField,KARINA VILLA,STEPHANIE A. KIFOWIT,HOLLY KIM,MARGARET CROKE,Total Voters
DUPAGE:ADDISON 051,48,16,123,53,240
DUPAGE:ADDISON 052,58,16,89,63,226
DUPAGE:ADDISON 053,43,10,67,54,174
DUPAGE:BLOOMINGDALE 001,24,9,22,17,72
DUPAGE:BLOOMINGDALE 002,53,17,45,51,166
DUPAGE:BLOOMINGDALE 003,65,12,21,38,136
DUPAGE:BLOOMINGDALE 004,26,22,48,37,133
DUPAGE:BLOOMINGDALE 005,37,15,36,33,121
DUPAGE:BLOOMINGDALE 006,53,17,31,37,138
DUPAGE:BLOOMINGDALE 007,44,7,29,27,107
DUPAGE:BLOOMINGDALE 008,66,8,32,37,143
DUPAGE:BLOOMINGDALE 009,44,20,35,39,138
DUPAGE:BLOOMINGDALE 010,27,21,36,55,139
DUPAGE:BLOOMINGDALE 011,72,25,76,61,234
DUPAGE:BLOOMINGDALE 012,51,15,64,51,181
DUPAGE:BLOOMINGDALE 013,31,17,48,56,152
DUPAGE:BLOOMINGDALE 014,69,8,32,34,143
DUPAGE:BLOOMINGDALE 015,52,19,22,42,135
DUPAGE:BLOOMINGDALE 016,38,17,28,35,118
DUPAGE:BLOOMINGDALE 017,44,24,42,51,161
DUPAGE:BLOOMINGDALE 018,35,21,26,57,139
DUPAGE:BLOOMINGDALE 019,44,12,48,36,140
DUPAGE:BLOOMINGDALE 020,24,15,26,33,98
DUPAGE:BLOOMINGDALE 021,25,11,20,41,97
DUPAGE:BLOOMINGDALE 022,30,11,34,30,105
DUPAGE:BLOOMINGDALE 023,63,19,50,60,192
DUPAGE:BLOOMINGDALE 024,62,16,42,61,181
DUPAGE:BLOOMINGDALE 025,46,27,48,63,184
DUPAGE:BLOOMINGDALE 026,35,11,26,44,116
DUPAGE:BLOOMINGDALE 027,23,6,11,26,66
DUPAGE:BLOOMINGDALE 028,69,5,23,24,121
DUPAGE:BLOOMINGDALE 029,40,14,18,33,105
DUPAGE:BLOOMINGDALE 030,42,12,22,29,105
DUPAGE:BLOOMINGDALE 031,61,3,32,36,132
DUPAGE:BLOOMINGDALE 032,41,12,24,29,106
DUPAGE:BLOOMINGDALE 033,72,14,40,39,165
