JoinField,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
LAKE:VERNON 273,11,3,54,30,98
LAKE:VERNON 274,18,7,104,53,182
LAKE:VERNON 275,11,3,42,15,71
LAKE:VERNON 276,38,10,93,43,184
LAKE:VERNON 277,24,9,112,34,179
LAKE:VERNON 278,20,3,53,29,105
LAKE:VERNON 279,29,10,181,62,282
LAKE:VERNON 280,13,13,56,33,115
LAKE:VERNON 281,25,15,117,48,205
LAKE:VERNON 282,34,11,41,35,121
LAKE:VERNON 283,25,7,87,79,198
LAKE:VERNON 284,49,13,160,73,295
LAKE:VERNON 285,32,5,117,41,195
LAKE:VERNON 286,16,6,113,56,191
LAKE:VERNON 287,19,13,89,58,179
LAKE:VERNON 288,42,12,123,67,244
LAKE:VERNON 289,15,6,104,41,166
LAKE:VERNON 290,26,15,83,55,179
LAKE:VERNON 291,28,8,95,51,182
LAKE:VERNON 292,27,20,129,92,268
LAKE:VERNON 293,24,8,95,26,153
LAKE:VERNON 294,19,1,69,33,122
LAKE:VERNON 295,30,6,93,48,177
LAKE:VERNON 296,27,2,65,31,125
LAKE:VERNON 297,33,14,73,27,147
LAKE:VERNON 298,29,13,152,68,262
LAKE:WARREN 299,11,8,59,30,108
LAKE:WARREN 300,12,7,55,25,99
LAKE:WARREN 301,31,5,61,35,132
LAKE:WARREN 302,31,3,56,41,131
LAKE:WARREN 303,35,18,85,42,180
LAKE:WARREN 304,33,6,73,36,148
LAKE:WARREN 305,55,15,120,50,240
LAKE:WARREN 306,30,9,92,51,182
LAKE:WARREN 307,19,9,65,24,117
LAKE:WARREN 308,32,10,40,15,97
LAKE:WARREN 309,35,8,64,22,129
LAKE:WARREN 310,48,8,66,32,154
LAKE:WARREN 311,20,14,76,35,145
LAKE:WARREN 312,34,10,53,25,122
LAKE:WARREN 313,41,5,67,22,135
LAKE:WARREN 314,26,8,89,24,147
LAKE:WARREN 315,29,10,78,35,152
LAKE:WARREN 316,25,10,74,36,145
LAKE:WARREN 317,18,10,79,39,146
LAKE:WARREN 318,40,15,62,23,140
LAKE:WARREN 319,27,10,74,34,145
LAKE:WARREN 320,44,4,64,22,134
LAKE:WARREN 321,31,13,82,32,158
LAKE:WARREN 322,30,7,97,41,175
LAKE:WARREN 323,39,15,87,33,174
LAKE:WARREN 324,42,10,114,38,204
LAKE:WARREN 325,22,4,43,20,89
LAKE:WARREN 326,26,11,78,36,151
LAKE:WARREN 327,40,8,82,41,171
LAKE:WARREN 328,9,5,55,11,80
LAKE:WARREN 329,38,13,107,56,214
LAKE:WARREN 330,37,8,122,42,209
LAKE:WARREN 331,29,6,64,40,139
LAKE:WARREN 332,29,7,64,25,125
LAKE:WARREN 333,33,7,95,34,169
LAKE:WARREN 334,15,12,76,27,130
LAKE:WARREN 335,41,5,42,11,99
LAKE:WARREN 336,28,5,55,27,115
LAKE:WARREN 337,32,6,65,12,115
LAKE:WARREN 338,49,8,55,21,133
LAKE:WAUCONDA 339,17,6,38,21,82
LAKE:WAUCONDA 340,25,9,42,20,96
LAKE:WAUCONDA 341,28,15,39,36,118
LAKE:WAUCONDA 342,33,9,58,33,133
LAKE:WAUCONDA 343,28,8,68,29,133
LAKE:WAUCONDA 344,34,10,48,40,132
LAKE:WAUCONDA 345,11,6,23,11,51
LAKE:WAUCONDA 346,22,14,51,29,116
LAKE:WAUCONDA 347,14,10,39,41,104
LAKE:WAUCONDA 348,15,8,22,23,68
LAKE:WAUCONDA 349,22,6,47,33,108
LAKE:WAUCONDA 350,20,12,67,32,131
LAKE:WAUCONDA 351,25,16,64,59,164
LAKE:WAUCONDA 352,27,5,52,33,117
LAKE:WAUCONDA 353,28,6,44,19,97
LAKE:WAUCONDA 354,30,7,62,61,160
LAKE:WAUKEGAN 355,15,3,26,7,51
LAKE:WAUKEGAN 356,34,6,79,25,144
LAKE:WAUKEGAN 357,29,4,39,13,85
LAKE:WAUKEGAN 358,30,5,44,14,93
LAKE:WAUKEGAN 359,31,4,80,19,134
LAKE:WAUKEGAN 360,52,12,60,20,144
LAKE:WAUKEGAN 361,19,2,29,11,61
LAKE:WAUKEGAN 362,37,6,84,34,161
LAKE:WAUKEGAN 363,33,5,51,22,111
LAKE:WAUKEGAN 364,36,6,33,14,89
LAKE:WAUKEGAN 365,27,3,61,19,110
LAKE:WAUKEGAN 366,33,9,103,28,173
LAKE:WAUKEGAN 367,31,11,38,9,89
LAKE:WAUKEGAN 368,44,8,53,22,127
LAKE:WAUKEGAN 369,20,2,44,7,73
LAKE:WAUKEGAN 370,33,7,36,11,87
LAKE:WAUKEGAN 371,28,2,54,16,100
