JoinField,JoinField_alt,Karina Villa,Stephanie A. Kifowit,Holly Kim,Margaret Croke,Total Voters
COOK:8600059,COOK:Orland Precinct 59,41,14,18,75,148
COOK:8600060,COOK:Orland Precinct 60,10,14,15,73,112
COOK:8600061,COOK:Orland Precinct 61,29,14,21,65,129
COOK:8600062,COOK:Orland Precinct 62,51,12,19,63,145
COOK:8700001,COOK:Palatine Precinct 1,34,12,31,72,149
COOK:8700002,COOK:Palatine Precinct 2,65,29,69,99,262
COOK:8700003,COOK:Palatine Precinct 3,28,17,23,39,107
COOK:8700004,COOK:Palatine Precinct 4,35,5,12,33,85
COOK:8700005,COOK:Palatine Precinct 5,77,26,55,100,258
COOK:8700006,COOK:Palatine Precinct 6,39,16,50,128,233
COOK:8700007,COOK:Palatine Precinct 7,29,7,33,48,117
COOK:8700008,COOK:Palatine Precinct 8,53,16,57,117,243
COOK:8700009,COOK:Palatine Precinct 9,28,19,37,66,150
COOK:8700010,COOK:Palatine Precinct 10,28,12,26,82,148
COOK:8700011,COOK:Palatine Precinct 11,39,10,29,39,117
COOK:8700012,COOK:Palatine Precinct 12,25,17,34,91,167
COOK:8700013,COOK:Palatine Precinct 13,43,12,24,60,139
COOK:8700014,COOK:Palatine Precinct 14,43,11,49,66,169
COOK:8700015,COOK:Palatine Precinct 15,49,20,35,90,194
COOK:8700016,COOK:Palatine Precinct 16,36,11,23,20,90
COOK:8700017,COOK:Palatine Precinct 17,36,11,54,102,203
COOK:8700018,COOK:Palatine Precinct 18,71,17,57,125,270
COOK:8700019,COOK:Palatine Precinct 19,42,22,28,100,192
COOK:8700020,COOK:Palatine Precinct 20,28,10,13,22,73
COOK:8700021,COOK:Palatine Precinct 21,69,17,56,93,235
COOK:8700022,COOK:Palatine Precinct 22,42,14,44,64,164
COOK:8700023,COOK:Palatine Precinct 23,18,6,13,50,87
COOK:8700024,COOK:Palatine Precinct 24,66,31,44,74,215
COOK:8700025,COOK:Palatine Precinct 25,55,15,46,86,202
COOK:8700026,COOK:Palatine Precinct 26,51,25,60,83,219
COOK:8700027,COOK:Palatine Precinct 27,68,20,38,103,229
COOK:8700028,COOK:Palatine Precinct 28,37,10,24,46,117
COOK:8700029,COOK:Palatine Precinct 29,48,11,50,123,232
COOK:8700030,COOK:Palatine Precinct 30,37,11,28,46,122
COOK:8700031,COOK:Palatine Precinct 31,31,12,15,78,136
COOK:8700032,COOK:Palatine Precinct 32,44,16,24,63,147
COOK:8700033,COOK:Palatine Precinct 33,24,6,22,19,71
COOK:8700034,COOK:Palatine Precinct 34,50,20,39,85,194
COOK:8700035,COOK:Palatine Precinct 35,40,12,42,122,216
