JoinField,JoinField_alt,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:9600011,COOK:Wheeling Precinct 11,33,0,3,0,2,1,17,4,1,16,1,0,0,1,1,80
COOK:9600012,COOK:Wheeling Precinct 12,80,0,8,6,4,0,62,8,1,34,3,3,2,1,1,213
COOK:9600016,COOK:Wheeling Precinct 16,10,0,3,4,5,0,7,2,1,28,1,1,0,2,0,64
COOK:9600017,COOK:Wheeling Precinct 17,45,1,3,7,2,2,34,2,1,30,2,3,2,0,0,134
COOK:9600021,COOK:Wheeling Precinct 21,57,1,3,4,6,4,39,7,2,27,1,0,1,0,0,152
COOK:9600027,COOK:Wheeling Precinct 27,113,0,1,7,3,3,99,24,3,48,0,4,1,1,0,307
COOK:9600028,COOK:Wheeling Precinct 28,80,2,8,4,9,3,78,15,1,48,1,6,3,2,1,261
COOK:9600030,COOK:Wheeling Precinct 30,86,4,4,6,4,3,64,12,1,60,2,2,1,3,0,252
COOK:9600038,COOK:Wheeling Precinct 38,65,3,4,0,6,6,67,3,1,67,0,2,1,4,0,229
COOK:9600040,COOK:Wheeling Precinct 40,3,0,1,0,1,0,1,0,0,1,0,0,0,0,0,7
COOK:9600043,COOK:Wheeling Precinct 43,50,1,2,7,7,2,31,2,0,38,0,2,0,0,0,142
COOK:9600044,COOK:Wheeling Precinct 44,88,3,4,11,3,1,48,10,1,32,1,2,0,3,0,207
COOK:9600046,COOK:Wheeling Precinct 46,29,1,1,3,3,0,16,2,0,9,0,1,0,1,0,66
COOK:9600047,COOK:Wheeling Precinct 47,29,1,4,3,5,0,9,3,0,5,0,0,0,2,0,61
COOK:9600048,COOK:Wheeling Precinct 48,7,0,1,3,0,1,2,1,0,2,0,0,0,0,0,17
COOK:9600051,COOK:Wheeling Precinct 51,70,4,1,1,10,4,59,3,0,52,2,1,1,3,1,212
COOK:9600052,COOK:Wheeling Precinct 52,133,1,6,6,5,9,113,14,1,59,0,2,3,6,1,359
COOK:9600053,COOK:Wheeling Precinct 53,76,2,5,2,8,1,51,15,1,42,1,2,0,2,1,209
COOK:9600054,COOK:Wheeling Precinct 54,46,1,2,5,5,1,62,20,0,37,0,0,1,0,0,180
COOK:9600056,COOK:Wheeling Precinct 56,49,1,5,8,3,1,44,4,1,31,0,2,1,2,0,152
COOK:9600058,COOK:Wheeling Precinct 58,58,2,1,2,2,0,57,5,1,45,0,1,0,0,0,174
COOK:9600060,COOK:Wheeling Precinct 60,76,2,2,7,4,1,72,14,1,26,1,3,1,1,1,212
COOK:9600061,COOK:Wheeling Precinct 61,82,0,3,7,4,4,70,25,0,48,0,4,0,3,0,250
COOK:9600063,COOK:Wheeling Precinct 63,14,1,1,2,3,0,18,0,1,16,2,2,0,0,0,60
COOK:9600065,COOK:Wheeling Precinct 65,88,3,5,9,2,3,66,9,1,67,0,3,1,1,0,258
COOK:9600066,COOK:Wheeling Precinct 66,88,1,9,5,5,6,70,12,1,52,2,0,0,10,0,261
COOK:9600067,COOK:Wheeling Precinct 67,48,1,3,12,1,1,44,5,0,27,0,2,1,1,0,146
COOK:9600068,COOK:Wheeling Precinct 68,57,2,6,2,4,3,42,3,0,47,1,0,2,0,0,169
COOK:9600069,COOK:Wheeling Precinct 69,120,2,4,2,1,4,123,46,1,33,2,0,0,2,0,340
COOK:9600070,COOK:Wheeling Precinct 70,101,3,1,4,3,8,91,6,0,70,0,2,3,15,2,309
COOK:9600072,COOK:Wheeling Precinct 72,45,1,2,2,4,4,46,5,0,36,0,0,0,1,0,146
COOK:9600075,COOK:Wheeling Precinct 75,68,0,4,9,2,3,48,8,1,40,0,2,3,1,2,191
COOK:9600077,COOK:Wheeling Precinct 77,28,1,1,5,6,0,9,3,0,24,1,3,0,0,0,81
COOK:9600079,COOK:Wheeling Precinct 79,49,1,2,5,4,2,46,7,1,34,0,1,0,3,1,156
COOK:9600080,COOK:Wheeling Precinct 80,32,1,3,3,10,2,25,7,0,33,0,2,0,0,0,118
,COOK:Suburban Cook County,22110,256,2140,3263,611,614,15913,5898,108,12387,246,242,110,629,95,64622
