GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(Ted Dabrowski / Carrie Mendoza,,,,,(James Mendrick / Robert Renteria,,,,,(Darren Bailey / Aaron B. Del Mar,,,,,(Rick Heidner / Christina Neitzke-,,,,,WRITE-IN,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Grafton 3,1078,23,4,1,2,30,7,6,0,0,13,24,6,5,0,35,6,3,0,2,11,0,0,0,0,0,89
Grafton 4,1469,15,4,6,0,25,5,3,4,0,12,22,14,13,0,49,3,3,1,1,8,0,0,1,0,1,95
Grafton 5,904,13,3,4,2,22,3,0,0,0,3,17,5,4,0,26,2,1,1,1,5,0,0,0,0,0,56
Grafton 6,1105,27,2,1,1,31,5,1,1,0,7,8,3,5,0,16,6,2,2,1,11,0,0,0,0,0,65
Grafton 7,1045,36,9,2,2,49,7,2,0,1,10,9,3,5,0,17,1,0,0,0,1,0,0,0,0,0,77
Grafton 8,935,22,10,2,0,34,3,1,0,0,4,7,2,7,0,16,4,0,1,0,5,0,0,0,0,0,59
Grafton 9,1120,14,9,4,0,27,6,5,2,0,13,15,9,8,0,32,9,2,1,0,12,0,0,0,0,0,84
Grafton 10,1077,15,5,3,0,23,0,3,1,0,4,6,4,5,0,15,6,0,0,0,6,1,0,0,0,1,49
Grafton 11,779,12,4,1,0,17,4,0,0,0,4,6,1,2,1,10,1,1,1,0,3,0,0,0,0,0,34
Grafton 12,1043,11,9,4,0,24,1,0,0,0,1,11,1,4,0,16,1,4,0,0,5,0,0,0,0,0,46
Grafton 13,1096,13,9,1,0,23,2,2,0,0,4,14,8,4,0,26,2,4,0,0,6,0,0,0,0,0,59
Grafton 14,1499,31,12,5,1,49,3,1,0,0,4,8,2,4,0,14,5,4,0,0,9,0,0,0,0,0,76
Grafton 15,902,14,13,6,1,34,2,4,1,0,7,17,11,11,0,39,2,3,1,0,6,0,0,0,0,0,86
Grafton 16,1131,8,4,1,0,13,3,3,0,2,8,5,2,0,0,7,1,0,0,0,1,0,0,0,0,0,29
Grafton 17,1108,13,3,1,0,17,3,3,2,0,8,6,4,5,2,17,6,1,3,0,10,0,0,0,0,0,52
Grafton 18,910,6,2,7,0,15,3,1,2,0,6,8,12,6,0,26,1,2,5,0,8,0,0,0,0,0,55
Grafton 19,1065,12,4,0,0,16,2,0,0,0,2,13,7,0,0,20,4,1,0,0,5,0,0,0,0,0,43
Grafton 20,1080,12,2,0,0,14,1,1,0,0,2,17,5,2,0,24,1,3,0,0,4,0,0,0,0,0,44
Grafton 21,1024,13,5,4,1,23,4,1,0,0,5,13,2,5,0,20,4,2,2,0,8,0,0,0,0,0,56
Grafton 22,1000,13,1,0,0,14,8,2,0,0,10,9,2,0,0,11,9,0,0,0,9,0,0,0,0,0,44
Grafton 23,1131,12,6,2,0,20,0,1,1,0,2,17,0,3,0,20,3,1,0,0,4,0,0,0,0,0,46
Grafton 24,1089,17,1,2,0,20,2,4,0,0,6,11,2,2,0,15,3,0,0,0,3,0,0,0,0,0,44
Grafton 25,1038,6,4,0,1,11,0,0,0,1,1,4,7,2,0,13,0,0,0,0,0,0,0,0,0,0,25
