UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casey Chlebek,,,,,Don Tracy,,,,,R. Cary Capparelli,,,,,Pamela Denise Long,,,,,"Jimmy Lee Tillman, II",,,,,Jeannie Evans,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Dorr 1,922,0,0,0,0,0,7,8,3,0,18,5,1,0,0,6,2,1,0,0,3,3,1,0,0,4,9,6,0,0,15,46
Dorr 2,962,1,2,0,0,3,12,1,1,0,14,6,0,1,0,7,5,2,4,0,11,2,1,1,0,4,5,4,2,1,12,51
Dorr 3,990,4,2,2,0,8,13,5,4,1,23,4,0,6,0,10,3,0,2,2,7,4,2,0,0,6,11,3,1,0,15,69
Dorr 4,976,5,2,1,0,8,13,6,5,0,24,3,1,1,0,5,4,1,5,0,10,0,0,2,0,2,13,4,7,0,24,73
Dorr 5,954,7,4,1,0,12,17,3,6,0,26,3,2,0,0,5,4,3,3,0,10,4,3,1,2,10,12,6,5,0,23,86
Dorr 6,1020,1,2,1,0,4,11,8,3,0,22,1,3,1,0,5,6,4,2,0,12,2,1,0,0,3,7,3,4,0,14,60
Dorr 7,966,2,0,1,0,3,15,7,2,0,24,2,1,0,0,3,5,1,0,0,6,0,2,2,0,4,8,4,0,0,12,52
Dorr 8,985,5,1,1,0,7,13,2,6,0,21,2,0,0,0,2,5,0,1,0,6,2,1,1,0,4,15,7,0,0,22,62
Dorr 9,1087,3,2,0,0,5,23,6,3,1,33,5,3,0,0,8,6,1,0,0,7,5,3,0,0,8,15,3,0,0,18,79
Dorr 10,1104,1,2,0,0,3,7,7,1,0,15,4,1,2,0,7,4,1,1,0,6,0,4,0,0,4,5,1,0,0,6,41
Dorr 11,970,4,1,1,0,6,13,10,2,1,26,1,3,0,0,4,1,0,1,0,2,0,0,0,0,0,8,5,4,0,17,55
Dorr 12,1056,8,3,0,0,11,28,4,0,0,32,9,0,2,0,11,3,2,0,0,5,3,0,0,0,3,12,1,1,1,15,77
Dorr 13,1226,8,2,2,1,13,16,9,9,1,35,2,2,0,0,4,5,2,2,1,10,4,2,0,0,6,11,6,0,2,19,87
Dorr 14,1057,2,1,0,0,3,11,6,2,2,21,1,4,2,0,7,4,0,1,0,5,0,0,1,0,1,9,1,0,0,10,47
Dunham 1,755,5,1,1,0,7,7,1,4,0,12,2,0,0,0,2,4,2,1,0,7,0,3,0,0,3,1,3,2,0,6,37
Dunham 2,720,6,2,3,0,11,30,3,3,0,36,5,2,0,0,7,10,1,2,0,13,7,0,0,0,7,22,8,2,0,32,106
Grafton 1,1059,2,2,0,0,4,12,7,1,1,21,4,1,0,0,5,5,1,3,0,9,1,0,0,0,1,14,11,0,0,25,65
Grafton 2,1122,4,3,0,1,8,27,4,10,0,41,6,0,1,0,7,8,1,2,1,12,3,0,0,0,3,16,3,5,1,25,96
