REPRESENTATIVE IN CONGRESS NINTH CONGRESSIONAL DISTRICT (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Daniel Biss,,,,,Justin Ford,,,,,Mike Simmons,,,,,Bushra Amiwala,,,,,Patricia A. Brown,,,,,Jeff Cohen,,,,,Laura Fine,,,,,Phil Andrew,,,,,Nick Pyati,,,,,Kat Abughazaleh,,,,,Sam Polan,,,,,Bethany Johnson,,,,,Howard Rosenblum,,,,,Hoan Huynh,,,,,Mark Arnold Fredrickson,,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Election Day,Early Voting,Vote by Mail,Vote by Mail/Provisional,Total Votes,Total
Algonquin 35,1015,12,3,5,2,22,2,0,0,0,2,1,2,3,1,7,0,0,1,0,1,1,0,2,0,3,0,0,0,0,0,12,6,6,1,25,1,6,2,0,9,0,0,0,0,0,22,10,8,0,40,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2,0,3,0,0,0,0,0,115
Algonquin 36,858,22,5,5,2,34,0,0,0,0,0,2,1,1,0,4,4,0,2,0,6,0,0,0,0,0,1,0,0,0,1,8,6,5,0,19,2,1,1,0,4,0,0,0,0,0,36,6,12,0,54,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
Algonquin 37,933,15,11,9,1,36,0,0,0,0,0,3,0,1,0,4,0,0,2,0,2,2,0,0,0,2,2,0,0,0,2,12,6,1,0,19,11,4,0,0,15,0,0,0,0,0,16,0,0,1,17,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,102
Algonquin 38,1043,26,5,3,1,35,0,0,0,0,0,1,1,0,0,2,1,0,1,0,2,5,0,0,0,5,0,0,1,0,1,16,6,8,0,30,6,2,1,0,9,0,1,0,0,1,26,1,5,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,122
Algonquin 39,946,25,11,7,0,43,2,0,0,0,2,1,0,2,0,3,1,1,1,0,3,1,0,0,0,1,2,0,0,0,2,14,5,0,1,20,5,1,0,0,6,0,0,0,0,0,24,8,6,4,42,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
Algonquin 40,861,9,12,2,4,27,2,0,1,0,3,5,0,2,0,7,4,0,0,0,4,2,0,1,0,3,0,0,0,0,0,17,7,3,2,29,3,6,0,0,9,0,0,0,0,0,24,7,3,1,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Algonquin 41,998,14,7,5,1,27,1,0,2,0,3,1,0,1,0,2,4,0,4,0,8,1,0,1,0,2,0,0,0,0,0,18,4,10,1,33,7,1,1,1,10,0,1,0,0,1,16,12,3,3,34,0,1,1,0,2,1,0,1,0,2,0,0,2,0,2,0,2,0,0,2,0,0,0,0,0,128
Algonquin 42,969,20,10,6,2,38,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,3,2,0,0,0,2,18,17,6,2,43,4,5,2,0,11,0,0,0,0,0,27,10,9,1,47,1,0,1,0,2,1,1,4,0,6,1,1,0,0,2,8,6,2,0,16,0,0,0,0,0,172
Algonquin 43,706,9,6,2,0,17,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,4,1,0,0,5,0,0,0,0,0,11,6,3,1,21,2,2,0,0,4,0,0,0,0,0,19,7,1,1,28,0,0,0,0,0,1,0,0,0,1,0,0,2,0,2,3,0,0,0,3,0,0,0,0,0,85
Algonquin 44,901,13,4,6,0,23,0,1,1,0,2,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,1,0,2,13,7,6,0,26,0,1,0,0,1,1,0,1,0,2,23,3,7,1,34,2,0,0,2,4,1,0,0,0,1,1,0,0,0,1,1,2,0,0,3,0,0,0,0,0,104
Algonquin 45,935,26,7,12,0,45,1,0,1,0,2,0,0,0,0,0,3,1,0,0,4,5,0,0,0,5,0,0,0,0,0,13,9,11,0,33,5,4,3,0,12,0,0,0,0,0,25,10,8,0,43,0,0,0,0,0,2,1,0,0,3,0,0,1,0,1,2,0,0,0,2,1,0,0,0,1,151
Algonquin 46,1085,15,2,6,1,24,1,1,1,0,3,1,0,1,0,2,5,3,1,0,9,5,0,0,0,5,1,0,1,0,2,18,8,19,1,46,6,0,5,0,11,0,0,0,0,0,39,13,9,8,69,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,0,4,0,0,0,1,1,178
Algonquin 47,992,12,8,9,2,31,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,3,3,1,0,7,1,0,0,0,1,15,10,10,2,37,7,5,2,0,14,0,0,0,0,0,28,8,9,0,45,0,0,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,145
Algonquin 48,938,23,5,7,2,37,18,1,0,0,19,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,13,12,3,1,29,8,7,2,0,17,0,0,0,0,0,24,9,9,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,0,0,0,1,155
Algonquin 49,932,13,6,6,3,28,1,0,1,0,2,0,2,1,0,3,3,0,1,0,4,2,0,1,0,3,0,0,0,0,0,22,7,9,1,39,0,2,0,0,2,0,0,0,0,0,14,11,7,0,32,0,0,0,0,0,1,0,0,1,2,1,0,2,0,3,2,0,1,0,3,1,0,0,0,1,122
Algonquin 50,992,25,6,13,0,44,0,0,1,0,1,4,4,1,0,9,0,0,0,0,0,1,1,0,0,2,0,0,2,0,2,18,13,4,0,35,6,2,1,0,9,1,1,0,0,2,31,7,9,3,50,3,2,1,0,6,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,162
Algonquin 51,1031,25,11,10,0,46,1,0,0,0,1,1,0,0,0,1,2,0,1,0,3,3,0,0,0,3,0,0,0,0,0,18,12,12,0,42,5,2,1,1,9,0,0,0,0,0,37,9,9,1,56,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,167
Algonquin 52,1012,25,4,3,1,33,1,2,0,0,3,3,0,0,0,3,2,1,0,0,3,3,0,0,0,3,2,0,0,0,2,20,3,6,0,29,9,4,0,1,14,0,0,0,0,0,26,13,9,3,51,4,1,0,0,5,0,0,1,0,1,0,0,0,0,0,6,0,0,1,7,0,0,0,0,0,154
Algonquin 53,1056,11,9,7,2,29,2,0,0,2,4,1,0,0,0,1,3,0,0,0,3,2,0,0,2,4,0,0,0,0,0,13,4,5,0,22,5,0,3,1,9,0,0,0,0,0,23,10,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,111
Algonquin 54,988,8,4,7,1,20,0,0,0,0,0,10,0,0,0,10,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,13,7,4,1,25,4,3,0,0,7,0,0,0,0,0,27,11,3,0,41,0,1,0,0,1,1,0,0,0,1,0,0,2,0,2,1,0,1,0,2,2,0,0,0,2,114
Algonquin 55,1055,33,6,6,0,45,2,0,0,0,2,7,3,0,1,11,3,0,0,1,4,2,1,2,0,5,2,1,1,0,4,20,3,4,0,27,4,2,3,0,9,1,0,0,0,1,34,8,11,1,54,0,2,1,0,3,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,171
Algonquin 56,882,16,18,3,2,39,1,0,0,0,1,1,0,5,0,6,3,1,1,0,5,1,0,0,0,1,1,0,0,0,1,25,8,5,1,39,8,3,0,1,12,0,0,0,0,0,44,6,6,5,61,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,173
Algonquin 57,979,20,9,8,1,38,0,0,0,0,0,5,5,1,0,11,3,0,0,0,3,1,0,1,0,2,2,0,0,0,2,20,6,10,0,36,10,2,6,0,18,0,0,0,0,0,30,4,5,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,2,153
Algonquin 58,1032,31,9,12,0,52,1,0,0,0,1,3,0,0,0,3,4,1,0,0,5,3,0,0,0,3,1,0,0,0,1,10,6,8,1,25,2,2,1,0,5,0,0,0,0,0,41,9,9,3,62,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
Algonquin 59,1053,19,13,10,3,45,0,0,0,0,0,0,0,0,1,1,3,0,0,0,3,2,1,0,0,3,2,1,0,0,3,22,6,13,3,44,4,0,3,0,7,0,0,0,0,0,24,11,2,1,38,1,0,0,0,1,1,1,1,0,3,0,0,1,0,1,2,0,0,0,2,0,0,0,1,1,152
Algonquin 60,1136,29,14,20,2,65,0,0,0,0,0,4,1,0,0,5,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,15,6,3,1,25,3,2,2,0,7,0,0,0,0,0,19,1,3,3,26,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,135
Algonquin 61,995,9,7,6,6,28,1,0,2,1,4,1,0,1,0,2,2,1,2,0,5,0,0,4,0,4,2,0,0,0,2,15,11,6,1,33,4,1,1,0,6,0,1,0,0,1,22,13,10,0,45,1,0,3,0,4,0,1,2,0,3,0,0,0,0,0,6,3,0,0,9,0,0,0,0,0,146
Algonquin 62,1038,14,10,19,3,46,1,1,1,0,3,2,0,1,0,3,1,0,1,0,2,0,0,1,0,1,0,0,0,1,1,15,11,8,0,34,2,1,3,0,6,0,0,0,0,0,15,11,13,0,39,0,0,0,0,0,2,1,0,0,3,1,0,0,0,1,2,1,0,0,3,0,0,0,0,0,142
Algonquin 63,967,22,6,8,2,38,14,0,0,0,14,2,0,0,0,2,1,1,0,0,2,1,0,1,0,2,0,1,0,0,1,20,7,8,0,35,3,4,0,0,7,1,0,0,0,1,37,11,5,0,53,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4,1,0,0,0,1,161
