JoinField,JoinField_alt,Ward/Township,Precinct,Donna Miller,Eric France,Robert Peters,Willie Preston,"Jesse Louis Jackson, Jr.",Yumeka Brown,"Patrick J. ""PJK"" Keating",Toni C. Brown,Sidney Moore,Adal Regis,Total Voters
COOK:7100007,COOK:Bloom Precinct 7,Bloom,7,102,6,23,6,56,10,1,2,0,1,207
COOK:7100008,COOK:Bloom Precinct 8,Bloom,8,65,2,19,6,15,8,3,2,1,0,121
COOK:7100009,COOK:Bloom Precinct 9,Bloom,9,52,1,19,8,27,15,1,4,1,2,130
COOK:7100010,COOK:Bloom Precinct 10,Bloom,10,15,0,2,2,35,1,0,1,0,0,56
COOK:7100011,COOK:Bloom Precinct 11,Bloom,11,47,3,3,6,19,6,1,2,0,1,88
COOK:7100012,COOK:Bloom Precinct 12,Bloom,12,84,1,9,22,75,22,2,1,0,1,217
COOK:7100013,COOK:Bloom Precinct 13,Bloom,13,152,0,41,25,88,58,1,5,0,13,383
COOK:7100014,COOK:Bloom Precinct 14,Bloom,14,111,4,26,7,74,25,6,6,2,1,262
COOK:7100015,COOK:Bloom Precinct 15,Bloom,15,54,1,12,16,23,6,5,0,3,3,123
COOK:7100016,COOK:Bloom Precinct 16,Bloom,16,111,2,23,8,70,38,4,2,3,3,264
COOK:7100017,COOK:Bloom Precinct 17,Bloom,17,59,0,11,15,56,29,1,5,2,2,180
COOK:7100018,COOK:Bloom Precinct 18,Bloom,18,61,0,14,7,31,19,2,3,1,1,139
COOK:7100019,COOK:Bloom Precinct 19,Bloom,19,148,3,28,9,54,18,2,3,2,0,267
COOK:7100020,COOK:Bloom Precinct 20,Bloom,20,83,3,52,10,22,13,8,3,0,2,196
COOK:7100021,COOK:Bloom Precinct 21,Bloom,21,6,1,2,2,16,1,1,0,0,1,30
COOK:7100022,COOK:Bloom Precinct 22,Bloom,22,39,2,15,3,24,9,0,3,3,0,98
COOK:7100023,COOK:Bloom Precinct 23,Bloom,23,69,2,15,7,64,7,1,2,1,1,169
COOK:7100024,COOK:Bloom Precinct 24,Bloom,24,129,3,23,15,69,42,4,6,3,0,294
COOK:7100025,COOK:Bloom Precinct 25,Bloom,25,32,1,15,25,41,6,0,1,2,1,124
COOK:7100026,COOK:Bloom Precinct 26,Bloom,26,89,0,14,11,39,12,1,0,1,0,167
COOK:7100027,COOK:Bloom Precinct 27,Bloom,27,80,0,6,10,59,8,4,2,2,1,172
COOK:7100028,COOK:Bloom Precinct 28,Bloom,28,64,2,18,29,36,17,6,0,0,1,173
COOK:7100029,COOK:Bloom Precinct 29,Bloom,29,19,1,3,3,36,6,2,2,1,0,73
COOK:7100030,COOK:Bloom Precinct 30,Bloom,30,153,3,42,10,51,20,10,1,1,1,292
COOK:7100031,COOK:Bloom Precinct 31,Bloom,31,104,2,38,23,66,20,7,9,1,2,272
COOK:7100032,COOK:Bloom Precinct 32,Bloom,32,73,2,13,10,51,8,3,2,2,2,166
COOK:7100033,COOK:Bloom Precinct 33,Bloom,33,106,1,16,13,55,22,1,1,2,0,217
COOK:7100034,COOK:Bloom Precinct 34,Bloom,34,159,4,40,16,77,50,3,2,4,0,355
COOK:7100035,COOK:Bloom Precinct 35,Bloom,35,22,0,14,20,12,2,1,1,0,0,72
COOK:7100036,COOK:Bloom Precinct 36,Bloom,36,156,7,8,13,88,35,2,2,1,0,312
COOK:7100037,COOK:Bloom Precinct 37,Bloom,37,58,1,7,9,53,15,1,2,2,1,149
COOK:7100038,COOK:Bloom Precinct 38,Bloom,38,376,2,24,18,163,57,1,4,3,10,658
COOK:7100039,COOK:Bloom Precinct 39,Bloom,39,45,1,10,10,33,22,0,3,1,0,125
COOK:7100040,COOK:Bloom Precinct 40,Bloom,40,193,2,119,14,83,47,18,2,5,2,485
COOK:7100041,COOK:Bloom Precinct 41,Bloom,41,154,0,21,23,75,38,5,1,1,0,318
COOK:7100042,COOK:Bloom Precinct 42,Bloom,42,168,2,29,20,68,38,6,0,0,0,331
COOK:7100043,COOK:Bloom Precinct 43,Bloom,43,125,7,11,12,80,24,3,2,0,0,264
COOK:7100044,COOK:Bloom Precinct 44,Bloom,44,101,3,18,22,50,29,9,2,1,1,236
COOK:7100045,COOK:Bloom Precinct 45,Bloom,45,138,3,34,24,88,43,2,0,2,3,337
COOK:7100046,COOK:Bloom Precinct 46,Bloom,46,41,1,5,7,26,9,3,1,1,0,94
COOK:7100047,COOK:Bloom Precinct 47,Bloom,47,97,2,29,32,61,23,5,3,1,1,254
COOK:7100048,COOK:Bloom Precinct 48,Bloom,48,74,3,15,10,51,19,1,7,5,0,185
COOK:7100049,COOK:Bloom Precinct 49,Bloom,49,206,3,11,16,141,52,1,7,1,4,442
COOK:7100050,COOK:Bloom Precinct 50,Bloom,50,127,0,31,9,59,29,3,1,0,3,262
COOK:7100051,COOK:Bloom Precinct 51,Bloom,51,34,2,7,10,21,7,1,1,0,0,83
COOK:7100052,COOK:Bloom Precinct 52,Bloom,52,31,1,6,24,48,14,1,4,1,2,132
COOK:7100053,COOK:Bloom Precinct 53,Bloom,53,25,1,5,7,25,10,0,1,3,0,77
COOK:7100054,COOK:Bloom Precinct 54,Bloom,54,47,3,16,18,31,18,2,1,1,1,138
COOK:7200002,COOK:Bremen Precinct 2,Bremen,2,98,1,18,7,74,32,1,0,1,0,232
COOK:7200003,COOK:Bremen Precinct 3,Bremen,3,0,0,0,0,0,0,0,0,0,0,0
COOK:7200007,COOK:Bremen Precinct 7,Bremen,7,43,0,5,3,56,14,2,2,1,1,127
COOK:7200008,COOK:Bremen Precinct 8,Bremen,8,47,3,4,0,66,20,0,1,1,0,142
COOK:7200012,COOK:Bremen Precinct 12,Bremen,12,70,1,13,2,73,12,0,1,0,1,173
COOK:7200021,COOK:Bremen Precinct 21,Bremen,21,2,0,0,0,0,0,0,0,0,0,2
COOK:7200026,COOK:Bremen Precinct 26,Bremen,26,148,2,26,2,77,25,1,0,0,3,284
COOK:7200029,COOK:Bremen Precinct 29,Bremen,29,144,2,18,8,91,42,0,4,0,3,312
COOK:7200031,COOK:Bremen Precinct 31,Bremen,31,72,3,16,3,63,19,2,2,2,0,182
COOK:7200032,COOK:Bremen Precinct 32,Bremen,32,140,2,21,5,102,25,0,3,2,0,300
COOK:7200035,COOK:Bremen Precinct 35,Bremen,35,86,1,17,2,99,22,3,7,1,1,239
COOK:7200036,COOK:Bremen Precinct 36,Bremen,36,143,0,42,2,66,33,2,2,3,3,296
COOK:7200039,COOK:Bremen Precinct 39,Bremen,39,36,0,12,1,51,8,0,0,1,0,109
COOK:7200040,COOK:Bremen Precinct 40,Bremen,40,128,1,28,3,149,42,2,6,1,0,360
COOK:7200045,COOK:Bremen Precinct 45,Bremen,45,10,0,4,2,10,3,1,1,0,1,32
COOK:7200046,COOK:Bremen Precinct 46,Bremen,46,151,0,22,6,133,45,0,1,3,1,362
COOK:7200047,COOK:Bremen Precinct 47,Bremen,47,65,1,10,3,66,19,0,3,1,0,168
COOK:7200048,COOK:Bremen Precinct 48,Bremen,48,60,1,9,2,62,18,0,1,1,0,154
COOK:7200049,COOK:Bremen Precinct 49,Bremen,49,80,1,11,7,93,14,1,1,2,0,210
