JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
COOK:8100034,COOK:New Trier Precinct 34,New Trier,34,13,7,1,4,25
COOK:8100036,COOK:New Trier Precinct 36,New Trier,36,21,19,0,12,52
COOK:8100037,COOK:New Trier Precinct 37,New Trier,37,18,4,3,9,34
COOK:8100038,COOK:New Trier Precinct 38,New Trier,38,12,12,3,10,37
COOK:8100039,COOK:New Trier Precinct 39,New Trier,39,17,7,6,3,33
COOK:8200001,COOK:Niles Precinct 1,Niles,1,38,20,5,2,65
COOK:8200002,COOK:Niles Precinct 2,Niles,2,20,18,1,4,43
COOK:8200003,COOK:Niles Precinct 3,Niles,3,35,19,8,4,66
COOK:8200004,COOK:Niles Precinct 4,Niles,4,6,10,3,6,25
COOK:8200005,COOK:Niles Precinct 5,Niles,5,9,7,2,3,21
COOK:8200006,COOK:Niles Precinct 6,Niles,6,29,10,11,6,56
COOK:8200007,COOK:Niles Precinct 7,Niles,7,14,15,3,4,36
COOK:8200008,COOK:Niles Precinct 8,Niles,8,4,3,0,0,7
COOK:8200009,COOK:Niles Precinct 9,Niles,9,30,26,3,6,65
COOK:8200010,COOK:Niles Precinct 10,Niles,10,17,13,6,1,37
COOK:8200011,COOK:Niles Precinct 11,Niles,11,10,9,2,2,23
COOK:8200012,COOK:Niles Precinct 12,Niles,12,12,5,1,3,21
COOK:8200013,COOK:Niles Precinct 13,Niles,13,37,24,5,6,72
COOK:8200014,COOK:Niles Precinct 14,Niles,14,5,11,2,7,25
COOK:8200015,COOK:Niles Precinct 15,Niles,15,18,12,7,4,41
COOK:8200016,COOK:Niles Precinct 16,Niles,16,12,20,1,2,35
COOK:8200017,COOK:Niles Precinct 17,Niles,17,14,12,2,6,34
COOK:8200018,COOK:Niles Precinct 18,Niles,18,13,12,6,4,35
COOK:8200019,COOK:Niles Precinct 19,Niles,19,4,9,2,0,15
COOK:8200020,COOK:Niles Precinct 20,Niles,20,22,8,6,5,41
COOK:8200021,COOK:Niles Precinct 21,Niles,21,2,3,2,1,8
COOK:8200022,COOK:Niles Precinct 22,Niles,22,8,10,3,2,23
COOK:8200023,COOK:Niles Precinct 23,Niles,23,8,11,3,0,22
COOK:8200024,COOK:Niles Precinct 24,Niles,24,14,9,4,6,33
COOK:8200025,COOK:Niles Precinct 25,Niles,25,4,5,1,0,10
COOK:8200026,COOK:Niles Precinct 26,Niles,26,13,12,0,0,25
COOK:8200027,COOK:Niles Precinct 27,Niles,27,6,7,3,4,20
COOK:8200028,COOK:Niles Precinct 28,Niles,28,6,5,4,0,15
COOK:8200029,COOK:Niles Precinct 29,Niles,29,9,5,1,1,16
COOK:8200030,COOK:Niles Precinct 30,Niles,30,7,4,2,3,16
COOK:8200031,COOK:Niles Precinct 31,Niles,31,6,9,1,6,22
COOK:8200032,COOK:Niles Precinct 32,Niles,32,7,7,1,3,18
COOK:8200033,COOK:Niles Precinct 33,Niles,33,17,11,0,4,32
COOK:8200034,COOK:Niles Precinct 34,Niles,34,11,20,2,7,40
COOK:8200035,COOK:Niles Precinct 35,Niles,35,19,15,3,8,45
COOK:8200036,COOK:Niles Precinct 36,Niles,36,3,0,0,3,6
COOK:8200037,COOK:Niles Precinct 37,Niles,37,5,10,9,4,28
COOK:8200038,COOK:Niles Precinct 38,Niles,38,32,21,5,6,64
