JoinField,Ward,Precinct,JB Pritzker & Christian Mitchell,Total Voters
CITY OF CHICAGO:WARD 16 PRECINCT 05,16,5,216,216
CITY OF CHICAGO:WARD 16 PRECINCT 06,16,6,207,207
CITY OF CHICAGO:WARD 16 PRECINCT 07,16,7,124,124
CITY OF CHICAGO:WARD 16 PRECINCT 08,16,8,88,88
CITY OF CHICAGO:WARD 16 PRECINCT 09,16,9,200,200
CITY OF CHICAGO:WARD 16 PRECINCT 10,16,10,153,153
CITY OF CHICAGO:WARD 16 PRECINCT 11,16,11,132,132
CITY OF CHICAGO:WARD 16 PRECINCT 12,16,12,51,51
CITY OF CHICAGO:WARD 16 PRECINCT 13,16,13,89,89
CITY OF CHICAGO:WARD 16 PRECINCT 14,16,14,214,214
CITY OF CHICAGO:WARD 16 PRECINCT 15,16,15,190,190
CITY OF CHICAGO:WARD 16 PRECINCT 16,16,16,136,136
CITY OF CHICAGO:WARD 16 PRECINCT 17,16,17,244,244
CITY OF CHICAGO:WARD 16 PRECINCT 18,16,18,234,234
CITY OF CHICAGO:WARD 16 PRECINCT 19,16,19,190,190
CITY OF CHICAGO:WARD 16 PRECINCT 20,16,20,189,189
CITY OF CHICAGO:WARD 16 PRECINCT 21,16,21,125,125
CITY OF CHICAGO:WARD 16 PRECINCT 22,16,22,161,161
CITY OF CHICAGO:WARD 16 PRECINCT 23,16,23,138,138
CITY OF CHICAGO:WARD 16 PRECINCT 24,16,24,144,144
CITY OF CHICAGO:WARD 16 PRECINCT 25,16,25,85,85
CITY OF CHICAGO:WARD 17 PRECINCT 01,17,1,205,205
CITY OF CHICAGO:WARD 17 PRECINCT 02,17,2,131,131
CITY OF CHICAGO:WARD 17 PRECINCT 03,17,3,222,222
CITY OF CHICAGO:WARD 17 PRECINCT 04,17,4,164,164
CITY OF CHICAGO:WARD 17 PRECINCT 05,17,5,97,97
CITY OF CHICAGO:WARD 17 PRECINCT 06,17,6,164,164
CITY OF CHICAGO:WARD 17 PRECINCT 07,17,7,84,84
CITY OF CHICAGO:WARD 17 PRECINCT 08,17,8,124,124
CITY OF CHICAGO:WARD 17 PRECINCT 09,17,9,131,131
CITY OF CHICAGO:WARD 17 PRECINCT 10,17,10,250,250
CITY OF CHICAGO:WARD 17 PRECINCT 11,17,11,139,139
CITY OF CHICAGO:WARD 17 PRECINCT 12,17,12,89,89
CITY OF CHICAGO:WARD 17 PRECINCT 13,17,13,101,101
CITY OF CHICAGO:WARD 17 PRECINCT 14,17,14,115,115
CITY OF CHICAGO:WARD 17 PRECINCT 15,17,15,332,332
CITY OF CHICAGO:WARD 17 PRECINCT 16,17,16,129,129
CITY OF CHICAGO:WARD 17 PRECINCT 17,17,17,122,122
CITY OF CHICAGO:WARD 17 PRECINCT 18,17,18,388,388
CITY OF CHICAGO:WARD 17 PRECINCT 19,17,19,226,226
CITY OF CHICAGO:WARD 17 PRECINCT 20,17,20,263,263
CITY OF CHICAGO:WARD 17 PRECINCT 21,17,21,319,319
CITY OF CHICAGO:WARD 17 PRECINCT 22,17,22,286,286
CITY OF CHICAGO:WARD 17 PRECINCT 23,17,23,181,181
CITY OF CHICAGO:WARD 17 PRECINCT 24,17,24,322,322
CITY OF CHICAGO:WARD 17 PRECINCT 25,17,25,141,141
CITY OF CHICAGO:WARD 17 PRECINCT 26,17,26,269,269
CITY OF CHICAGO:WARD 17 PRECINCT 27,17,27,310,310
CITY OF CHICAGO:WARD 17 PRECINCT 28,17,28,375,375
CITY OF CHICAGO:WARD 17 PRECINCT 29,17,29,321,321
CITY OF CHICAGO:WARD 18 PRECINCT 01,18,1,395,395
CITY OF CHICAGO:WARD 18 PRECINCT 02,18,2,439,439
CITY OF CHICAGO:WARD 18 PRECINCT 03,18,3,180,180
CITY OF CHICAGO:WARD 18 PRECINCT 04,18,4,331,331
CITY OF CHICAGO:WARD 18 PRECINCT 05,18,5,288,288
CITY OF CHICAGO:WARD 18 PRECINCT 06,18,6,511,511
CITY OF CHICAGO:WARD 18 PRECINCT 07,18,7,441,441
CITY OF CHICAGO:WARD 18 PRECINCT 08,18,8,574,574
CITY OF CHICAGO:WARD 18 PRECINCT 09,18,9,433,433
CITY OF CHICAGO:WARD 18 PRECINCT 10,18,10,521,521
CITY OF CHICAGO:WARD 18 PRECINCT 11,18,11,263,263
CITY OF CHICAGO:WARD 18 PRECINCT 12,18,12,389,389
CITY OF CHICAGO:WARD 18 PRECINCT 13,18,13,290,290
CITY OF CHICAGO:WARD 18 PRECINCT 14,18,14,277,277
CITY OF CHICAGO:WARD 18 PRECINCT 15,18,15,170,170
CITY OF CHICAGO:WARD 18 PRECINCT 16,18,16,263,263
CITY OF CHICAGO:WARD 18 PRECINCT 17,18,17,214,214
CITY OF CHICAGO:WARD 18 PRECINCT 18,18,18,206,206
CITY OF CHICAGO:WARD 18 PRECINCT 19,18,19,245,245
CITY OF CHICAGO:WARD 18 PRECINCT 20,18,20,227,227
CITY OF CHICAGO:WARD 18 PRECINCT 21,18,21,296,296
CITY OF CHICAGO:WARD 18 PRECINCT 22,18,22,228,228
CITY OF CHICAGO:WARD 18 PRECINCT 23,18,23,245,245
CITY OF CHICAGO:WARD 18 PRECINCT 24,18,24,334,334
CITY OF CHICAGO:WARD 18 PRECINCT 25,18,25,136,136
CITY OF CHICAGO:WARD 18 PRECINCT 26,18,26,286,286
CITY OF CHICAGO:WARD 19 PRECINCT 01,19,1,363,363
CITY OF CHICAGO:WARD 19 PRECINCT 02,19,2,525,525
CITY OF CHICAGO:WARD 19 PRECINCT 03,19,3,109,109
CITY OF CHICAGO:WARD 19 PRECINCT 04,19,4,140,140
CITY OF CHICAGO:WARD 19 PRECINCT 05,19,5,416,416
CITY OF CHICAGO:WARD 19 PRECINCT 06,19,6,169,169
CITY OF CHICAGO:WARD 19 PRECINCT 07,19,7,341,341
CITY OF CHICAGO:WARD 19 PRECINCT 08,19,8,344,344
CITY OF CHICAGO:WARD 19 PRECINCT 09,19,9,338,338
CITY OF CHICAGO:WARD 19 PRECINCT 10,19,10,398,398
CITY OF CHICAGO:WARD 19 PRECINCT 11,19,11,128,128
CITY OF CHICAGO:WARD 19 PRECINCT 12,19,12,218,218
CITY OF CHICAGO:WARD 19 PRECINCT 13,19,13,389,389
CITY OF CHICAGO:WARD 19 PRECINCT 14,19,14,475,475
CITY OF CHICAGO:WARD 19 PRECINCT 15,19,15,100,100
CITY OF CHICAGO:WARD 19 PRECINCT 16,19,16,151,151
CITY OF CHICAGO:WARD 19 PRECINCT 17,19,17,190,190
CITY OF CHICAGO:WARD 19 PRECINCT 18,19,18,98,98
CITY OF CHICAGO:WARD 19 PRECINCT 19,19,19,410,410
CITY OF CHICAGO:WARD 19 PRECINCT 20,19,20,354,354
CITY OF CHICAGO:WARD 19 PRECINCT 21,19,21,227,227
CITY OF CHICAGO:WARD 19 PRECINCT 22,19,22,355,355
CITY OF CHICAGO:WARD 19 PRECINCT 23,19,23,230,230
CITY OF CHICAGO:WARD 19 PRECINCT 24,19,24,118,118
CITY OF CHICAGO:WARD 19 PRECINCT 25,19,25,326,326
CITY OF CHICAGO:WARD 19 PRECINCT 26,19,26,268,268
CITY OF CHICAGO:WARD 19 PRECINCT 27,19,27,558,558
CITY OF CHICAGO:WARD 19 PRECINCT 28,19,28,644,644
CITY OF CHICAGO:WARD 19 PRECINCT 29,19,29,188,188
CITY OF CHICAGO:WARD 19 PRECINCT 30,19,30,132,132
CITY OF CHICAGO:WARD 19 PRECINCT 31,19,31,498,498
CITY OF CHICAGO:WARD 19 PRECINCT 32,19,32,373,373
CITY OF CHICAGO:WARD 19 PRECINCT 33,19,33,81,81
CITY OF CHICAGO:WARD 19 PRECINCT 34,19,34,411,411
CITY OF CHICAGO:WARD 19 PRECINCT 35,19,35,341,341
CITY OF CHICAGO:WARD 19 PRECINCT 36,19,36,280,280
CITY OF CHICAGO:WARD 20 PRECINCT 01,20,1,141,141
CITY OF CHICAGO:WARD 20 PRECINCT 02,20,2,73,73
CITY OF CHICAGO:WARD 20 PRECINCT 03,20,3,88,88
CITY OF CHICAGO:WARD 20 PRECINCT 04,20,4,66,66
CITY OF CHICAGO:WARD 20 PRECINCT 05,20,5,157,157
CITY OF CHICAGO:WARD 20 PRECINCT 06,20,6,87,87
CITY OF CHICAGO:WARD 20 PRECINCT 07,20,7,130,130
CITY OF CHICAGO:WARD 20 PRECINCT 08,20,8,137,137
CITY OF CHICAGO:WARD 20 PRECINCT 09,20,9,285,285
CITY OF CHICAGO:WARD 20 PRECINCT 10,20,10,255,255
CITY OF CHICAGO:WARD 20 PRECINCT 11,20,11,211,211
CITY OF CHICAGO:WARD 20 PRECINCT 12,20,12,26,26
CITY OF CHICAGO:WARD 20 PRECINCT 13,20,13,469,469
CITY OF CHICAGO:WARD 20 PRECINCT 14,20,14,305,305
CITY OF CHICAGO:WARD 20 PRECINCT 15,20,15,221,221
CITY OF CHICAGO:WARD 20 PRECINCT 16,20,16,267,267
CITY OF CHICAGO:WARD 20 PRECINCT 17,20,17,302,302
CITY OF CHICAGO:WARD 20 PRECINCT 18,20,18,363,363
CITY OF CHICAGO:WARD 20 PRECINCT 19,20,19,223,223
CITY OF CHICAGO:WARD 20 PRECINCT 20,20,20,335,335
CITY OF CHICAGO:WARD 20 PRECINCT 21,20,21,386,386
CITY OF CHICAGO:WARD 20 PRECINCT 22,20,22,327,327
CITY OF CHICAGO:WARD 20 PRECINCT 23,20,23,128,128
CITY OF CHICAGO:WARD 21 PRECINCT 01,21,1,395,395
CITY OF CHICAGO:WARD 21 PRECINCT 02,21,2,135,135
CITY OF CHICAGO:WARD 21 PRECINCT 03,21,3,450,450
CITY OF CHICAGO:WARD 21 PRECINCT 04,21,4,347,347
CITY OF CHICAGO:WARD 21 PRECINCT 05,21,5,354,354
CITY OF CHICAGO:WARD 21 PRECINCT 06,21,6,296,296
CITY OF CHICAGO:WARD 21 PRECINCT 07,21,7,474,474
CITY OF CHICAGO:WARD 21 PRECINCT 08,21,8,408,408
CITY OF CHICAGO:WARD 21 PRECINCT 09,21,9,132,132
CITY OF CHICAGO:WARD 21 PRECINCT 10,21,10,420,420
CITY OF CHICAGO:WARD 21 PRECINCT 11,21,11,437,437
CITY OF CHICAGO:WARD 21 PRECINCT 12,21,12,142,142
CITY OF CHICAGO:WARD 21 PRECINCT 13,21,13,297,297
CITY OF CHICAGO:WARD 21 PRECINCT 14,21,14,518,518
CITY OF CHICAGO:WARD 21 PRECINCT 15,21,15,449,449
CITY OF CHICAGO:WARD 21 PRECINCT 16,21,16,424,424
CITY OF CHICAGO:WARD 21 PRECINCT 17,21,17,316,316
CITY OF CHICAGO:WARD 21 PRECINCT 18,21,18,424,424
CITY OF CHICAGO:WARD 21 PRECINCT 19,21,19,369,369
CITY OF CHICAGO:WARD 21 PRECINCT 20,21,20,303,303
CITY OF CHICAGO:WARD 21 PRECINCT 21,21,21,474,474
CITY OF CHICAGO:WARD 21 PRECINCT 22,21,22,538,538
CITY OF CHICAGO:WARD 21 PRECINCT 23,21,23,340,340
CITY OF CHICAGO:WARD 21 PRECINCT 24,21,24,328,328
CITY OF CHICAGO:WARD 21 PRECINCT 25,21,25,234,234
CITY OF CHICAGO:WARD 21 PRECINCT 26,21,26,303,303
CITY OF CHICAGO:WARD 21 PRECINCT 27,21,27,364,364
CITY OF CHICAGO:WARD 21 PRECINCT 28,21,28,389,389
CITY OF CHICAGO:WARD 21 PRECINCT 29,21,29,405,405
CITY OF CHICAGO:WARD 22 PRECINCT 01,22,1,120,120
CITY OF CHICAGO:WARD 22 PRECINCT 02,22,2,74,74
CITY OF CHICAGO:WARD 22 PRECINCT 03,22,3,166,166
CITY OF CHICAGO:WARD 22 PRECINCT 04,22,4,106,106
CITY OF CHICAGO:WARD 22 PRECINCT 05,22,5,225,225
CITY OF CHICAGO:WARD 22 PRECINCT 06,22,6,114,114
CITY OF CHICAGO:WARD 22 PRECINCT 07,22,7,143,143
CITY OF CHICAGO:WARD 22 PRECINCT 08,22,8,145,145
CITY OF CHICAGO:WARD 22 PRECINCT 09,22,9,179,179
CITY OF CHICAGO:WARD 22 PRECINCT 10,22,10,175,175
CITY OF CHICAGO:WARD 22 PRECINCT 11,22,11,215,215
CITY OF CHICAGO:WARD 22 PRECINCT 12,22,12,125,125
CITY OF CHICAGO:WARD 22 PRECINCT 13,22,13,179,179
CITY OF CHICAGO:WARD 22 PRECINCT 14,22,14,145,145
CITY OF CHICAGO:WARD 22 PRECINCT 15,22,15,90,90
CITY OF CHICAGO:WARD 22 PRECINCT 16,22,16,196,196
CITY OF CHICAGO:WARD 22 PRECINCT 17,22,17,77,77
CITY OF CHICAGO:WARD 22 PRECINCT 18,22,18,173,173
CITY OF CHICAGO:WARD 22 PRECINCT 19,22,19,231,231
CITY OF CHICAGO:WARD 23 PRECINCT 01,23,1,103,103
CITY OF CHICAGO:WARD 23 PRECINCT 02,23,2,170,170
CITY OF CHICAGO:WARD 23 PRECINCT 03,23,3,102,102
CITY OF CHICAGO:WARD 23 PRECINCT 04,23,4,77,77
CITY OF CHICAGO:WARD 23 PRECINCT 05,23,5,125,125
CITY OF CHICAGO:WARD 23 PRECINCT 06,23,6,89,89
CITY OF CHICAGO:WARD 23 PRECINCT 07,23,7,133,133
CITY OF CHICAGO:WARD 23 PRECINCT 08,23,8,109,109
CITY OF CHICAGO:WARD 23 PRECINCT 09,23,9,204,204
CITY OF CHICAGO:WARD 23 PRECINCT 10,23,10,204,204
CITY OF CHICAGO:WARD 23 PRECINCT 11,23,11,114,114
CITY OF CHICAGO:WARD 23 PRECINCT 12,23,12,133,133
CITY OF CHICAGO:WARD 23 PRECINCT 13,23,13,262,262
CITY OF CHICAGO:WARD 23 PRECINCT 14,23,14,173,173
CITY OF CHICAGO:WARD 23 PRECINCT 15,23,15,184,184
CITY OF CHICAGO:WARD 23 PRECINCT 16,23,16,113,113
CITY OF CHICAGO:WARD 23 PRECINCT 17,23,17,152,152
CITY OF CHICAGO:WARD 23 PRECINCT 18,23,18,133,133
CITY OF CHICAGO:WARD 23 PRECINCT 19,23,19,88,88
CITY OF CHICAGO:WARD 23 PRECINCT 20,23,20,109,109
CITY OF CHICAGO:WARD 23 PRECINCT 21,23,21,83,83
CITY OF CHICAGO:WARD 23 PRECINCT 22,23,22,102,102
CITY OF CHICAGO:WARD 23 PRECINCT 23,23,23,93,93
CITY OF CHICAGO:WARD 23 PRECINCT 24,23,24,79,79
CITY OF CHICAGO:WARD 23 PRECINCT 25,23,25,67,67
CITY OF CHICAGO:WARD 23 PRECINCT 26,23,26,60,60
CITY OF CHICAGO:WARD 23 PRECINCT 27,23,27,82,82
CITY OF CHICAGO:WARD 23 PRECINCT 28,23,28,110,110
CITY OF CHICAGO:WARD 23 PRECINCT 29,23,29,155,155
CITY OF CHICAGO:WARD 23 PRECINCT 30,23,30,113,113
CITY OF CHICAGO:WARD 23 PRECINCT 31,23,31,113,113
CITY OF CHICAGO:WARD 23 PRECINCT 32,23,32,89,89
