JoinField,JB Pritzker,Total Voters
DUPAGE:MILTON 018,249,249
DUPAGE:MILTON 019,215,215
DUPAGE:MILTON 020,241,241
DUPAGE:MILTON 021,225,225
DUPAGE:MILTON 022,108,108
DUPAGE:MILTON 023,131,131
DUPAGE:MILTON 024,174,174
DUPAGE:MILTON 025,171,171
DUPAGE:MILTON 026,165,165
DUPAGE:MILTON 027,124,124
DUPAGE:MILTON 028,149,149
DUPAGE:MILTON 029,249,249
DUPAGE:MILTON 030,120,120
DUPAGE:MILTON 031,242,242
DUPAGE:MILTON 032,315,315
DUPAGE:MILTON 033,278,278
DUPAGE:MILTON 034,240,240
DUPAGE:MILTON 035,242,242
DUPAGE:MILTON 036,264,264
DUPAGE:MILTON 037,218,218
DUPAGE:MILTON 038,195,195
DUPAGE:MILTON 039,186,186
DUPAGE:MILTON 040,228,228
DUPAGE:MILTON 041,198,198
DUPAGE:MILTON 042,234,234
DUPAGE:MILTON 043,229,229
DUPAGE:MILTON 044,212,212
DUPAGE:MILTON 045,266,266
DUPAGE:MILTON 046,132,132
DUPAGE:MILTON 047,222,222
DUPAGE:MILTON 048,210,210
DUPAGE:MILTON 049,88,88
DUPAGE:MILTON 050,131,131
DUPAGE:MILTON 051,219,219
DUPAGE:MILTON 052,189,189
DUPAGE:MILTON 053,131,131
DUPAGE:MILTON 054,272,272
DUPAGE:MILTON 055,248,248
DUPAGE:MILTON 056,181,181
DUPAGE:MILTON 057,215,215
DUPAGE:MILTON 058,187,187
DUPAGE:MILTON 059,183,183
DUPAGE:MILTON 060,200,200
DUPAGE:MILTON 061,218,218
DUPAGE:MILTON 062,244,244
DUPAGE:MILTON 063,116,116
DUPAGE:MILTON 064,205,205
DUPAGE:MILTON 065,179,179
DUPAGE:MILTON 066,205,205
DUPAGE:MILTON 067,226,226
DUPAGE:MILTON 068,160,160
DUPAGE:MILTON 069,188,188
DUPAGE:MILTON 070,185,185
DUPAGE:MILTON 071,177,177
DUPAGE:MILTON 072,194,194
DUPAGE:MILTON 073,248,248
DUPAGE:MILTON 074,180,180
DUPAGE:MILTON 075,195,195
DUPAGE:MILTON 076,262,262
DUPAGE:MILTON 077,154,154
DUPAGE:MILTON 078,126,126
DUPAGE:MILTON 079,203,203
DUPAGE:MILTON 080,252,252
DUPAGE:MILTON 081,195,195
DUPAGE:NAPERVILLE 001,225,225
DUPAGE:NAPERVILLE 002,168,168
DUPAGE:NAPERVILLE 003,304,304
