JoinField,JB Pritzker,Total Voters
WILL:WHEATLAND PCT 033,313,313
WILL:WHEATLAND PCT 034,234,234
WILL:WHEATLAND PCT 035,277,277
WILL:WHEATLAND PCT 036,197,197
WILL:WHEATLAND PCT 037,179,179
WILL:WHEATLAND PCT 038,220,220
WILL:WILL PCT 001,83,83
WILL:WILMINGTON PCT 001,116,116
WILL:WILMINGTON PCT 002,61,61
WILL:WILMINGTON PCT 003,99,99
WILL:WILTON PCT 001,42,42
WILL:Total:,55329,55329
