JoinField,JB Pritzker / Christian Mitchell,Total Voters
LAKE:WARREN 331,141,141
LAKE:WARREN 332,126,126
LAKE:WARREN 333,171,171
LAKE:WARREN 334,136,136
LAKE:WARREN 335,103,103
LAKE:WARREN 336,106,106
LAKE:WARREN 337,112,112
LAKE:WARREN 338,133,133
LAKE:WAUCONDA 339,87,87
LAKE:WAUCONDA 340,99,99
LAKE:WAUCONDA 341,122,122
LAKE:WAUCONDA 342,140,140
LAKE:WAUCONDA 343,134,134
LAKE:WAUCONDA 344,139,139
LAKE:WAUCONDA 345,51,51
LAKE:WAUCONDA 346,123,123
LAKE:WAUCONDA 347,109,109
LAKE:WAUCONDA 348,70,70
LAKE:WAUCONDA 349,110,110
LAKE:WAUCONDA 350,126,126
LAKE:WAUCONDA 351,176,176
LAKE:WAUCONDA 352,120,120
LAKE:WAUCONDA 353,100,100
LAKE:WAUCONDA 354,163,163
LAKE:WAUKEGAN 355,50,50
LAKE:WAUKEGAN 356,141,141
LAKE:WAUKEGAN 357,84,84
LAKE:WAUKEGAN 358,94,94
LAKE:WAUKEGAN 359,137,137
LAKE:WAUKEGAN 360,144,144
LAKE:WAUKEGAN 361,60,60
LAKE:WAUKEGAN 362,162,162
LAKE:WAUKEGAN 363,114,114
LAKE:WAUKEGAN 364,89,89
LAKE:WAUKEGAN 365,111,111
LAKE:WAUKEGAN 366,165,165
LAKE:WAUKEGAN 367,89,89
LAKE:WAUKEGAN 368,132,132
LAKE:WAUKEGAN 369,73,73
LAKE:WAUKEGAN 370,94,94
LAKE:WAUKEGAN 371,100,100
LAKE:WAUKEGAN 372,95,95
LAKE:WAUKEGAN 373,95,95
LAKE:WAUKEGAN 374,142,142
LAKE:WAUKEGAN 375,143,143
LAKE:WAUKEGAN 376,160,160
LAKE:WAUKEGAN 377,93,93
LAKE:WAUKEGAN 378,113,113
LAKE:WAUKEGAN 379,127,127
LAKE:WAUKEGAN 380,58,58
LAKE:WAUKEGAN 381,120,120
LAKE:WAUKEGAN 382,97,97
LAKE:WAUKEGAN 383,85,85
LAKE:WAUKEGAN 384,71,71
LAKE:WAUKEGAN 385,73,73
LAKE:WAUKEGAN 386,129,129
LAKE:WAUKEGAN 387,95,95
LAKE:WAUKEGAN 388,49,49
LAKE:WAUKEGAN 389,95,95
LAKE:WAUKEGAN 390,69,69
LAKE:WAUKEGAN 391,68,68
LAKE:WAUKEGAN 392,67,67
LAKE:WAUKEGAN 393,147,147
LAKE:WEST DEERFIELD 394,115,115
LAKE:WEST DEERFIELD 395,94,94
LAKE:WEST DEERFIELD 396,77,77
LAKE:WEST DEERFIELD 397,78,78
LAKE:WEST DEERFIELD 398,100,100
LAKE:WEST DEERFIELD 399,95,95
LAKE:WEST DEERFIELD 400,87,87
LAKE:WEST DEERFIELD 401,161,161
LAKE:WEST DEERFIELD 402,115,115
LAKE:WEST DEERFIELD 403,86,86
LAKE:WEST DEERFIELD 404,200,200
LAKE:WEST DEERFIELD 405,360,360
LAKE:WEST DEERFIELD 406,201,201
LAKE:WEST DEERFIELD 407,399,399
LAKE:WEST DEERFIELD 408,128,128
LAKE:WEST DEERFIELD 409,347,347
LAKE:WEST DEERFIELD 410,342,342
LAKE:WEST DEERFIELD 411,306,306
LAKE:WEST DEERFIELD 412,380,380
LAKE:WEST DEERFIELD 413,218,218
LAKE:WEST DEERFIELD 414,336,336
LAKE:WEST DEERFIELD 415,372,372
LAKE:WEST DEERFIELD 416,374,374
LAKE:WEST DEERFIELD 417,260,260
LAKE:WEST DEERFIELD 418,294,294
LAKE:ZION 419,154,154
LAKE:ZION 420,95,95
LAKE:ZION 421,86,86
LAKE:ZION 422,133,133
LAKE:ZION 423,76,76
LAKE:ZION 424,59,59
LAKE:ZION 425,103,103
LAKE:ZION 426,78,78
LAKE:ZION 427,52,52
LAKE:ZION 428,89,89
LAKE:ZION 429,78,78
LAKE:ZION 430,91,91
LAKE:ZION 431,101,101
LAKE:TOTAL:,63307,63307
