JoinField,JoinField_alt,JB Pritzker & Christian Mitchell,Total Voters
COOK:7600022,COOK:Hanover Precinct 22,145,145
COOK:7600023,COOK:Hanover Precinct 23,157,157
COOK:7600024,COOK:Hanover Precinct 24,127,127
COOK:7600025,COOK:Hanover Precinct 25,249,249
COOK:7600026,COOK:Hanover Precinct 26,157,157
COOK:7600027,COOK:Hanover Precinct 27,648,648
COOK:7600028,COOK:Hanover Precinct 28,255,255
COOK:7600029,COOK:Hanover Precinct 29,98,98
COOK:7600030,COOK:Hanover Precinct 30,141,141
COOK:7600031,COOK:Hanover Precinct 31,108,108
COOK:7600032,COOK:Hanover Precinct 32,123,123
COOK:7600033,COOK:Hanover Precinct 33,168,168
COOK:7600034,COOK:Hanover Precinct 34,182,182
COOK:7600035,COOK:Hanover Precinct 35,163,163
COOK:7600036,COOK:Hanover Precinct 36,125,125
COOK:7600037,COOK:Hanover Precinct 37,242,242
COOK:7600038,COOK:Hanover Precinct 38,170,170
COOK:7600039,COOK:Hanover Precinct 39,178,178
COOK:7600040,COOK:Hanover Precinct 40,189,189
COOK:7600041,COOK:Hanover Precinct 41,281,281
COOK:7600042,COOK:Hanover Precinct 42,185,185
COOK:7600043,COOK:Hanover Precinct 43,153,153
COOK:7700001,COOK:Lemont Precinct 1,124,124
COOK:7700002,COOK:Lemont Precinct 2,110,110
COOK:7700003,COOK:Lemont Precinct 3,145,145
COOK:7700004,COOK:Lemont Precinct 4,109,109
COOK:7700005,COOK:Lemont Precinct 5,124,124
COOK:7700006,COOK:Lemont Precinct 6,151,151
COOK:7700007,COOK:Lemont Precinct 7,114,114
COOK:7700008,COOK:Lemont Precinct 8,177,177
COOK:7700009,COOK:Lemont Precinct 9,63,63
COOK:7700010,COOK:Lemont Precinct 10,117,117
COOK:7700011,COOK:Lemont Precinct 11,171,171
COOK:7700012,COOK:Lemont Precinct 12,157,157
COOK:7700013,COOK:Lemont Precinct 13,151,151
COOK:7700014,COOK:Lemont Precinct 14,109,109
COOK:7800001,COOK:Leyden Precinct 1,76,76
COOK:7800002,COOK:Leyden Precinct 2,75,75
COOK:7800003,COOK:Leyden Precinct 3,181,181
COOK:7800004,COOK:Leyden Precinct 4,125,125
