FOR COMPTROLLER (Vote For 1),,,,,,,,,,,,,,,,,,
,,KARINA VILLA,,,,STEPHANIE A. KIFOWIT,,,,HOLLY KIM,,,,MARGARET CROKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
WHEATLAND PCT 033,1717,72,11,9,92,80,35,44,159,22,5,8,35,21,5,4,30,316
WHEATLAND PCT 034,1415,37,8,7,52,90,22,18,130,12,5,5,22,15,7,6,28,232
WHEATLAND PCT 035,1358,25,18,20,63,47,35,23,105,14,19,14,47,30,26,11,67,282
WHEATLAND PCT 036,1511,45,8,25,78,11,2,7,20,17,7,12,36,32,15,10,57,191
WHEATLAND PCT 037,1484,48,8,8,64,15,4,10,29,28,12,8,48,21,10,10,41,182
WHEATLAND PCT 038,1207,55,14,21,90,9,1,5,15,20,5,20,45,43,10,20,73,223
WILL PCT 001,1162,11,3,9,23,5,0,2,7,14,4,5,23,21,5,7,33,86
WILMINGTON PCT 001,1403,14,1,6,21,14,4,9,27,14,4,7,25,35,1,11,47,120
WILMINGTON PCT 002,1102,7,1,2,10,1,1,0,2,9,0,9,18,21,3,4,28,58
WILMINGTON PCT 003,1383,21,3,3,27,8,0,4,12,15,1,8,24,22,6,2,30,93
WILTON PCT 001,597,8,1,2,11,1,0,2,3,9,0,4,13,9,4,0,13,40
Total:,458788,10795,3139,3278,17212,3714,1381,1750,6845,6873,2448,3166,12487,10840,3691,3488,18019,54563
