FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEVIN RYAN,,,,ROBIN KELLY,,,,JULIANA STRATTON,,,,RAJA KRISHNAMOORTHI,,,,STEVE BOTSFORD JR.,,,,BRYAN MAXWELL,,,,JONATHAN DEAN,,,,SEAN BROWN,,,,AWISI A. BUSTOS,,,,CHRISTOPHER SWANN,,,,ADAM DELGADO (WRITE-IN),,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
DUPAGE PCT 035,1242,5,2,0,7,12,5,1,18,36,10,3,49,10,6,8,24,0,0,0,0,0,2,0,2,1,0,0,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,104
DUPAGE PCT 036,1946,5,1,3,9,20,8,2,30,82,22,17,121,29,14,17,60,0,0,0,0,1,0,0,1,2,0,0,2,1,0,0,1,1,0,1,2,0,0,1,1,0,0,0,0,227
DUPAGE PCT 037,1454,9,2,1,12,8,3,2,13,54,11,2,67,29,12,6,47,2,0,0,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,144
FLORENCE PCT 001,685,1,0,2,3,4,1,4,9,14,2,4,20,12,1,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
FRANKFORT PCT 001,1978,9,3,3,15,20,2,5,27,57,10,12,79,40,9,24,73,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,197
FRANKFORT PCT 002,1514,4,2,1,7,13,10,11,34,37,9,21,67,29,35,26,90,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
FRANKFORT PCT 003,1691,3,0,0,3,17,4,1,22,65,12,14,91,40,4,30,74,0,0,0,0,0,0,2,2,1,0,0,1,2,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,197
FRANKFORT PCT 004,1428,3,3,2,8,27,5,6,38,40,2,12,54,28,13,17,58,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,163
FRANKFORT PCT 005,2045,5,4,2,11,26,6,7,39,52,13,12,77,27,17,24,68,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,197
FRANKFORT PCT 006,1412,8,4,1,13,20,7,4,31,51,9,6,66,29,9,18,56,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,170
FRANKFORT PCT 007,1338,8,2,4,14,9,4,7,20,38,11,10,59,21,15,25,61,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,158
FRANKFORT PCT 008,1391,4,1,1,6,13,3,2,18,21,6,6,33,21,10,19,50,0,0,0,0,2,0,0,2,1,0,0,1,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,113
FRANKFORT PCT 009,1475,9,1,3,13,18,2,13,33,18,5,17,40,28,15,19,62,0,0,0,0,2,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,155
FRANKFORT PCT 010,1483,3,2,2,7,26,8,4,38,34,10,12,56,20,8,34,62,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,168
FRANKFORT PCT 011,1504,2,1,7,10,9,11,6,26,38,7,10,55,18,1,17,36,0,0,0,0,1,0,1,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,131
FRANKFORT PCT 012,1161,7,1,2,10,15,6,0,21,48,11,6,65,33,24,18,75,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,2,0,0,0,0,177
FRANKFORT PCT 013,1215,5,1,3,9,11,6,3,20,38,3,5,46,36,11,19,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,2,0,0,0,0,146
FRANKFORT PCT 014,1428,5,2,0,7,16,6,2,24,40,3,11,54,33,7,7,47,0,0,0,0,1,0,0,1,1,0,1,2,2,0,1,3,0,0,1,1,1,0,0,1,0,0,0,0,140
FRANKFORT PCT 015,1828,7,1,1,9,20,7,5,32,42,11,10,63,33,21,36,90,0,0,0,0,2,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,202
FRANKFORT PCT 016,1618,9,0,3,12,42,20,8,70,56,14,20,90,43,23,24,90,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,267
FRANKFORT PCT 017,1914,9,1,0,10,31,0,8,39,40,3,11,54,36,17,25,78,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,183
