FOR UNITED STATES SENATOR (Vote For 1),,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASEY CHLEBEK,,,,DON TRACY,,,,R. CARY CAPPARELLI,,,,PAMELA DENISE LONG,,,,"JIMMY LEE TILLMAN, II",,,,JEANNIE EVANS,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
GREEN GARDEN PCT 002,1610,13,0,1,14,72,4,10,86,8,2,2,12,16,3,3,22,6,0,0,6,54,11,10,75,215
HOMER PCT 001,1559,14,1,1,16,35,1,4,40,21,1,3,25,8,1,0,9,6,1,0,7,37,1,3,41,138
HOMER PCT 002,1638,37,10,3,50,66,12,9,87,14,7,1,22,8,2,1,11,1,0,0,1,43,10,6,59,230
HOMER PCT 003,1309,14,4,1,19,32,16,3,51,11,4,3,18,5,0,1,6,3,1,0,4,25,3,0,28,126
HOMER PCT 004,1494,27,6,11,44,57,24,18,99,12,4,7,23,12,1,5,18,5,1,0,6,30,10,6,46,236
HOMER PCT 005,1149,21,2,0,23,28,7,8,43,16,6,1,23,18,3,1,22,0,0,1,1,17,4,2,23,135
HOMER PCT 006,1480,22,5,1,28,37,10,7,54,9,3,5,17,10,0,4,14,5,0,0,5,22,14,5,41,159
HOMER PCT 007,1457,30,9,4,43,44,9,7,60,12,5,5,22,9,1,1,11,3,2,2,7,31,10,6,47,190
HOMER PCT 008,1425,18,9,8,35,37,12,9,58,15,7,4,26,6,4,5,15,3,0,1,4,26,15,5,46,184
HOMER PCT 009,1201,18,1,5,24,35,9,9,53,18,1,2,21,11,0,3,14,2,2,1,5,20,0,2,22,139
HOMER PCT 010,1024,9,3,6,18,34,10,5,49,7,4,1,12,8,1,0,9,0,0,1,1,32,7,1,40,129
HOMER PCT 011,1483,23,5,6,34,60,19,9,88,15,6,1,22,3,3,2,8,3,0,0,3,28,14,3,45,200
HOMER PCT 012,1548,32,4,3,39,43,20,13,76,11,2,5,18,3,0,1,4,2,3,1,6,32,18,4,54,197
HOMER PCT 013,1745,12,0,0,12,42,1,5,48,6,2,3,11,6,1,2,9,4,2,3,9,25,6,8,39,128
HOMER PCT 014,1590,19,8,3,30,32,10,8,50,21,2,4,27,7,1,3,11,2,1,0,3,44,8,8,60,181
HOMER PCT 015,1921,21,4,3,28,29,12,9,50,8,4,0,12,6,0,2,8,4,0,0,4,31,8,4,43,145
HOMER PCT 016,2262,22,6,5,33,48,12,8,68,17,3,6,26,6,1,0,7,5,1,1,7,37,10,4,51,192
HOMER PCT 017,1577,20,4,3,27,53,11,11,75,16,8,6,30,9,2,2,13,7,3,0,10,43,1,13,57,212
HOMER PCT 018,2061,13,4,2,19,26,5,3,34,7,6,0,13,9,3,4,16,8,1,0,9,22,1,1,24,115
HOMER PCT 019,1712,27,6,2,35,45,7,12,64,22,4,2,28,9,2,1,12,4,1,0,5,30,1,6,37,181
JACKSON PCT 001,1653,17,3,0,20,29,6,7,42,12,7,0,19,9,2,2,13,6,0,1,7,38,5,1,44,145
JACKSON PCT 002,1359,10,2,2,14,43,12,4,59,15,3,1,19,9,4,2,15,4,4,0,8,13,2,3,18,133
JOLIET PCT 001,1381,2,0,1,3,14,0,0,14,5,1,1,7,3,0,0,3,3,0,1,4,7,1,1,9,40
JOLIET PCT 002,1221,8,1,0,9,25,2,3,30,8,0,0,8,3,3,0,6,4,0,0,4,10,3,1,14,71
JOLIET PCT 003,1213,6,0,0,6,15,5,3,23,14,1,1,16,2,0,0,2,0,0,3,3,14,2,1,17,67
JOLIET PCT 004,1252,3,1,0,4,11,2,0,13,4,0,2,6,3,1,0,4,3,0,0,3,2,1,0,3,33
JOLIET PCT 005,866,0,0,0,0,2,4,1,7,1,1,0,2,0,0,0,0,2,0,0,2,0,0,1,1,12
JOLIET PCT 006,943,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4
JOLIET PCT 007,1132,3,3,2,8,5,1,0,6,0,3,0,3,2,1,0,3,1,1,0,2,3,1,0,4,26
JOLIET PCT 008,1090,3,1,0,4,14,2,0,16,6,0,0,6,3,0,0,3,3,1,0,4,12,2,1,15,48
JOLIET PCT 009,1835,3,0,3,6,14,7,4,25,3,1,2,6,2,1,1,4,2,1,1,4,5,1,3,9,54
JOLIET PCT 010,1390,1,0,0,1,20,7,2,29,9,3,0,12,3,1,3,7,1,0,0,1,14,3,1,18,68
JOLIET PCT 011,1341,4,1,1,6,18,7,2,27,5,0,0,5,1,0,0,1,3,0,1,4,10,1,1,12,55
JOLIET PCT 012,1215,3,0,0,3,4,0,5,9,3,0,2,5,3,0,1,4,1,0,1,2,4,1,2,7,30
JOLIET PCT 013,1120,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,0,1,4,0,0,0,0,6
JOLIET PCT 014,1158,0,1,0,1,2,0,0,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,5
JOLIET PCT 015,1243,5,1,0,6,14,4,0,18,3,0,2,5,0,0,0,0,1,0,0,1,7,3,1,11,41
JOLIET PCT 016,1209,3,0,1,4,12,2,2,16,3,0,0,3,0,0,0,0,1,0,0,1,8,1,2,11,35
JOLIET PCT 017,1305,5,0,1,6,22,5,1,28,7,1,2,10,7,0,1,8,0,1,0,1,13,0,0,13,66
JOLIET PCT 018,1359,4,0,2,6,25,3,5,33,10,2,1,13,2,1,0,3,5,1,2,8,22,4,3,29,92
JOLIET PCT 019,1172,7,2,0,9,12,5,0,17,7,1,0,8,4,0,2,6,3,1,0,4,8,5,0,13,57
JOLIET PCT 020,1128,6,0,0,6,13,1,1,15,7,3,4,14,2,1,1,4,1,0,1,2,13,2,0,15,56
JOLIET PCT 021,677,3,0,0,3,4,1,0,5,4,1,0,5,0,3,0,3,2,0,0,2,5,0,0,5,23
JOLIET PCT 022,1038,1,1,0,2,15,1,1,17,0,0,1,1,1,0,0,1,1,0,0,1,5,1,1,7,29
JOLIET PCT 023,990,1,0,0,1,4,1,0,5,6,0,1,7,0,1,0,1,1,0,0,1,4,1,0,5,20
JOLIET PCT 024,1101,5,2,0,7,9,0,2,11,7,0,0,7,1,0,1,2,1,1,0,2,5,3,0,8,37
JOLIET PCT 025,920,4,0,0,4,12,0,1,13,2,1,2,5,2,1,0,3,2,0,0,2,3,1,0,4,31
JOLIET PCT 026,1197,4,2,0,6,4,1,0,5,1,1,3,5,3,0,0,3,5,0,0,5,6,1,0,7,31
JOLIET PCT 027,878,0,0,0,0,1,0,3,4,2,0,0,2,5,0,0,5,2,0,0,2,1,0,0,1,14
