FOR GOVERNOR AND LIEUTENANT GOVERNOR (Vote For 1),,,,,,,,,,,,,,,,,,
,,DABROWSKI / MENDOZA,,,,MENDRICK / RENTERIA,,,,BAILEY / DEL MAR,,,,HEIDNER / NEITZKE-TROIKE,,,,
Precinct,Registered Voters,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Election Day,Early Voting,Vote by Mail,Total Votes,Total
DUPAGE PCT 004,1270,21,3,3,27,7,1,0,8,13,2,4,19,1,0,4,5,59
DUPAGE PCT 005,1133,15,7,8,30,9,1,0,10,14,6,2,22,2,1,0,3,65
DUPAGE PCT 006,1189,11,5,0,16,7,6,1,14,10,9,4,23,2,3,0,5,58
DUPAGE PCT 007,1380,37,8,8,53,13,3,0,16,27,5,9,41,10,2,3,15,125
DUPAGE PCT 008,1368,7,10,0,17,7,4,0,11,9,8,2,19,3,0,0,3,50
DUPAGE PCT 009,1182,10,3,3,16,4,0,1,5,14,4,5,23,2,1,0,3,47
DUPAGE PCT 010,1698,14,1,0,15,4,1,0,5,8,2,3,13,7,0,0,7,40
DUPAGE PCT 011,1481,11,1,2,14,3,1,3,7,10,6,1,17,5,3,0,8,46
DUPAGE PCT 012,1321,16,6,7,29,4,2,0,6,18,10,3,31,1,2,0,3,69
DUPAGE PCT 013,1651,12,2,4,18,6,7,0,13,7,2,1,10,0,0,2,2,43
DUPAGE PCT 014,1500,10,10,3,23,2,0,2,4,26,6,6,38,2,6,2,10,75
DUPAGE PCT 015,1538,25,5,0,30,10,3,2,15,17,6,4,27,7,7,1,15,87
DUPAGE PCT 016,1408,25,4,5,34,6,2,0,8,15,1,1,17,11,0,1,12,71
DUPAGE PCT 017,1740,10,2,5,17,4,0,2,6,17,4,2,23,2,1,0,3,49
DUPAGE PCT 018,1459,9,9,2,20,5,1,0,6,12,5,3,20,7,3,0,10,56
DUPAGE PCT 019,1440,11,6,2,19,7,0,4,11,15,11,0,26,1,4,0,5,61
DUPAGE PCT 020,1342,6,6,0,12,0,4,0,4,13,6,0,19,3,2,0,5,40
DUPAGE PCT 021,1619,19,3,4,26,5,6,0,11,25,6,1,32,4,3,1,8,77
DUPAGE PCT 022,1708,17,5,6,28,11,2,0,13,32,15,2,49,4,2,0,6,96
DUPAGE PCT 023,1895,8,4,2,14,4,1,0,5,17,6,0,23,2,0,1,3,45
DUPAGE PCT 024,1464,13,4,2,19,8,1,0,9,11,7,5,23,2,1,0,3,54
DUPAGE PCT 025,1271,2,2,4,8,3,1,1,5,6,3,1,10,0,1,0,1,24
DUPAGE PCT 026,1312,7,6,0,13,9,2,0,11,11,2,2,15,2,2,1,5,44
DUPAGE PCT 027,1580,9,3,0,12,4,1,0,5,17,5,1,23,0,2,1,3,43
DUPAGE PCT 028,1679,6,3,0,9,6,4,0,10,10,3,0,13,0,1,3,4,36
DUPAGE PCT 029,1749,17,3,3,23,6,1,0,7,15,1,3,19,4,0,1,5,54
DUPAGE PCT 030,1367,11,7,0,18,3,1,1,5,7,3,0,10,4,0,0,4,37
DUPAGE PCT 031,880,23,1,1,25,4,1,0,5,16,0,1,17,1,0,2,3,50
DUPAGE PCT 032,1946,12,2,0,14,15,1,0,16,34,4,4,42,10,0,2,12,84
DUPAGE PCT 033,1520,20,3,2,25,5,2,1,8,25,3,7,35,1,2,0,3,71
DUPAGE PCT 034,996,47,10,9,66,9,1,2,12,32,2,8,42,13,1,3,17,137
DUPAGE PCT 035,1242,8,2,1,11,4,0,0,4,9,1,0,10,2,1,0,3,28
DUPAGE PCT 036,1946,21,0,3,24,15,4,1,20,32,10,9,51,6,0,1,7,102
DUPAGE PCT 037,1454,23,0,0,23,10,0,0,10,27,1,2,30,4,3,0,7,70
FLORENCE PCT 001,685,11,0,2,13,1,1,1,3,50,2,3,55,3,0,2,5,76
