JoinField,JoinField_alt,Ward/Township,Precinct,Drake Warren,Bridget Gainer,Total Voters
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,309,129,438
CITY OF CHICAGO:WARD 48 PRECINCT 19,CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,149,106,255
CITY OF CHICAGO:WARD 48 PRECINCT 20,CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,81,93,174
CITY OF CHICAGO:WARD 48 PRECINCT 21,CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,289,181,470
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,131,142,273
CITY OF CHICAGO:WARD 48 PRECINCT 23,CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,171,191,362
CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,311,232,543
CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,380,164,544
CITY OF CHICAGO:WARD 48 PRECINCT 26,CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,128,123,251
CITY OF CHICAGO:WARD 48 PRECINCT 28,CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,291,106,397
CITY OF CHICAGO:WARD 48 PRECINCT 29,CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,73,127,200
CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,327,155,482
CITY OF CHICAGO:WARD 48 PRECINCT 31,CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,354,120,474
CITY OF CHICAGO:WARD 48 PRECINCT 32,CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,143,67,210
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,87,88,175
CITY OF CHICAGO:WARD 48 PRECINCT 34,CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,239,129,368
CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,351,244,595
CITY OF CHICAGO:WARD 50 PRECINCT 24,CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,18,11,29
CITY OF CHICAGO:WARD 50 PRECINCT 28,CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,171,154,325
COOK:8400010,COOK:Norwood Park Precinct 10,Norwood Park,10,32,42,74
