JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
CITY OF CHICAGO:WARD 32 PRECINCT 07,CITY OF CHICAGO:WARD 32 PRECINCT 07,32,7,94,174,268
CITY OF CHICAGO:WARD 32 PRECINCT 08,CITY OF CHICAGO:WARD 32 PRECINCT 08,32,8,81,171,252
CITY OF CHICAGO:WARD 32 PRECINCT 09,CITY OF CHICAGO:WARD 32 PRECINCT 09,32,9,63,152,215
CITY OF CHICAGO:WARD 32 PRECINCT 10,CITY OF CHICAGO:WARD 32 PRECINCT 10,32,10,152,256,408
CITY OF CHICAGO:WARD 32 PRECINCT 11,CITY OF CHICAGO:WARD 32 PRECINCT 11,32,11,68,119,187
CITY OF CHICAGO:WARD 32 PRECINCT 12,CITY OF CHICAGO:WARD 32 PRECINCT 12,32,12,57,84,141
CITY OF CHICAGO:WARD 32 PRECINCT 13,CITY OF CHICAGO:WARD 32 PRECINCT 13,32,13,28,62,90
CITY OF CHICAGO:WARD 32 PRECINCT 14,CITY OF CHICAGO:WARD 32 PRECINCT 14,32,14,129,239,368
CITY OF CHICAGO:WARD 32 PRECINCT 15,CITY OF CHICAGO:WARD 32 PRECINCT 15,32,15,143,239,382
CITY OF CHICAGO:WARD 32 PRECINCT 16,CITY OF CHICAGO:WARD 32 PRECINCT 16,32,16,53,103,156
CITY OF CHICAGO:WARD 32 PRECINCT 17,CITY OF CHICAGO:WARD 32 PRECINCT 17,32,17,149,259,408
CITY OF CHICAGO:WARD 32 PRECINCT 18,CITY OF CHICAGO:WARD 32 PRECINCT 18,32,18,95,101,196
CITY OF CHICAGO:WARD 32 PRECINCT 19,CITY OF CHICAGO:WARD 32 PRECINCT 19,32,19,80,123,203
CITY OF CHICAGO:WARD 32 PRECINCT 20,CITY OF CHICAGO:WARD 32 PRECINCT 20,32,20,113,214,327
CITY OF CHICAGO:WARD 32 PRECINCT 21,CITY OF CHICAGO:WARD 32 PRECINCT 21,32,21,137,293,430
CITY OF CHICAGO:WARD 32 PRECINCT 22,CITY OF CHICAGO:WARD 32 PRECINCT 22,32,22,105,231,336
