JoinField,Ward,Precinct,Total Voters,Toni Preckwinkle,Brendan Reilly
CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,618,518,100
CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,750,617,133
CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,714,609,105
CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,632,520,112
CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,718,603,115
CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,457,116,341
CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,366,158,208
CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,279,120,159
CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,237,173,64
CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,483,265,218
CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,207,161,46
CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,517,388,129
CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,308,239,69
CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,103,57,46
CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,254,96,158
CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,517,133,384
CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,94,48,46
CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,359,262,97
CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,79,38,41
CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,371,266,105
CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,80,35,45
CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,121,84,37
CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,68,24,44
CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,121,95,26
CITY OF CHICAGO:WARD 50 PRECINCT 20,50,20,124,94,30
CITY OF CHICAGO:WARD 50 PRECINCT 21,50,21,273,213,60
CITY OF CHICAGO:WARD 50 PRECINCT 22,50,22,392,140,252
CITY OF CHICAGO:WARD 50 PRECINCT 23,50,23,258,161,97
CITY OF CHICAGO:WARD 50 PRECINCT 24,50,24,453,96,357
CITY OF CHICAGO:WARD 50 PRECINCT 25,50,25,58,29,29
CITY OF CHICAGO:WARD 50 PRECINCT 26,50,26,125,58,67
CITY OF CHICAGO:WARD 50 PRECINCT 27,50,27,68,42,26
CITY OF CHICAGO:WARD 50 PRECINCT 28,50,28,354,260,94
