JoinField,JoinField_alt,Toni Preckwinkle,Brendan Reilly,Total Voters
COOK:7200031,COOK:Bremen Precinct 31,133,44,177
COOK:7200032,COOK:Bremen Precinct 32,231,74,305
COOK:7200033,COOK:Bremen Precinct 33,89,60,149
COOK:7200034,COOK:Bremen Precinct 34,114,61,175
COOK:7200035,COOK:Bremen Precinct 35,184,51,235
COOK:7200036,COOK:Bremen Precinct 36,228,63,291
COOK:7200037,COOK:Bremen Precinct 37,140,32,172
COOK:7200038,COOK:Bremen Precinct 38,126,80,206
COOK:7200039,COOK:Bremen Precinct 39,81,24,105
COOK:7200040,COOK:Bremen Precinct 40,287,67,354
COOK:7200041,COOK:Bremen Precinct 41,78,55,133
COOK:7200042,COOK:Bremen Precinct 42,82,59,141
COOK:7200043,COOK:Bremen Precinct 43,94,39,133
COOK:7200044,COOK:Bremen Precinct 44,122,78,200
COOK:7200045,COOK:Bremen Precinct 45,51,19,70
COOK:7200046,COOK:Bremen Precinct 46,287,72,359
COOK:7200047,COOK:Bremen Precinct 47,134,32,166
COOK:7200048,COOK:Bremen Precinct 48,119,32,151
COOK:7200049,COOK:Bremen Precinct 49,160,47,207
COOK:7200050,COOK:Bremen Precinct 50,108,108,216
COOK:7200051,COOK:Bremen Precinct 51,113,21,134
COOK:7200052,COOK:Bremen Precinct 52,100,42,142
COOK:7200053,COOK:Bremen Precinct 53,42,39,81
COOK:7200054,COOK:Bremen Precinct 54,58,51,109
COOK:7200055,COOK:Bremen Precinct 55,81,34,115
COOK:7200056,COOK:Bremen Precinct 56,154,38,192
COOK:9400012,COOK:Bremen Precinct 57,89,62,151
COOK:7200058,COOK:Bremen Precinct 58,80,65,145
COOK:7200059,COOK:Bremen Precinct 59,67,46,113
COOK:7200060,COOK:Bremen Precinct 60,65,50,115
COOK:7200061,COOK:Bremen Precinct 61,62,37,99
COOK:7200062,COOK:Bremen Precinct 62,71,38,109
COOK:7200063,COOK:Bremen Precinct 63,197,32,229
COOK:7200064,COOK:Bremen Precinct 64,110,75,185
COOK:7200065,COOK:Bremen Precinct 65,84,60,144
COOK:7200066,COOK:Bremen Precinct 66,295,75,370
COOK:7300001,COOK:Calumet Precinct 1,112,49,161
COOK:7300002,COOK:Calumet Precinct 2,90,38,128
COOK:7300003,COOK:Calumet Precinct 3,144,48,192
COOK:7300004,COOK:Calumet Precinct 4,102,24,126
COOK:7300005,COOK:Calumet Precinct 5,231,41,272
COOK:7300006,COOK:Calumet Precinct 6,167,59,226
COOK:7300007,COOK:Calumet Precinct 7,149,40,189
COOK:7300008,COOK:Calumet Precinct 8,75,18,93
COOK:7300009,COOK:Calumet Precinct 9,187,47,234
COOK:7300010,COOK:Calumet Precinct 10,203,36,239
COOK:7300011,COOK:Calumet Precinct 11,262,76,338
COOK:9800001,COOK:Cicero Precinct 1,110,51,161
COOK:9800002,COOK:Cicero Precinct 2,49,29,78
COOK:9800003,COOK:Cicero Precinct 3,74,40,114
COOK:9800004,COOK:Cicero Precinct 4,90,38,128
COOK:9800005,COOK:Cicero Precinct 5,130,115,245
