JoinField,JoinField_alt,Neil Khot,Yasmeen Bankole,Kevin B. Morrison,Dan Tully,Ryan Vetticad,Melissa L. Bean,Junaid Ahmed,Sanjyot Dunung,Total Voters
COOK:7600038,COOK:Hanover Precinct 38,20,14,20,19,0,49,53,9,184
COOK:7600040,COOK:Hanover Precinct 40,25,17,12,25,2,50,62,15,208
COOK:7600041,COOK:Hanover Precinct 41,14,48,44,20,1,90,61,7,285
COOK:7600043,COOK:Hanover Precinct 43,9,7,18,26,0,39,55,4,158
COOK:7800038,COOK:Leyden Precinct 38,4,5,3,5,1,11,17,0,46
COOK:7800042,COOK:Leyden Precinct 42,13,7,9,23,1,35,11,2,101
COOK:8000004,COOK:Maine Precinct 4,6,9,15,19,0,37,42,4,132
COOK:8000006,COOK:Maine Precinct 6,21,18,62,39,5,92,77,11,325
COOK:8000007,COOK:Maine Precinct 7,13,11,21,13,1,60,21,6,146
COOK:8000009,COOK:Maine Precinct 9,21,18,37,35,3,111,59,18,302
COOK:8000010,COOK:Maine Precinct 10,23,19,65,26,2,102,80,15,332
COOK:8000012,COOK:Maine Precinct 12,7,6,9,22,2,40,20,9,115
COOK:8000014,COOK:Maine Precinct 14,17,14,36,60,2,66,52,16,263
COOK:8000016,COOK:Maine Precinct 16,4,12,22,27,4,37,21,6,133
COOK:8000017,COOK:Maine Precinct 17,11,13,15,42,0,47,47,2,177
COOK:8000018,COOK:Maine Precinct 18,12,6,16,22,1,57,51,4,169
COOK:8000026,COOK:Maine Precinct 26,15,5,27,35,4,93,44,7,230
COOK:8000034,COOK:Maine Precinct 34,12,13,24,18,5,89,46,9,216
COOK:8000035,COOK:Maine Precinct 35,11,22,24,18,3,50,74,14,216
COOK:8000038,COOK:Maine Precinct 38,6,6,6,13,2,25,31,4,93
COOK:8000041,COOK:Maine Precinct 41,6,2,10,16,1,34,46,11,126
COOK:8000047,COOK:Maine Precinct 47,14,8,14,29,4,36,44,5,154
COOK:8000048,COOK:Maine Precinct 48,13,21,27,23,3,74,58,15,234
COOK:8000049,COOK:Maine Precinct 49,12,10,14,26,3,46,35,2,148
COOK:8000053,COOK:Maine Precinct 53,10,15,10,18,2,47,47,5,154
COOK:8000061,COOK:Maine Precinct 61,7,9,9,15,1,28,36,5,110
COOK:8000066,COOK:Maine Precinct 66,4,4,5,1,1,11,3,1,30
COOK:8000068,COOK:Maine Precinct 68,19,17,37,15,6,68,58,12,232
COOK:8000079,COOK:Maine Precinct 79,21,15,15,10,3,52,66,6,188
COOK:8700002,COOK:Palatine Precinct 2,36,15,25,27,6,65,53,6,233
