UNIQUE_ID,JurisName,COUNTYFP,CountyName,PrecinctName,Registration,NAME20,ContestName,Paul Schimpf,Richard C. Irvin,Jesse Sullivan,Darren Bailey,Max Solomon,Gary Rabine,Write-In,Keisha S. Smith
COOK-:-7900071,COOK,31,COOK,7900071,851,COOK:7900071,GOVERNOR AND LIEUTENANT GOVERNOR,1,1,6,4,1,3,0,0
COOK-:-7900072,COOK,31,COOK,7900072,1132,COOK:7900072,GOVERNOR AND LIEUTENANT GOVERNOR,5,29,17,52,0,4,0,0
COOK-:-7900073,COOK,31,COOK,7900073,891,COOK:7900073,GOVERNOR AND LIEUTENANT GOVERNOR,6,18,18,64,2,3,1,0
COOK-:-7900074,COOK,31,COOK,7900074,1753,COOK:7900074,GOVERNOR AND LIEUTENANT GOVERNOR,5,23,19,100,1,5,0,0
COOK-:-7900076,COOK,31,COOK,7900076,862,COOK:7900076,GOVERNOR AND LIEUTENANT GOVERNOR,4,13,24,37,0,4,0,0
COOK-:-7900078,COOK,31,COOK,7900078,708,COOK:7900078,GOVERNOR AND LIEUTENANT GOVERNOR,3,11,16,45,1,4,0,0
COOK-:-8000001,COOK,31,COOK,8000001,1017,COOK:8000001,GOVERNOR AND LIEUTENANT GOVERNOR,1,2,11,20,0,7,0,0
COOK-:-8000002,COOK,31,COOK,8000002,1034,COOK:8000002,GOVERNOR AND LIEUTENANT GOVERNOR,0,5,13,12,0,2,0,0
COOK-:-8000003,COOK,31,COOK,8000003,432,COOK:8000003,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,6,19,0,4,0,0
COOK-:-8000004,COOK,31,COOK,8000004,1567,COOK:8000004,GOVERNOR AND LIEUTENANT GOVERNOR,7,18,22,80,0,18,0,0
COOK-:-8000005,COOK,31,COOK,8000005,1808,COOK:8000005,GOVERNOR AND LIEUTENANT GOVERNOR,0,13,13,27,3,2,2,0
COOK-:-8000006,COOK,31,COOK,8000006,1349,COOK:8000006,GOVERNOR AND LIEUTENANT GOVERNOR,2,17,21,55,3,16,1,0
COOK-:-8000007,COOK,31,COOK,8000007,748,COOK:8000007,GOVERNOR AND LIEUTENANT GOVERNOR,0,8,10,21,1,2,0,0
COOK-:-8000009,COOK,31,COOK,8000009,1675,COOK:8000009,GOVERNOR AND LIEUTENANT GOVERNOR,5,14,18,39,1,5,0,0
COOK-:-8000010,COOK,31,COOK,8000010,1383,COOK:8000010,GOVERNOR AND LIEUTENANT GOVERNOR,11,17,21,57,1,8,0,0
COOK-:-8000012,COOK,31,COOK,8000012,697,COOK:8000012,GOVERNOR AND LIEUTENANT GOVERNOR,3,4,9,28,1,4,0,0
COOK-:-8000013,COOK,31,COOK,8000013,1096,COOK:8000013,GOVERNOR AND LIEUTENANT GOVERNOR,2,6,11,48,0,10,0,0
COOK-:-8000014,COOK,31,COOK,8000014,1145,COOK:8000014,GOVERNOR AND LIEUTENANT GOVERNOR,3,18,14,58,0,10,0,0
COOK-:-8000015,COOK,31,COOK,8000015,1215,COOK:8000015,GOVERNOR AND LIEUTENANT GOVERNOR,2,6,10,34,1,12,0,0
COOK-:-8000016,COOK,31,COOK,8000016,729,COOK:8000016,GOVERNOR AND LIEUTENANT GOVERNOR,0,3,4,37,0,13,0,0
COOK-:-8000017,COOK,31,COOK,8000017,1061,COOK:8000017,GOVERNOR AND LIEUTENANT GOVERNOR,5,8,10,43,1,7,0,0
