JoinField,CASEY CHLEBEK,DON TRACY,R. CARY CAPPARELLI,PAMELA DENISE LONG,"JIMMY LEE TILLMAN, II",JEANNIE EVANS,Total Voters
DUPAGE:YORK 057,14,30,16,11,1,27,99
DUPAGE:YORK 058,12,30,15,5,5,30,97
DUPAGE:YORK 059,9,36,22,15,5,38,125
DUPAGE:YORK 060,15,16,6,6,0,24,67
DUPAGE:YORK 061,14,26,9,12,1,25,87
DUPAGE:YORK 062,3,7,5,2,0,6,23
DUPAGE:YORK 063,5,4,6,1,2,11,29
DUPAGE:YORK 064,5,26,9,5,4,24,73
DUPAGE:YORK 065,9,22,11,3,5,17,67
DUPAGE:YORK 066,10,35,14,7,1,23,90
DUPAGE:YORK 067,8,37,11,5,6,34,101
DUPAGE:YORK 068,13,21,16,10,3,29,92
DUPAGE:YORK 069,5,12,4,2,1,14,38
DUPAGE:YORK 070,18,23,15,8,4,17,85
DUPAGE:YORK 071,7,52,15,4,4,24,106
DUPAGE:YORK 072,15,28,13,4,1,23,84
DUPAGE:YORK 073,8,40,8,4,5,16,81
DUPAGE:YORK 074,9,21,10,2,0,15,57
DUPAGE:YORK 075,5,18,7,3,1,19,53
DUPAGE:YORK 076,6,22,8,8,1,17,62
DUPAGE:YORK 077,8,41,13,10,4,23,99
DUPAGE:YORK 078,4,17,6,4,1,10,42
DUPAGE:YORK 079,7,8,7,4,3,5,34
DUPAGE:YORK 080,7,32,8,3,1,20,71
DUPAGE:YORK 081,13,45,9,11,2,35,115
DUPAGE:YORK 082,8,36,20,4,0,19,87
DUPAGE:YORK 083,5,22,7,2,0,15,51
DUPAGE:YORK 084,12,38,16,6,7,19,98
DUPAGE:YORK 085,4,31,10,3,2,17,67
DUPAGE:YORK 086,8,23,9,4,2,20,66
DUPAGE:TOTAL:,5257,16718,5382,3816,1652,13536,46361
