JoinField,JoinField_alt,Casey Chlebek,Don Tracy,R. Cary Capparelli,Pamela Denise Long,"Jimmy Lee Tillman, II",Jeannie Evans,Total Voters
COOK:9800013,COOK:Cicero Precinct 13,11,6,8,8,2,16,51
COOK:9800014,COOK:Cicero Precinct 14,3,6,1,2,0,4,16
COOK:9800015,COOK:Cicero Precinct 15,4,5,3,5,2,4,23
COOK:9800016,COOK:Cicero Precinct 16,3,1,0,0,0,1,5
COOK:9800017,COOK:Cicero Precinct 17,2,2,5,2,0,3,14
COOK:9800018,COOK:Cicero Precinct 18,1,3,3,2,1,0,10
COOK:9800019,COOK:Cicero Precinct 19,6,13,4,6,2,6,37
COOK:9800020,COOK:Cicero Precinct 20,2,1,3,0,1,4,11
COOK:9800021,COOK:Cicero Precinct 21,6,2,3,4,0,4,19
COOK:9800022,COOK:Cicero Precinct 22,3,1,1,0,1,5,11
COOK:9800023,COOK:Cicero Precinct 23,3,2,4,1,1,1,12
COOK:9800024,COOK:Cicero Precinct 24,4,5,2,1,1,3,16
COOK:9800025,COOK:Cicero Precinct 25,3,5,0,2,0,0,10
COOK:9800026,COOK:Cicero Precinct 26,0,3,1,6,0,5,15
COOK:9800027,COOK:Cicero Precinct 27,3,7,1,3,1,1,16
COOK:9800028,COOK:Cicero Precinct 28,5,3,3,4,2,3,20
COOK:9800029,COOK:Cicero Precinct 29,0,1,1,4,1,2,9
COOK:9800030,COOK:Cicero Precinct 30,5,3,3,1,2,4,18
COOK:9800031,COOK:Cicero Precinct 31,1,4,3,1,2,1,12
COOK:7400001,COOK:Elk Grove Precinct 1,5,22,6,7,3,7,50
COOK:7400002,COOK:Elk Grove Precinct 2,5,14,3,4,0,5,31
COOK:7400003,COOK:Elk Grove Precinct 3,23,30,15,3,7,13,91
COOK:7400004,COOK:Elk Grove Precinct 4,16,15,7,5,3,14,60
COOK:7400005,COOK:Elk Grove Precinct 5,9,28,9,4,13,16,79
COOK:7400006,COOK:Elk Grove Precinct 6,10,33,20,4,3,16,86
COOK:7400007,COOK:Elk Grove Precinct 7,5,26,8,1,7,16,63
COOK:7400008,COOK:Elk Grove Precinct 8,16,34,12,7,8,29,106
COOK:7400009,COOK:Elk Grove Precinct 9,15,26,16,1,1,14,73
COOK:7400010,COOK:Elk Grove Precinct 10,14,46,9,7,13,13,102
COOK:7400011,COOK:Elk Grove Precinct 11,8,20,8,4,9,14,63
COOK:7400012,COOK:Elk Grove Precinct 12,20,30,22,5,7,27,111
COOK:7400013,COOK:Elk Grove Precinct 13,2,8,4,4,2,4,24
COOK:7400014,COOK:Elk Grove Precinct 14,10,36,7,10,11,7,81
COOK:7400015,COOK:Elk Grove Precinct 15,22,29,11,5,9,8,84
COOK:7400016,COOK:Elk Grove Precinct 16,13,22,7,3,4,11,60
COOK:7400017,COOK:Elk Grove Precinct 17,6,15,7,0,9,12,49
COOK:7400018,COOK:Elk Grove Precinct 18,29,18,10,1,8,11,77
COOK:7400019,COOK:Elk Grove Precinct 19,2,30,7,0,8,12,59
COOK:7400020,COOK:Elk Grove Precinct 20,18,37,19,7,11,29,121
COOK:7400021,COOK:Elk Grove Precinct 21,11,7,13,3,3,7,44
COOK:7400022,COOK:Elk Grove Precinct 22,6,11,8,1,5,9,40
COOK:7400023,COOK:Elk Grove Precinct 23,17,31,9,9,12,20,98
COOK:7400024,COOK:Elk Grove Precinct 24,18,19,9,2,7,22,77
COOK:7400025,COOK:Elk Grove Precinct 25,10,15,16,1,3,16,61
COOK:7400026,COOK:Elk Grove Precinct 26,12,18,8,1,4,9,52
COOK:7400027,COOK:Elk Grove Precinct 27,16,21,13,4,5,14,73
COOK:7400028,COOK:Elk Grove Precinct 28,4,16,5,3,3,15,46
COOK:7400029,COOK:Elk Grove Precinct 29,6,35,16,9,10,15,91
COOK:7400030,COOK:Elk Grove Precinct 30,9,27,9,5,10,11,71
COOK:7400031,COOK:Elk Grove Precinct 31,19,14,7,2,6,6,54
COOK:7400032,COOK:Elk Grove Precinct 32,7,6,2,0,2,3,20
