JoinField,Ward,Precinct,Total Voters,George A. Cardenas,Juanita Irizarry
CITY OF CHICAGO:WARD 29 PRECINCT 08,29,8,557,261,296
CITY OF CHICAGO:WARD 29 PRECINCT 09,29,9,228,132,96
CITY OF CHICAGO:WARD 29 PRECINCT 10,29,10,283,165,118
CITY OF CHICAGO:WARD 29 PRECINCT 11,29,11,235,132,103
CITY OF CHICAGO:WARD 30 PRECINCT 05,30,5,182,85,97
CITY OF CHICAGO:WARD 30 PRECINCT 08,30,8,240,48,192
CITY OF CHICAGO:WARD 30 PRECINCT 11,30,11,164,70,94
CITY OF CHICAGO:WARD 30 PRECINCT 12,30,12,192,84,108
CITY OF CHICAGO:WARD 30 PRECINCT 13,30,13,187,89,98
CITY OF CHICAGO:WARD 31 PRECINCT 01,31,1,179,59,120
CITY OF CHICAGO:WARD 31 PRECINCT 02,31,2,358,74,284
CITY OF CHICAGO:WARD 31 PRECINCT 03,31,3,55,23,32
CITY OF CHICAGO:WARD 31 PRECINCT 04,31,4,237,43,194
CITY OF CHICAGO:WARD 31 PRECINCT 05,31,5,173,71,102
CITY OF CHICAGO:WARD 31 PRECINCT 06,31,6,76,29,47
CITY OF CHICAGO:WARD 31 PRECINCT 07,31,7,103,39,64
CITY OF CHICAGO:WARD 31 PRECINCT 08,31,8,273,96,177
CITY OF CHICAGO:WARD 31 PRECINCT 09,31,9,73,28,45
CITY OF CHICAGO:WARD 31 PRECINCT 10,31,10,143,41,102
CITY OF CHICAGO:WARD 31 PRECINCT 14,31,14,184,83,101
CITY OF CHICAGO:WARD 31 PRECINCT 15,31,15,86,40,46
CITY OF CHICAGO:WARD 31 PRECINCT 16,31,16,106,37,69
CITY OF CHICAGO:WARD 31 PRECINCT 17,31,17,101,40,61
CITY OF CHICAGO:WARD 31 PRECINCT 18,31,18,147,53,94
CITY OF CHICAGO:WARD 31 PRECINCT 19,31,19,77,48,29
CITY OF CHICAGO:WARD 31 PRECINCT 20,31,20,154,67,87
CITY OF CHICAGO:WARD 31 PRECINCT 21,31,21,157,65,92
CITY OF CHICAGO:WARD 31 PRECINCT 22,31,22,90,24,66
CITY OF CHICAGO:WARD 31 PRECINCT 23,31,23,89,37,52
CITY OF CHICAGO:WARD 35 PRECINCT 01,35,1,127,51,76
CITY OF CHICAGO:WARD 35 PRECINCT 02,35,2,246,84,162
CITY OF CHICAGO:WARD 35 PRECINCT 03,35,3,231,64,167
CITY OF CHICAGO:WARD 35 PRECINCT 04,35,4,296,59,237
CITY OF CHICAGO:WARD 35 PRECINCT 07,35,7,461,94,367
CITY OF CHICAGO:WARD 35 PRECINCT 10,35,10,334,73,261
CITY OF CHICAGO:WARD 35 PRECINCT 11,35,11,390,84,306
CITY OF CHICAGO:WARD 35 PRECINCT 13,35,13,391,91,300
CITY OF CHICAGO:WARD 36 PRECINCT 05,36,5,110,55,55
CITY OF CHICAGO:WARD 36 PRECINCT 06,36,6,122,48,74
CITY OF CHICAGO:WARD 36 PRECINCT 07,36,7,87,44,43
CITY OF CHICAGO:WARD 36 PRECINCT 08,36,8,89,49,40
CITY OF CHICAGO:WARD 36 PRECINCT 09,36,9,226,96,130
CITY OF CHICAGO:WARD 36 PRECINCT 10,36,10,157,67,90
CITY OF CHICAGO:WARD 36 PRECINCT 11,36,11,125,53,72
CITY OF CHICAGO:WARD 36 PRECINCT 12,36,12,104,50,54
CITY OF CHICAGO:WARD 36 PRECINCT 13,36,13,42,15,27
CITY OF CHICAGO:WARD 36 PRECINCT 14,36,14,14,10,4
CITY OF CHICAGO:WARD 36 PRECINCT 15,36,15,78,22,56
CITY OF CHICAGO:WARD 37 PRECINCT 10,37,10,189,115,74
CITY OF CHICAGO:WARD 37 PRECINCT 12,37,12,231,141,90
CITY OF CHICAGO:WARD 37 PRECINCT 16,37,16,276,169,107
CITY OF CHICAGO:WARD 37 PRECINCT 22,37,22,193,111,82
