JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 41 PRECINCT 20,41,20,171,73,98
CITY OF CHICAGO:WARD 41 PRECINCT 21,41,21,159,66,93
CITY OF CHICAGO:WARD 41 PRECINCT 22,41,22,127,49,78
CITY OF CHICAGO:WARD 41 PRECINCT 23,41,23,166,56,110
CITY OF CHICAGO:WARD 41 PRECINCT 24,41,24,216,69,147
CITY OF CHICAGO:WARD 41 PRECINCT 25,41,25,169,61,108
CITY OF CHICAGO:WARD 41 PRECINCT 26,41,26,320,116,204
CITY OF CHICAGO:WARD 41 PRECINCT 27,41,27,176,65,111
CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,354,112,242
CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,377,123,254
CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,243,97,146
CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,232,93,139
CITY OF CHICAGO:WARD 42 PRECINCT 09,42,9,60,26,34
CITY OF CHICAGO:WARD 42 PRECINCT 11,42,11,27,6,21
CITY OF CHICAGO:WARD 42 PRECINCT 14,42,14,102,32,70
CITY OF CHICAGO:WARD 42 PRECINCT 15,42,15,59,23,36
CITY OF CHICAGO:WARD 42 PRECINCT 16,42,16,35,6,29
CITY OF CHICAGO:WARD 42 PRECINCT 17,42,17,278,116,162
CITY OF CHICAGO:WARD 42 PRECINCT 18,42,18,137,53,84
CITY OF CHICAGO:WARD 42 PRECINCT 19,42,19,304,116,188
CITY OF CHICAGO:WARD 42 PRECINCT 20,42,20,274,100,174
CITY OF CHICAGO:WARD 42 PRECINCT 21,42,21,265,110,155
CITY OF CHICAGO:WARD 42 PRECINCT 22,42,22,304,114,190
CITY OF CHICAGO:WARD 42 PRECINCT 23,42,23,262,106,156
CITY OF CHICAGO:WARD 42 PRECINCT 24,42,24,365,167,198
CITY OF CHICAGO:WARD 43 PRECINCT 01,43,1,391,143,248
