JoinField,Ward,Precinct,Total Voters,Samantha Steele,"Elizabeth ""Liz"" Nicholson"
CITY OF CHICAGO:WARD 39 PRECINCT 09,39,9,125,58,67
CITY OF CHICAGO:WARD 39 PRECINCT 10,39,10,200,70,130
CITY OF CHICAGO:WARD 39 PRECINCT 11,39,11,149,52,97
CITY OF CHICAGO:WARD 39 PRECINCT 12,39,12,221,105,116
CITY OF CHICAGO:WARD 39 PRECINCT 13,39,13,375,152,223
CITY OF CHICAGO:WARD 39 PRECINCT 14,39,14,331,113,218
CITY OF CHICAGO:WARD 39 PRECINCT 15,39,15,294,95,199
CITY OF CHICAGO:WARD 39 PRECINCT 16,39,16,183,63,120
CITY OF CHICAGO:WARD 39 PRECINCT 17,39,17,362,138,224
CITY OF CHICAGO:WARD 39 PRECINCT 18,39,18,153,63,90
CITY OF CHICAGO:WARD 39 PRECINCT 19,39,19,374,154,220
CITY OF CHICAGO:WARD 39 PRECINCT 20,39,20,182,74,108
CITY OF CHICAGO:WARD 39 PRECINCT 21,39,21,306,109,197
CITY OF CHICAGO:WARD 39 PRECINCT 22,39,22,147,63,84
CITY OF CHICAGO:WARD 39 PRECINCT 23,39,23,38,11,27
CITY OF CHICAGO:WARD 39 PRECINCT 24,39,24,236,95,141
CITY OF CHICAGO:WARD 39 PRECINCT 25,39,25,198,84,114
CITY OF CHICAGO:WARD 39 PRECINCT 26,39,26,150,62,88
CITY OF CHICAGO:WARD 39 PRECINCT 27,39,27,168,74,94
CITY OF CHICAGO:WARD 39 PRECINCT 28,39,28,208,51,157
CITY OF CHICAGO:WARD 39 PRECINCT 29,39,29,140,37,103
CITY OF CHICAGO:WARD 39 PRECINCT 30,39,30,102,39,63
CITY OF CHICAGO:WARD 39 PRECINCT 31,39,31,161,67,94
CITY OF CHICAGO:WARD 39 PRECINCT 32,39,32,395,131,264
CITY OF CHICAGO:WARD 39 PRECINCT 33,39,33,154,55,99
CITY OF CHICAGO:WARD 39 PRECINCT 34,39,34,151,51,100
CITY OF CHICAGO:WARD 39 PRECINCT 35,39,35,331,113,218
CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,315,130,185
CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,362,143,219
CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,343,144,199
