JoinField,KEVIN RYAN,ROBIN KELLY,JULIANA STRATTON,RAJA KRISHNAMOORTHI,STEVE BOTSFORD JR.,BRYAN MAXWELL,JONATHAN DEAN,SEAN BROWN,AWISI A. BUSTOS,CHRISTOPHER SWANN,Adam Delgado,Total Voters
DUPAGE:BLOOMINGDALE 038,3,16,31,68,2,0,0,1,4,2,0,127
DUPAGE:BLOOMINGDALE 039,4,16,39,91,1,1,2,0,1,2,0,157
DUPAGE:BLOOMINGDALE 040,8,12,48,67,1,3,0,3,1,1,0,144
DUPAGE:BLOOMINGDALE 041,12,41,34,83,1,1,2,0,3,0,0,177
DUPAGE:BLOOMINGDALE 042,12,34,39,43,0,1,1,2,2,0,0,134
DUPAGE:BLOOMINGDALE 043,6,12,30,48,0,0,0,0,1,0,0,97
DUPAGE:BLOOMINGDALE 044,9,30,37,111,0,1,3,0,1,0,0,192
DUPAGE:BLOOMINGDALE 045,3,15,39,92,0,2,0,2,1,0,0,154
DUPAGE:BLOOMINGDALE 046,4,14,32,52,0,0,0,0,0,0,0,102
DUPAGE:BLOOMINGDALE 047,13,24,39,74,0,4,1,2,3,0,0,160
DUPAGE:BLOOMINGDALE 048,5,37,31,41,0,1,0,3,2,0,0,120
DUPAGE:BLOOMINGDALE 049,1,16,21,21,0,0,0,1,0,2,0,62
DUPAGE:BLOOMINGDALE 050,3,25,40,47,0,1,1,2,2,0,0,121
DUPAGE:BLOOMINGDALE 051,6,19,65,111,0,3,3,3,0,0,0,210
DUPAGE:BLOOMINGDALE 052,7,22,49,119,0,0,0,4,2,0,0,203
DUPAGE:BLOOMINGDALE 053,7,14,36,52,1,2,0,2,2,1,0,117
DUPAGE:BLOOMINGDALE 054,5,59,49,104,1,12,3,1,6,1,0,241
DUPAGE:BLOOMINGDALE 055,8,7,28,40,0,3,1,0,0,2,0,89
DUPAGE:BLOOMINGDALE 056,4,28,38,92,0,3,1,2,3,1,0,172
DUPAGE:BLOOMINGDALE 057,2,17,38,38,1,1,0,1,0,2,0,100
DUPAGE:BLOOMINGDALE 058,4,26,52,74,0,1,1,3,0,0,0,161
DUPAGE:BLOOMINGDALE 059,16,71,36,62,1,2,1,4,6,0,0,199
DUPAGE:BLOOMINGDALE 060,6,21,50,64,1,1,0,1,0,2,0,146
DUPAGE:BLOOMINGDALE 061,12,24,59,118,0,2,2,0,0,0,0,217
DUPAGE:BLOOMINGDALE 062,10,13,66,80,0,1,0,0,0,1,0,171
DUPAGE:BLOOMINGDALE 063,13,18,44,83,2,0,0,0,0,0,0,160
DUPAGE:BLOOMINGDALE 064,7,24,63,84,0,5,1,0,3,1,0,188
DUPAGE:BLOOMINGDALE 065,7,13,40,66,0,1,1,0,2,0,0,130
DUPAGE:BLOOMINGDALE 066,11,8,50,50,0,0,2,0,1,1,0,123
DUPAGE:BLOOMINGDALE 067,3,12,24,82,1,1,0,0,0,0,0,123
