JoinField,Kevin Ryan,Robin Kelly,Juliana Stratton,Raja Krishnamoorthi,Steve Botsford Jr.,Bryan Maxwell,Jonathan Dean,Sean Brown,Awisi A. Bustos,Christopher Swann,Total Voters
LAKE:WAUKEGAN 389,1,13,48,21,2,2,1,4,0,1,93
LAKE:WAUKEGAN 390,3,11,35,19,0,1,0,1,0,0,70
LAKE:WAUKEGAN 391,4,9,36,16,0,1,2,0,0,0,68
LAKE:WAUKEGAN 392,5,8,32,19,1,1,1,0,1,0,68
LAKE:WAUKEGAN 393,6,28,84,26,0,1,1,4,0,0,150
LAKE:WEST DEERFIELD 394,3,20,50,40,0,1,0,0,0,2,116
LAKE:WEST DEERFIELD 395,1,4,51,48,1,0,0,0,0,0,105
LAKE:WEST DEERFIELD 396,2,4,24,43,2,0,2,0,0,0,77
LAKE:WEST DEERFIELD 397,5,8,28,35,0,0,0,1,0,0,77
LAKE:WEST DEERFIELD 398,9,12,40,44,2,0,0,0,0,0,107
LAKE:WEST DEERFIELD 399,6,14,31,46,0,0,2,1,0,0,100
LAKE:WEST DEERFIELD 400,2,4,42,39,1,0,0,0,0,0,88
LAKE:WEST DEERFIELD 401,7,19,73,70,0,1,1,1,0,0,172
LAKE:WEST DEERFIELD 402,3,5,38,71,0,1,0,0,0,0,118
LAKE:WEST DEERFIELD 403,2,21,27,38,0,0,1,0,0,0,89
LAKE:WEST DEERFIELD 404,4,12,76,108,2,1,0,0,0,0,203
LAKE:WEST DEERFIELD 405,8,21,136,190,4,0,1,0,3,0,363
LAKE:WEST DEERFIELD 406,3,24,90,86,1,1,0,0,0,0,205
LAKE:WEST DEERFIELD 407,14,18,179,173,4,0,1,2,0,1,392
LAKE:WEST DEERFIELD 408,2,7,46,60,1,0,1,1,0,1,119
LAKE:WEST DEERFIELD 409,8,23,143,162,0,4,0,1,1,1,343
LAKE:WEST DEERFIELD 410,9,36,145,151,2,0,1,0,0,1,345
LAKE:WEST DEERFIELD 411,15,28,147,113,0,1,4,0,1,1,310
LAKE:WEST DEERFIELD 412,17,34,166,159,1,3,1,2,1,1,385
LAKE:WEST DEERFIELD 413,8,19,75,105,0,3,1,1,0,1,213
LAKE:WEST DEERFIELD 414,11,20,162,137,2,1,0,1,0,1,335
LAKE:WEST DEERFIELD 415,8,23,131,204,1,3,1,0,0,0,371
LAKE:WEST DEERFIELD 416,21,29,163,156,1,1,4,3,0,0,378
LAKE:WEST DEERFIELD 417,4,14,120,120,3,0,1,1,0,0,263
LAKE:WEST DEERFIELD 418,6,16,112,156,0,4,0,0,1,0,295
LAKE:ZION 419,4,30,88,29,0,0,0,2,1,0,154
LAKE:ZION 420,3,16,52,22,0,2,0,1,0,0,96
LAKE:ZION 421,1,13,36,29,0,4,1,2,0,0,86
LAKE:ZION 422,9,14,69,41,0,2,1,0,0,2,138
LAKE:ZION 423,2,9,31,31,0,1,1,0,2,0,77
LAKE:ZION 424,1,9,29,20,0,0,0,0,1,2,62
LAKE:ZION 425,3,15,47,35,0,2,2,0,1,0,105
LAKE:ZION 426,2,17,37,22,0,1,0,2,0,0,81
LAKE:ZION 427,4,15,21,14,1,0,0,0,0,1,56
LAKE:ZION 428,9,14,35,29,1,0,1,0,2,2,93
LAKE:ZION 429,3,15,38,23,0,1,0,2,0,0,82
LAKE:ZION 430,3,18,40,26,0,0,0,1,1,0,89
LAKE:ZION 431,2,13,44,43,2,0,0,0,0,0,104
LAKE:TOTAL:,2559,6631,26276,27589,256,421,295,246,289,297,64859
